protein_id,reaction_id,source,evidence_type
B6K412,MARTS_EXT_RXN_000c8b710696,project_catalog,project_recorded_association
P33247,MARTS_EXT_RXN_000c8b710696,project_catalog,project_recorded_association
P33990,MARTS_EXT_RXN_000c8b710696,project_catalog,project_recorded_association
P54924,MARTS_EXT_RXN_000c8b710696,project_catalog,project_recorded_association
P55348,MARTS_EXT_RXN_000c8b710696,project_catalog,project_recorded_association
Q9X839,MARTS_EXT_RXN_012d56c064db,project_catalog,project_recorded_association
F2XFB2,MARTS_EXT_RXN_0216267ce7f4,project_catalog,project_recorded_association
H8ZM70,MARTS_EXT_RXN_0216267ce7f4,project_catalog,project_recorded_association
M4HXU6,MARTS_EXT_RXN_0216267ce7f4,project_catalog,project_recorded_association
M4HY05,MARTS_EXT_RXN_0216267ce7f4,project_catalog,project_recorded_association
M4HYC6,MARTS_EXT_RXN_0216267ce7f4,project_catalog,project_recorded_association
Q38710,MARTS_EXT_RXN_0216267ce7f4,project_catalog,project_recorded_association
Q50EK2,MARTS_EXT_RXN_0216267ce7f4,project_catalog,project_recorded_association
WP_205789436,MARTS_EXT_RXN_029b92fe95de,project_catalog,project_recorded_association
B0Y565,MARTS_EXT_RXN_0304c0087056,project_catalog,project_recorded_association
WP_109642683,MARTS_EXT_RXN_033964ff02d8,project_catalog,project_recorded_association
P9WJ61,MARTS_EXT_RXN_035143e0b4ac,project_catalog,project_recorded_association
E2E2P0,MARTS_EXT_RXN_0396c90bff0f,project_catalog,project_recorded_association
A0A561SAF2,MARTS_EXT_RXN_055064ae05a5,project_catalog,project_recorded_association
A0A7M3M6K6,MARTS_EXT_RXN_0601074748a9,project_catalog,project_recorded_association
A0A0M8XX89,MARTS_EXT_RXN_0718113ff706,project_catalog,project_recorded_association
A0A1Q5GJH1,MARTS_EXT_RXN_0718113ff706,project_catalog,project_recorded_association
A0A495JMV3,MARTS_EXT_RXN_0718113ff706,project_catalog,project_recorded_association
WP_091046421.1,MARTS_EXT_RXN_0718113ff706,project_catalog,project_recorded_association
A0A2A2D8W5,MARTS_EXT_RXN_07865104318f,project_catalog,project_recorded_association
Q7XYS8,MARTS_EXT_RXN_08a2e34a37c3,project_catalog,project_recorded_association
A0A5Q0QP64,MARTS_EXT_RXN_0aa1aeb0f8d8,project_catalog,project_recorded_association
A0A8H7DPD2,MARTS_EXT_RXN_0aa1aeb0f8d8,project_catalog,project_recorded_association
A9GK58,MARTS_EXT_RXN_0aa1aeb0f8d8,project_catalog,project_recorded_association
WP_157383393,MARTS_EXT_RXN_0aa1aeb0f8d8,project_catalog,project_recorded_association
marts_E00597,MARTS_EXT_RXN_0aa1aeb0f8d8,project_catalog,project_recorded_association
A0A1N6E2E2,MARTS_EXT_RXN_0b0f5e083f77,project_catalog,project_recorded_association
XP_055691875.1,MARTS_EXT_RXN_0b0f5e083f77,project_catalog,project_recorded_association
marts_E01311,MARTS_EXT_RXN_0b0f5e083f77,project_catalog,project_recorded_association
marts_E00439,MARTS_EXT_RXN_0bc621c08854,project_catalog,project_recorded_association
B8PD44,MARTS_EXT_RXN_0d75732112ff,project_catalog,project_recorded_association
BDI63083.1,MARTS_EXT_RXN_0d75732112ff,project_catalog,project_recorded_association
BDI63091.1,MARTS_EXT_RXN_0d75732112ff,project_catalog,project_recorded_association
BDI63099.1,MARTS_EXT_RXN_0d75732112ff,project_catalog,project_recorded_association
BDI63110.1,MARTS_EXT_RXN_0d75732112ff,project_catalog,project_recorded_association
BDI63116.1,MARTS_EXT_RXN_0d75732112ff,project_catalog,project_recorded_association
BDI63117.1,MARTS_EXT_RXN_0d75732112ff,project_catalog,project_recorded_association
A0A0M4MMY1,MARTS_EXT_RXN_0e08d025745c,project_catalog,project_recorded_association
WP_150521282,MARTS_EXT_RXN_0e80c1eb7cd8,project_catalog,project_recorded_association
A0A097ZQD1,MARTS_EXT_RXN_0fa82c3b7c55,project_catalog,project_recorded_association
A0A5P0YYU2,MARTS_EXT_RXN_0fa82c3b7c55,project_catalog,project_recorded_association
Q39978,MARTS_EXT_RXN_12ea76795241,project_catalog,project_recorded_association
Q39979,MARTS_EXT_RXN_12ea76795241,project_catalog,project_recorded_association
Q39980,MARTS_EXT_RXN_12ea76795241,project_catalog,project_recorded_association
Q9FVL2,MARTS_EXT_RXN_12ea76795241,project_catalog,project_recorded_association
Q9XJ32,MARTS_EXT_RXN_12ea76795241,project_catalog,project_recorded_association
A9GK58,MARTS_EXT_RXN_1428f098b24c,project_catalog,project_recorded_association
G5CV42,MARTS_EXT_RXN_1428f098b24c,project_catalog,project_recorded_association
Q5W283,MARTS_EXT_RXN_1428f098b24c,project_catalog,project_recorded_association
WP_150521282,MARTS_EXT_RXN_16e609c93e52,project_catalog,project_recorded_association
B5H135,MARTS_EXT_RXN_193d44981939,project_catalog,project_recorded_association
A0A1I1IX82,MARTS_EXT_RXN_1c2da1449873,project_catalog,project_recorded_association
A0AA82WP13,MARTS_EXT_RXN_1c2da1449873,project_catalog,project_recorded_association
A0A401VY17,MARTS_EXT_RXN_1d852b407f95,project_catalog,project_recorded_association
Q49SP3,MARTS_EXT_RXN_1da1a2f90d9e,project_catalog,project_recorded_association
A0A2P2GK84,MARTS_EXT_RXN_1f7cef5e91c2,project_catalog,project_recorded_association
F8JSS1,MARTS_EXT_RXN_1f7cef5e91c2,project_catalog,project_recorded_association
E2IUA8,MARTS_EXT_RXN_219616d40b4a,project_catalog,project_recorded_association
Q49SP3,MARTS_EXT_RXN_2250a8a7fe50,project_catalog,project_recorded_association
G5CV51,MARTS_EXT_RXN_22bda90ee992,project_catalog,project_recorded_association
M5AW86,MARTS_EXT_RXN_23432a8b720a,project_catalog,project_recorded_association
A0A979G5X7,MARTS_EXT_RXN_237f1c153ad6,project_catalog,project_recorded_association
MBW4630784.1,MARTS_EXT_RXN_23b0ccdf5255,project_catalog,project_recorded_association
P9WEP0,MARTS_EXT_RXN_247c337c8f65,project_catalog,project_recorded_association
A0A8F4PPH7,MARTS_EXT_RXN_2554ee320331,project_catalog,project_recorded_association
WP_109642681,MARTS_EXT_RXN_2554ee320331,project_catalog,project_recorded_association
WP_150521282,MARTS_EXT_RXN_27964350d2e0,project_catalog,project_recorded_association
R9UPX9,MARTS_EXT_RXN_29704a84d49c,project_catalog,project_recorded_association
F2XFB2,MARTS_EXT_RXN_29bbf964d264,project_catalog,project_recorded_association
M4HY05,MARTS_EXT_RXN_29bbf964d264,project_catalog,project_recorded_association
Q50EK2,MARTS_EXT_RXN_29bbf964d264,project_catalog,project_recorded_association
A0A3M8F3X6,MARTS_EXT_RXN_2a8513f7b1f9,project_catalog,project_recorded_association
A0A7W5F0P0,MARTS_EXT_RXN_2d4d4df1341b,project_catalog,project_recorded_association
A0A1M3U1M9,MARTS_EXT_RXN_2d848cafa6c3,project_catalog,project_recorded_association
7S5L_A,MARTS_EXT_RXN_2e27139e482a,project_catalog,project_recorded_association
A0A076GAU5,MARTS_EXT_RXN_2e27139e482a,project_catalog,project_recorded_association
A0A1L1WGD9,MARTS_EXT_RXN_2e27139e482a,project_catalog,project_recorded_association
A0A2A2D8W5,MARTS_EXT_RXN_2e27139e482a,project_catalog,project_recorded_association
E3W208,MARTS_EXT_RXN_2e27139e482a,project_catalog,project_recorded_association
marts_E00001,MARTS_EXT_RXN_2e27139e482a,project_catalog,project_recorded_association
QNC49769.1,MARTS_EXT_RXN_2e59d1c7b929,project_catalog,project_recorded_association
A0A5P1ZG13,MARTS_EXT_RXN_2e5de5bb57ab,project_catalog,project_recorded_association
A0A1D6IY18,MARTS_EXT_RXN_2ffb342ca060,project_catalog,project_recorded_association
Q1EG72,MARTS_EXT_RXN_2ffb342ca060,project_catalog,project_recorded_association
Q5GJ60,MARTS_EXT_RXN_2ffb342ca060,project_catalog,project_recorded_association
A0A010YQZ8,MARTS_EXT_RXN_308ae5d61a8d,project_catalog,project_recorded_association
A0A1L1WGB8,MARTS_EXT_RXN_308ae5d61a8d,project_catalog,project_recorded_association
B5H135,MARTS_EXT_RXN_318de1e2f880,project_catalog,project_recorded_association
A0A0M4MMY1,MARTS_EXT_RXN_324ed07f2f6e,project_catalog,project_recorded_association
Q9UVY5,MARTS_EXT_RXN_324ed07f2f6e,project_catalog,project_recorded_association
A0A1V0D8Y5,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
C7ASI9,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
F1CKI6,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
F1CKI8,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
F1CKI9,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
F2XF94,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
Q84SM8,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
Q8L5J7,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
R9QMR6,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
R9QMW4,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
R9QMW8,MARTS_EXT_RXN_33b3f74378db,project_catalog,project_recorded_association
BDI63106.1,MARTS_EXT_RXN_37c622385e92,project_catalog,project_recorded_association
A0A401VY17,MARTS_EXT_RXN_380c83705f05,project_catalog,project_recorded_association
F0ZPL2,MARTS_EXT_RXN_38d26f0aa1b1,project_catalog,project_recorded_association
F2XFB2,MARTS_EXT_RXN_3abc72608e40,project_catalog,project_recorded_association
H8ZM70,MARTS_EXT_RXN_3abc72608e40,project_catalog,project_recorded_association
M4HXU6,MARTS_EXT_RXN_3abc72608e40,project_catalog,project_recorded_association
M4HY05,MARTS_EXT_RXN_3abc72608e40,project_catalog,project_recorded_association
M4HYC6,MARTS_EXT_RXN_3abc72608e40,project_catalog,project_recorded_association
Q50EK2,MARTS_EXT_RXN_3abc72608e40,project_catalog,project_recorded_association
Q675L4,MARTS_EXT_RXN_3abc72608e40,project_catalog,project_recorded_association
Q947C4,MARTS_EXT_RXN_3abc72608e40,project_catalog,project_recorded_association
QND75952.1,MARTS_EXT_RXN_3abc72608e40,project_catalog,project_recorded_association
A0A5Q0QP64,MARTS_EXT_RXN_3ae1fc659b14,project_catalog,project_recorded_association
A5BEB8,MARTS_EXT_RXN_3ae1fc659b14,project_catalog,project_recorded_association
A9GK58,MARTS_EXT_RXN_3ae1fc659b14,project_catalog,project_recorded_association
B8PD44,MARTS_EXT_RXN_3ae1fc659b14,project_catalog,project_recorded_association
marts_E00595,MARTS_EXT_RXN_3ae1fc659b14,project_catalog,project_recorded_association
Q9LUE2,MARTS_EXT_RXN_3bed24cf1ac1,project_catalog,project_recorded_association
A0A140AZ63,MARTS_EXT_RXN_3d09cb5fb800,project_catalog,project_recorded_association
A0A7W5F0P0,MARTS_EXT_RXN_3fcdccf20787,project_catalog,project_recorded_association
A0A0F4GLU2,MARTS_EXT_RXN_4016ec72d95a,project_catalog,project_recorded_association
P9WEP0,MARTS_EXT_RXN_4016ec72d95a,project_catalog,project_recorded_association
G0Y287,MARTS_EXT_RXN_412a1f752827,project_catalog,project_recorded_association
P37268,MARTS_EXT_RXN_412a1f752827,project_catalog,project_recorded_association
Q32KR6,MARTS_EXT_RXN_412a1f752827,project_catalog,project_recorded_association
B8PD44,MARTS_EXT_RXN_42bfdab7b6fd,project_catalog,project_recorded_association
A0A1Z2LDZ7,MARTS_EXT_RXN_4356ef28995d,project_catalog,project_recorded_association
Q9C5M3,MARTS_EXT_RXN_455979525191,project_catalog,project_recorded_association
marts_E00826,MARTS_EXT_RXN_45be1b4caa76,project_catalog,project_recorded_association
A0A1X9ISH5,MARTS_EXT_RXN_480dcc05c335,project_catalog,project_recorded_association
