row,reaction_id,status,warning,mapped_reactant_atoms,mapped_product_atoms,changed_map_count,changed_bond_count,changed_atom_state_count,transition_token_count,feature_nonzero
0,MARTS_EXT_RXN_000c8b710696,valid,,30.0,30.0,16.0,17.0,11.0,28.0,63.0
1,MARTS_EXT_RXN_012d56c064db,valid,,13.0,13.0,8.0,7.0,6.0,13.0,46.0
2,MARTS_EXT_RXN_0216267ce7f4,valid,,20.0,20.0,5.0,3.0,3.0,6.0,30.0
3,MARTS_EXT_RXN_029b92fe95de,valid,,20.0,20.0,6.0,5.0,5.0,10.0,38.0
4,MARTS_EXT_RXN_0304c0087056,valid,,31.0,32.0,20.0,25.0,11.0,36.0,71.0
5,MARTS_EXT_RXN_033964ff02d8,valid,,25.0,25.0,11.0,14.0,8.0,22.0,56.0
6,MARTS_EXT_RXN_035143e0b4ac,valid,,21.0,21.0,1.0,0.0,1.0,1.0,7.0
7,MARTS_EXT_RXN_0396c90bff0f,valid,,10.0,10.0,7.0,7.0,7.0,14.0,38.0
8,MARTS_EXT_RXN_055064ae05a5,valid,,25.0,25.0,16.0,18.0,11.0,29.0,74.0
9,MARTS_EXT_RXN_0601074748a9,valid,,20.0,20.0,9.0,8.0,8.0,16.0,46.0
10,MARTS_EXT_RXN_0718113ff706,valid,,21.0,21.0,6.0,6.0,4.0,10.0,39.0
11,MARTS_EXT_RXN_07865104318f,valid,,16.0,16.0,14.0,14.0,8.0,22.0,67.0
12,MARTS_EXT_RXN_08a2e34a37c3,valid,,14.0,19.0,9.0,9.0,1.0,10.0,37.0
13,MARTS_EXT_RXN_0aa1aeb0f8d8,valid,,16.0,16.0,6.0,6.0,6.0,12.0,41.0
14,MARTS_EXT_RXN_0b0f5e083f77,valid,,20.0,20.0,5.0,5.0,2.0,7.0,32.0
15,MARTS_EXT_RXN_0bc621c08854,valid,,10.0,10.0,5.0,5.0,3.0,8.0,32.0
16,MARTS_EXT_RXN_0d75732112ff,valid,,15.0,15.0,5.0,4.0,5.0,9.0,34.0
17,MARTS_EXT_RXN_0e08d025745c,valid,,20.0,20.0,12.0,13.0,9.0,22.0,57.0
18,MARTS_EXT_RXN_0e80c1eb7cd8,valid,,25.0,25.0,15.0,15.0,13.0,28.0,71.0
19,MARTS_EXT_RXN_0fa82c3b7c55,valid,,20.0,20.0,13.0,12.0,10.0,22.0,62.0
20,MARTS_EXT_RXN_12ea76795241,valid,,15.0,15.0,8.0,7.0,5.0,12.0,44.0
21,MARTS_EXT_RXN_1428f098b24c,valid,,15.0,15.0,8.0,7.0,6.0,13.0,48.0
22,MARTS_EXT_RXN_16e609c93e52,valid,,25.0,25.0,17.0,16.0,11.0,27.0,67.0
23,MARTS_EXT_RXN_193d44981939,valid,,20.0,20.0,11.0,14.0,5.0,19.0,52.0
24,MARTS_EXT_RXN_1c2da1449873,valid,,20.0,20.0,8.0,7.0,7.0,14.0,43.0
25,MARTS_EXT_RXN_1d852b407f95,valid,,20.0,20.0,7.0,7.0,3.0,10.0,37.0
26,MARTS_EXT_RXN_1da1a2f90d9e,valid,,16.0,16.0,10.0,11.0,7.0,18.0,58.0
27,MARTS_EXT_RXN_1f7cef5e91c2,valid,,24.0,24.0,10.0,6.0,7.0,13.0,49.0
28,MARTS_EXT_RXN_219616d40b4a,valid,,31.0,31.0,20.0,26.0,10.0,36.0,77.0
29,MARTS_EXT_RXN_2250a8a7fe50,valid,,15.0,15.0,7.0,6.0,5.0,11.0,42.0
30,MARTS_EXT_RXN_22bda90ee992,valid,,20.0,20.0,7.0,5.0,5.0,10.0,36.0
31,MARTS_EXT_RXN_23432a8b720a,valid,,30.0,30.0,4.0,3.0,1.0,4.0,23.0
32,MARTS_EXT_RXN_237f1c153ad6,valid,,21.0,21.0,6.0,6.0,6.0,12.0,41.0
33,MARTS_EXT_RXN_23b0ccdf5255,valid,,20.0,20.0,8.0,8.0,6.0,14.0,52.0
34,MARTS_EXT_RXN_247c337c8f65,valid,,25.0,25.0,15.0,14.0,11.0,25.0,73.0
35,MARTS_EXT_RXN_2554ee320331,valid,,25.0,25.0,10.0,11.0,5.0,16.0,47.0
36,MARTS_EXT_RXN_27964350d2e0,valid,,25.0,25.0,20.0,25.0,9.0,34.0,72.0
37,MARTS_EXT_RXN_29704a84d49c,valid,,22.0,22.0,8.0,6.0,7.0,13.0,45.0
