row,reaction_id,status,warning
0,MARTS_EXT_RXN_000c8b710696,valid,
1,MARTS_EXT_RXN_012d56c064db,valid,
2,MARTS_EXT_RXN_0216267ce7f4,valid,
3,MARTS_EXT_RXN_029b92fe95de,valid,
4,MARTS_EXT_RXN_0304c0087056,valid,
5,MARTS_EXT_RXN_033964ff02d8,valid,
6,MARTS_EXT_RXN_035143e0b4ac,valid,
7,MARTS_EXT_RXN_0396c90bff0f,valid,
8,MARTS_EXT_RXN_055064ae05a5,valid,
9,MARTS_EXT_RXN_0601074748a9,valid,
10,MARTS_EXT_RXN_0718113ff706,valid,
11,MARTS_EXT_RXN_07865104318f,valid,
12,MARTS_EXT_RXN_08a2e34a37c3,valid,
13,MARTS_EXT_RXN_0aa1aeb0f8d8,valid,
14,MARTS_EXT_RXN_0b0f5e083f77,valid,
15,MARTS_EXT_RXN_0bc621c08854,valid,
16,MARTS_EXT_RXN_0d75732112ff,valid,
17,MARTS_EXT_RXN_0e08d025745c,valid,
18,MARTS_EXT_RXN_0e80c1eb7cd8,valid,
19,MARTS_EXT_RXN_0fa82c3b7c55,valid,
20,MARTS_EXT_RXN_12ea76795241,valid,
21,MARTS_EXT_RXN_1428f098b24c,valid,
22,MARTS_EXT_RXN_16e609c93e52,valid,
23,MARTS_EXT_RXN_193d44981939,valid,
24,MARTS_EXT_RXN_1c2da1449873,valid,
25,MARTS_EXT_RXN_1d852b407f95,valid,
26,MARTS_EXT_RXN_1da1a2f90d9e,valid,
27,MARTS_EXT_RXN_1f7cef5e91c2,valid,
28,MARTS_EXT_RXN_219616d40b4a,valid,
29,MARTS_EXT_RXN_2250a8a7fe50,valid,
30,MARTS_EXT_RXN_22bda90ee992,valid,
31,MARTS_EXT_RXN_23432a8b720a,valid,
32,MARTS_EXT_RXN_237f1c153ad6,valid,
33,MARTS_EXT_RXN_23b0ccdf5255,valid,
34,MARTS_EXT_RXN_247c337c8f65,valid,
35,MARTS_EXT_RXN_2554ee320331,valid,
36,MARTS_EXT_RXN_27964350d2e0,valid,
37,MARTS_EXT_RXN_29704a84d49c,valid,
38,MARTS_EXT_RXN_29bbf964d264,valid,
39,MARTS_EXT_RXN_2a8513f7b1f9,valid,
40,MARTS_EXT_RXN_2d4d4df1341b,valid,
41,MARTS_EXT_RXN_2d848cafa6c3,valid,
42,MARTS_EXT_RXN_2e27139e482a,valid,
43,MARTS_EXT_RXN_2e59d1c7b929,valid,
44,MARTS_EXT_RXN_2e5de5bb57ab,valid,
45,MARTS_EXT_RXN_2ffb342ca060,valid,
46,MARTS_EXT_RXN_308ae5d61a8d,valid,
47,MARTS_EXT_RXN_318de1e2f880,valid,
48,MARTS_EXT_RXN_324ed07f2f6e,valid,
49,MARTS_EXT_RXN_33b3f74378db,valid,
50,MARTS_EXT_RXN_37c622385e92,valid,
51,MARTS_EXT_RXN_380c83705f05,valid,
52,MARTS_EXT_RXN_38d26f0aa1b1,valid,
53,MARTS_EXT_RXN_3abc72608e40,valid,
54,MARTS_EXT_RXN_3ae1fc659b14,valid,
55,MARTS_EXT_RXN_3bed24cf1ac1,valid,
56,MARTS_EXT_RXN_3d09cb5fb800,valid,
57,MARTS_EXT_RXN_3fcdccf20787,valid,
58,MARTS_EXT_RXN_4016ec72d95a,valid,
59,MARTS_EXT_RXN_412a1f752827,valid,
60,MARTS_EXT_RXN_42bfdab7b6fd,valid,
61,MARTS_EXT_RXN_4356ef28995d,valid,
