row,reaction_id,source,status,drfp_status,fallback_used,warning
0,MARTS_EXT_RXN_000c8b710696,encoded_general_reaction,valid,cached,False,
1,MARTS_EXT_RXN_012d56c064db,encoded_general_reaction,valid,cached,False,
2,MARTS_EXT_RXN_0216267ce7f4,encoded_general_reaction,valid,cached,False,
3,MARTS_EXT_RXN_029b92fe95de,encoded_general_reaction,valid,cached,False,
4,MARTS_EXT_RXN_0304c0087056,encoded_general_reaction,valid,cached,False,
5,MARTS_EXT_RXN_033964ff02d8,encoded_general_reaction,valid,cached,False,
6,MARTS_EXT_RXN_035143e0b4ac,encoded_general_reaction,valid,cached,False,
7,MARTS_EXT_RXN_0396c90bff0f,encoded_general_reaction,valid,cached,False,
8,MARTS_EXT_RXN_055064ae05a5,encoded_general_reaction,valid,cached,False,
9,MARTS_EXT_RXN_0601074748a9,encoded_general_reaction,valid,cached,False,
10,MARTS_EXT_RXN_0718113ff706,encoded_general_reaction,valid,cached,False,
11,MARTS_EXT_RXN_07865104318f,encoded_general_reaction,valid,cached,False,
12,MARTS_EXT_RXN_08a2e34a37c3,encoded_general_reaction,valid,cached,False,
13,MARTS_EXT_RXN_0aa1aeb0f8d8,encoded_general_reaction,valid,cached,False,
14,MARTS_EXT_RXN_0b0f5e083f77,encoded_general_reaction,valid,cached,False,
15,MARTS_EXT_RXN_0bc621c08854,encoded_general_reaction,valid,cached,False,
16,MARTS_EXT_RXN_0d75732112ff,encoded_general_reaction,valid,cached,False,
17,MARTS_EXT_RXN_0e08d025745c,encoded_general_reaction,valid,cached,False,
18,MARTS_EXT_RXN_0e80c1eb7cd8,encoded_general_reaction,valid,cached,False,
19,MARTS_EXT_RXN_0fa82c3b7c55,encoded_general_reaction,valid,cached,False,
20,MARTS_EXT_RXN_12ea76795241,encoded_general_reaction,valid,cached,False,
21,MARTS_EXT_RXN_1428f098b24c,encoded_general_reaction,valid,cached,False,
22,MARTS_EXT_RXN_16e609c93e52,encoded_general_reaction,valid,cached,False,
23,MARTS_EXT_RXN_193d44981939,encoded_general_reaction,valid,cached,False,
24,MARTS_EXT_RXN_1c2da1449873,encoded_general_reaction,valid,cached,False,
25,MARTS_EXT_RXN_1d852b407f95,encoded_general_reaction,valid,cached,False,
26,MARTS_EXT_RXN_1da1a2f90d9e,encoded_general_reaction,valid,cached,False,
27,MARTS_EXT_RXN_1f7cef5e91c2,encoded_general_reaction,valid,cached,False,
28,MARTS_EXT_RXN_219616d40b4a,encoded_general_reaction,valid,cached,False,
29,MARTS_EXT_RXN_2250a8a7fe50,encoded_general_reaction,valid,cached,False,
30,MARTS_EXT_RXN_22bda90ee992,encoded_general_reaction,valid,cached,False,
31,MARTS_EXT_RXN_23432a8b720a,encoded_general_reaction,valid,cached,False,
32,MARTS_EXT_RXN_237f1c153ad6,encoded_general_reaction,valid,cached,False,
33,MARTS_EXT_RXN_23b0ccdf5255,encoded_general_reaction,valid,cached,False,
34,MARTS_EXT_RXN_247c337c8f65,encoded_general_reaction,valid,cached,False,
35,MARTS_EXT_RXN_2554ee320331,encoded_general_reaction,valid,cached,False,
36,MARTS_EXT_RXN_27964350d2e0,encoded_general_reaction,valid,cached,False,
37,MARTS_EXT_RXN_29704a84d49c,encoded_general_reaction,valid,cached,False,
38,MARTS_EXT_RXN_29bbf964d264,encoded_general_reaction,valid,cached,False,
39,MARTS_EXT_RXN_2a8513f7b1f9,encoded_general_reaction,valid,cached,False,
40,MARTS_EXT_RXN_2d4d4df1341b,encoded_general_reaction,valid,cached,False,
41,MARTS_EXT_RXN_2d848cafa6c3,encoded_general_reaction,valid,cached,False,
42,MARTS_EXT_RXN_2e27139e482a,encoded_general_reaction,valid,cached,False,
43,MARTS_EXT_RXN_2e59d1c7b929,encoded_general_reaction,valid,cached,False,
44,MARTS_EXT_RXN_2e5de5bb57ab,encoded_general_reaction,valid,cached,False,
45,MARTS_EXT_RXN_2ffb342ca060,encoded_general_reaction,valid,cached,False,
46,MARTS_EXT_RXN_308ae5d61a8d,encoded_general_reaction,valid,cached,False,
47,MARTS_EXT_RXN_318de1e2f880,encoded_general_reaction,valid,cached,False,
48,MARTS_EXT_RXN_324ed07f2f6e,encoded_general_reaction,valid,cached,False,
49,MARTS_EXT_RXN_33b3f74378db,encoded_general_reaction,valid,cached,False,
50,MARTS_EXT_RXN_37c622385e92,encoded_general_reaction,valid,cached,False,
51,MARTS_EXT_RXN_380c83705f05,encoded_general_reaction,valid,cached,False,
52,MARTS_EXT_RXN_38d26f0aa1b1,encoded_general_reaction,valid,cached,False,
53,MARTS_EXT_RXN_3abc72608e40,encoded_general_reaction,valid,cached,False,
54,MARTS_EXT_RXN_3ae1fc659b14,encoded_general_reaction,valid,cached,False,
55,MARTS_EXT_RXN_3bed24cf1ac1,encoded_general_reaction,valid,cached,False,
56,MARTS_EXT_RXN_3d09cb5fb800,encoded_general_reaction,valid,cached,False,
57,MARTS_EXT_RXN_3fcdccf20787,encoded_general_reaction,valid,cached,False,
58,MARTS_EXT_RXN_4016ec72d95a,encoded_general_reaction,valid,cached,False,
59,MARTS_EXT_RXN_412a1f752827,encoded_general_reaction,valid,cached,False,
60,MARTS_EXT_RXN_42bfdab7b6fd,encoded_general_reaction,valid,cached,False,
61,MARTS_EXT_RXN_4356ef28995d,encoded_general_reaction,valid,cached,False,
62,MARTS_EXT_RXN_455979525191,encoded_general_reaction,valid,cached,False,
63,MARTS_EXT_RXN_45be1b4caa76,encoded_general_reaction,valid,cached,False,
64,MARTS_EXT_RXN_480dcc05c335,encoded_general_reaction,valid,cached,False,
65,MARTS_EXT_RXN_4959109219e5,encoded_general_reaction,valid,cached,False,
66,MARTS_EXT_RXN_4b39e8d478ce,encoded_general_reaction,valid,cached,False,
