row,Entry
0,7S5L_A
1,A0A009IHW8
2,A0A010QGH7
3,A0A010QYQ5
4,A0A010R7T7
5,A0A010R823
6,A0A010R900
7,A0A010RKR7
8,A0A010S4G2
9,A0A010S4I9
10,A0A010SJD8
11,A0A010YQZ8
12,A0A010ZV77
13,A0A011QK89
14,A0A017SNL7
15,A0A017SQ41
16,A0A017SR40
17,A0A017SVI7
18,A0A017SW31
19,A0A017SZ17
20,A0A017T047
21,A0A017T654
22,A0A017TIH1
23,A0A017TJA0
24,A0A022PUE5
25,A0A022Q311
26,A0A022QCL9
27,A0A022QGZ1
28,A0A022QV88
29,A0A022R1W7
30,A0A022XLF0
31,A0A022Y7S1
32,A0A023D1B6
33,A0A023DK02
34,A0A023GS28
35,A0A023GS29
36,A0A023J8Z5
37,A0A023UAW9
38,A0A023VSF1
39,A0A023VYM5
40,A0A023W421
41,A0A023WZP4
42,A0A023X648
43,A0A023YYV9
44,A0A024B7W1
45,A0A024BTN9
46,A0A024P564
47,A0A024SMV2
48,A0A031WDE4
49,A0A058ZCI7
50,A0A058ZSL9
51,A0A059JCX8
52,A0A059PYD5
53,A0A059SVB0
54,A0A059TC02
55,A0A059WLZ7
56,A0A059WYP6
57,A0A059XY42
58,A0A059ZV61
59,A0A060KY90
60,A0A060LSW5
61,A0A060M366
62,A0A060S3F9
63,A0A060S684
64,A0A060S8P1
65,A0A060SCC7
66,A0A060SL93
67,A0A060X6Z0
68,A0A060ZQJ1
69,A0A060ZZR1
70,A0A061A395
71,A0A061A3Z6
72,A0A061A895
73,A0A061A8C8
74,A0A061AE05
75,A0A061B0Q2
76,A0A061F6U5
77,A0A061F7K5
78,A0A061F8M6
79,A0A061F9A8
80,A0A061F9B8
81,A0A061F9D1
82,A0A061FA71
83,A0A061FBH4
84,A0A061FBW2
85,A0A061FDP1
86,A0A061FHJ1
87,A0A061FHK4
88,A0A061FIX4
89,A0A061FKL9
90,A0A061FKM4
91,A0A061FLA2
92,A0A061FMF5
93,A0A061FTC2
94,A0A061FVV6
95,A0A061GG35
96,A0A061GN29
97,A0A061I403
98,A0A061IR73
99,A0A063C1W0
100,A0A066U7L8
101,A0A066XSP4
102,A0A066Y070
103,A0A066Y238
104,A0A066YKZ3
105,A0A066YL45
106,A0A066YQY7
107,A0A066YW49
108,A0A067BIM0
109,A0A067BWL7
110,A0A067D647
111,A0A067D6X8
112,A0A067DDU9
113,A0A067DPZ4
114,A0A067DX28
115,A0A067E4Y3
116,A0A067ECN5
117,A0A067FI21
118,A0A067GB33
119,A0A067JLF4
120,A0A067JPJ7
121,A0A067JQ70
122,A0A067JRK6
123,A0A067JSJ6
124,A0A067JT18
125,A0A067JTU9
126,A0A067JUF2
127,A0A067JXK2
128,A0A067JYX4
129,A0A067K2C7
130,A0A067K667
131,A0A067K963
132,A0A067KB09
133,A0A067KGI0
134,A0A067KGU0
135,A0A067KI99
136,A0A067KII1
137,A0A067KIY7
138,A0A067KLI9
139,A0A067KLP5
140,A0A067KPQ3
141,A0A067KS26
142,A0A067KSS4
143,A0A067KST6
144,A0A067KVJ6
145,A0A067KXK6
146,A0A067L1K5
147,A0A067L1Q1
148,A0A067LA82
149,A0A067M834
150,A0A067M8B0
151,A0A067N7X3
152,A0A067NBB1
153,A0A067NCK3
154,A0A067NY86
155,A0A067PFE6
156,A0A067PM63
157,A0A067PWC7
158,A0A067PY27
159,A0A067Q5C0
160,A0A067SC48
161,A0A067SEC9
162,A0A067SL26
163,A0A067SNI8
164,A0A067SS78
165,A0A067SWF3
166,A0A067T4E1
167,A0A067T571
168,A0A067T6V4
169,A0A067TG08
170,A0A067TQJ1
171,A0A067XGX8
172,A0A067XH53
173,A0A067XMV3
174,A0A067XNI2
175,A0A067YB04
176,A0A067YBQ3
