rhea_id	reaction_smiles
RHEA:12869	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]1(C(=C)C)CC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O
RHEA:17653	C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O
RHEA:22408	C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O
RHEA:31023	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(C)CC/C=C(C)CCC=C(C)C>>[H][C@]12CC[C@@]3([H])[C@@](C)(CC[C@]3([H])C(=C)CCC=C(C)C)[C@]1(C)CC[C@@]1([H])C(C)(C)CCC[C@]21C
RHEA:31811	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12C(C)(C)[C@]1([H])CCC(C)=C1CC[C@@H](C)[C@]12[H].O=P([O-])([O-])OP(=O)([O-])O
RHEA:32551	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>CN(C)CCc1cnc2ccc(CS(=O)(=O)N3CCCC3)cc12.O=P([O-])([O-])OP(=O)([O-])O
RHEA:32691	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)(Oc1ccccc1)C(=O)OCCN1CCOCC1.O=P([O-])([O-])OP(=O)([O-])O
RHEA:54060	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>C/C1=C/C[C@H](C(C)(C)O)CC/C(C)=C/CC1.O=P([O-])([O-])OP(=O)([O-])O
RHEA:58164	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>C[C@H]1CCC[C@@]2(C)CC[C@@H](C(C)(C)O)C[C@]12O.O=P([O-])([O-])OP(=O)([O-])O
RHEA:60020	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC[C@]2([C@H](C)CCC=C(C)C)C[C@H]12.O=P([O-])([O-])OP(=O)([O-])O
