reaction_id,reaction_smiles,product_smiles,precursor_class,product_skeleton_class,n_positive_pairs,n_positive_enzymes,reaction_cluster,fold
RHEA:10340,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>Nc1ccn(C2OC(CO)C(OP(=O)(O)O)C2O)c(=O)n1.O=P([O-])([O-])OP(=O)([O-])O,Nc1ccn(C2OC(CO)C(OP(=O)(O)O)C2O)c(=O)n1,C15_FPP_like,C10_bicyclic_highly_oxygenated,4,4,C15_FPP_like::RHEA:10340,0
RHEA:10940,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,C=C(C)C1CC=C(C)CC1,C10_GPP_like,C10_mono_hydrocarbon,6,6,C10_GPP_like::RHEA:10940,4
RHEA:11328,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],C5_IPP_DMAPP_like,C10_acyclic_highly_oxygenated,2,2,C5_IPP_DMAPP_like::RHEA:11328,2
RHEA:11656,*NC(COP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCS)C(*)=O.Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C(O)C1O.O=C([O-])C1CCC[NH2+]1>>*NC(COP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)C1CCC[NH2+]1)C(*)=O.Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O.O=P([O-])([O-])OP(=O)([O-])O,*NC(COP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)C1CCC[NH2+]1)C(*)=O,C15_FPP_like,C20_mono_highly_oxygenated,1,1,C15_FPP_like::RHEA:11656,0
RHEA:12016,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1C=CC(C(C)C)CCC(C)=CCC1.O=P([O-])([O-])OP(=O)([O-])O,C=C1C=CC(C(C)C)CCC(C)=CCC1,C15_FPP_like,C15_mono_hydrocarbon,9,9,C15_FPP_like::RHEA:12016,3
RHEA:12052,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCCC1(C)C1(C)CC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,C=C1CCCC1(C)C1(C)CC=C(C)CC1,C15_FPP_like,C15_bicyclic_hydrocarbon,17,17,C15_FPP_like::RHEA:12052,1
RHEA:12192,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].O>>CC1=CC(O)C(C(C)C)CCC(C)=CCC1.O=P([O-])([O-])OP(=O)([O-])O,CC1=CC(O)C(C(C)C)CCC(C)=CCC1,C15_FPP_like,C15_mono_oxygenated,1,1,C15_FPP_like::RHEA:12192,3
RHEA:12240,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-].CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-].Cc1cccc(O)c1C(=O)[O-].NC(=O)C1=CN(C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)C=CC1.[H+]>>CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O.O=C=O,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1,C25_GFPP_like,C20_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:12240,2
RHEA:12516,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CC=C(C)CCC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,C=C(C)C1CC=C(C)CCC=C(C)CC1,C15_FPP_like,C15_mono_hydrocarbon,10,10,C15_FPP_like::RHEA:12516,1
RHEA:12605,CC(=O)C(=O)[O-].CC(=O)C(O)C(O)COP(=O)([O-])[O-].O=CC(O)COP(=O)([O-])[O-].[H+]>>O=C=O,O=C=O,C5_IPP_DMAPP_like,C5_acyclic_oxygenated,2,2,C5_IPP_DMAPP_like::RHEA:12605,4
