row,Entry
0,A0A017SVI7
1,A0A066YL45
2,A0A067JRK6
3,A0A067JSJ6
4,A0A067JXK2
5,A0A067JYX4
6,A0A067K667
7,A0A067KLP5
8,A0A067KS26
9,A0A067KSS4
10,A0A067KVJ6
11,A0A067L1Q1
12,A0A086STV4
13,A0A086SU69
14,A0A0A0LMX2
15,A0A0C2SCU5
16,A0A0C3D179
17,A0A0C3DW15
18,A0A0C3GAN0
19,A0A0C3GIT0
20,A0A0C4DST9
21,A0A0D7CLA1
22,A0A0D9VFP6
23,A0A0E0CM97
24,A0A0E0G8K3
25,A0A0E0NVD9
26,A0A0K9XDW1
27,A0A0R0GVB3
28,A0A0S3SI28
29,A0A151GSE5
30,A0A165VQ06
31,A0A176VE43
32,A0A1D6EFQ5
33,A0A1D6MTY2
34,A0A1E3BIQ7
35,A0A1F5L2G9
36,A0A1F5LEI5
37,A0A1H9K539
38,A0A1L7X1K4
39,A0A1L9UPN9
40,A0A1L9V808
41,A0A1L9VNZ2
42,A0A1L9VT42
43,A0A1Q4V389
44,A0A1R3G411
45,A0A1R3GB77
46,A0A1R3HPH2
47,A0A1R3IM41
48,A0A1R3JFS0
49,A0A1R3JYN8
50,A0A1S1PYE1
51,A0A1V6Q8U9
52,A0A1V6R451
53,A0A1X6MY32
54,A0A1Y1HJF8
55,A0A1Z5RJA5
56,A0A226CUT9
57,A0A226D3I0
58,A0A226DWF1
59,A0A226E8L9
60,A0A226F190
61,A0A229SHZ7
62,A0A229YJU0
63,A0A251PN26
64,A0A291QRQ9
65,A0A292Q5H5
66,A0A2A9NBJ0
67,A0A2C5YDE3
68,A0A2G2VGC6
69,A0A2G2YUB5
70,A0A2G2ZA12
71,A0A2G5DJG5
72,A0A2G9HT32
73,A0A2H5PW84
74,A0A2H5PWA4
75,A0A2H5QKQ3
76,A0A2I0HUJ3
77,A0A2I0JC59
78,A0A2K0UQ78
79,A0A2K1K9X0
80,A0A2V3VJL8
81,A0A2W2HQ75
82,A0A327Q2L0
83,A0A328E537
84,A0A397H2M0
85,A0A3A2ZRC7
86,A0A3B6TYF0
87,A0A3E0G4Y7
88,A0A3L6RVT0
89,A0A3Q7ERH7
90,A0A409X519
91,A0A409YPE4
92,A0A421D0P8
93,A0A423VWT5
94,A0A423WV34
95,A0A423X2C8
96,A0A436ZY69
97,A0A443QK04
98,A0A443S9C9
99,A0A443SAL1
100,A0A443SF39
101,A0A4R5BLQ2
102,A0A4S4CZA9
103,A0A4S4D752
104,A0A4S4DFA0
105,A0A4S4DFW0
