Enzyme_uniprot_ids	Enzyme_genbank_ids	Enzyme_marts_ids	Substrate_smiles	Substrate_name	Substrate_marts_id	Product_smiles	Product_name	Product_marts_id	Reaction_type	Evidence	Publication	Mechanism_marts_id	step_reaction_smiles	step_reaction_signature	step_index
W6HUT3;Q8L5K4;O64961;F2XF94;E2E2P0;E2E2N3;A0A7G5KLV0		marts_E00000;marts_E00223;marts_E00543;marts_E00732;marts_E00787;marts_E00792;marts_E01019	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	(2E)-GPP	marts_M00312	[CH2+]/C=C(\C)CCC=C(C)C	geranyl cation	marts_M00313	dephosphorylation	similarity	https://iubmb.qmul.ac.uk/enzyme/reaction/terp/menthane.html	marts_R00001	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[CH2+]/C=C(\C)CCC=C(C)C	CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>[CH2+]C=C(C)CCC=C(C)C	1
W6HUT3;Q8L5K4;O64961;F2XF94;E2E2P0;E2E2N3;A0A7G5KLV0		marts_E00000;marts_E00223;marts_E00543;marts_E00732;marts_E00787;marts_E00792;marts_E01019	[CH2+]/C=C(\C)CCC=C(C)C	geranyl cation	marts_M00313	C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O	linaloyl diphosphate	marts_M00314	phosphorylation	similarity	https://iubmb.qmul.ac.uk/enzyme/reaction/terp/menthane.html	marts_R00001	[CH2+]/C=C(\C)CCC=C(C)C>>C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O	[CH2+]C=C(C)CCC=C(C)C>>C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O	2
W6HUT3;Q8L5K4;O64961;F2XF94;E2E2P0;E2E2N3;A0A7G5KLV0		marts_E00000;marts_E00223;marts_E00543;marts_E00732;marts_E00787;marts_E00792;marts_E01019	C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O	linaloyl diphosphate	marts_M00314	C=C[C+](C)CCC=C(C)C	linalyl cation	marts_M00315	dephosphorylation	similarity	https://iubmb.qmul.ac.uk/enzyme/reaction/terp/menthane.html	marts_R00001	C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O>>C=C[C+](C)CCC=C(C)C	C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O>>C=C[C+](C)CCC=C(C)C	3
W6HUT3;Q8L5K4;O64961;F2XF94;E2E2P0;E2E2N3;A0A7G5KLV0		marts_E00000;marts_E00223;marts_E00543;marts_E00732;marts_E00787;marts_E00792;marts_E01019	C=C[C+](C)CCC=C(C)C	linalyl cation	marts_M00315	CC1=CC[C@H]([C+](C)C)CC1	(R)-α-Terpinyl cation	marts_M00922	cyclization	similarity	https://iubmb.qmul.ac.uk/enzyme/reaction/terp/menthane.html	marts_R00001	C=C[C+](C)CCC=C(C)C>>CC1=CC[C@H]([C+](C)C)CC1	C=C[C+](C)CCC=C(C)C>>CC1=CCC([C+](C)C)CC1	4
W6HUT3;Q8L5K4;O64961;F2XF94;E2E2P0;E2E2N3;A0A7G5KLV0		marts_E00000;marts_E00223;marts_E00543;marts_E00732;marts_E00787;marts_E00792;marts_E01019	CC1=CC[C@H]([C+](C)C)CC1	(R)-α-Terpinyl cation	marts_M00922	CC1=CC[C+](C(C)C)CC1	terpinen-4-yl cation	marts_M00637	hydride shift	similarity	https://iubmb.qmul.ac.uk/enzyme/reaction/terp/menthane.html	marts_R00001	CC1=CC[C@H]([C+](C)C)CC1>>CC1=CC[C+](C(C)C)CC1	CC1=CCC([C+](C)C)CC1>>CC1=CC[C+](C(C)C)CC1	5
W6HUT3;Q8L5K4;O64961;F2XF94;E2E2P0;E2E2N3;A0A7G5KLV0		marts_E00000;marts_E00223;marts_E00543;marts_E00732;marts_E00787;marts_E00792;marts_E01019	CC1=CC[C+](C(C)C)CC1	terpinen-4-yl cation	marts_M00637	CC1=CC=C(C(C)C)CC1	α-terpinene	marts_M00936	deprotonation	similarity	https://iubmb.qmul.ac.uk/enzyme/reaction/terp/menthane.html	marts_R00001	CC1=CC[C+](C(C)C)CC1>>CC1=CC=C(C(C)C)CC1	CC1=CC[C+](C(C)C)CC1>>CC1=CC=C(C(C)C)CC1	6
W6HUT3;Q1XBU4;Q1EG72;O23945;F2XFA8;E9N3U9;E2E2P2;E2E2P1;E2E2N3;C0PTH8;A0A2Z6E9F0;A0A059PYD5		marts_E00000;marts_E00417;marts_E00421;marts_E00559;marts_E00720;marts_E00747;marts_E00785;marts_E00786;marts_E00792;marts_E00848;marts_E01108;marts_E01303	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	(2E)-GPP	marts_M00312	[CH2+]/C=C(\C)CCC=C(C)C	geranyl cation	marts_M00313	dephosphorylation	experiment	https://www.sciencedirect.com/science/article/pii/S0003986183711562	marts_R00002	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[CH2+]/C=C(\C)CCC=C(C)C	CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>[CH2+]C=C(C)CCC=C(C)C	1
W6HUT3;Q1XBU4;Q1EG72;O23945;F2XFA8;E9N3U9;E2E2P2;E2E2P1;E2E2N3;C0PTH8;A0A2Z6E9F0;A0A059PYD5		marts_E00000;marts_E00417;marts_E00421;marts_E00559;marts_E00720;marts_E00747;marts_E00785;marts_E00786;marts_E00792;marts_E00848;marts_E01108;marts_E01303	[CH2+]/C=C(\C)CCC=C(C)C	geranyl cation	marts_M00313	C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O	linaloyl diphosphate	marts_M00314	phosphorylation	experiment	https://www.sciencedirect.com/science/article/pii/S0003986183711562	marts_R00002	[CH2+]/C=C(\C)CCC=C(C)C>>C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O	[CH2+]C=C(C)CCC=C(C)C>>C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O	2
W6HUT3;Q1XBU4;Q1EG72;O23945;F2XFA8;E9N3U9;E2E2P2;E2E2P1;E2E2N3;C0PTH8;A0A2Z6E9F0;A0A059PYD5		marts_E00000;marts_E00417;marts_E00421;marts_E00559;marts_E00720;marts_E00747;marts_E00785;marts_E00786;marts_E00792;marts_E00848;marts_E01108;marts_E01303	C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O	linaloyl diphosphate	marts_M00314	C=C[C+](C)CCC=C(C)C	linalyl cation	marts_M00315	dephosphorylation	experiment	https://www.sciencedirect.com/science/article/pii/S0003986183711562	marts_R00002	C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O>>C=C[C+](C)CCC=C(C)C	C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O>>C=C[C+](C)CCC=C(C)C	3
W6HUT3;Q1XBU4;Q1EG72;O23945;F2XFA8;E9N3U9;E2E2P2;E2E2P1;E2E2N3;C0PTH8;A0A2Z6E9F0;A0A059PYD5		marts_E00000;marts_E00417;marts_E00421;marts_E00559;marts_E00720;marts_E00747;marts_E00785;marts_E00786;marts_E00792;marts_E00848;marts_E01108;marts_E01303	C=C[C+](C)CCC=C(C)C	linalyl cation	marts_M00315	CC1=CC[C@@H]([C+](C)C)CC1	(S)-α-Terpinyl cation	marts_M00190	cyclization	experiment	https://www.sciencedirect.com/science/article/pii/S0003986183711562	marts_R00002	C=C[C+](C)CCC=C(C)C>>CC1=CC[C@@H]([C+](C)C)CC1	C=C[C+](C)CCC=C(C)C>>CC1=CCC([C+](C)C)CC1	4
