reaction_signature	canonical_reaction	substrate_name	substrate_smiles	product_name	product_smiles	terpene_type	has_mechanism	mechanism_marts_id	reaction_seen_exact	reaction_seen_signature	reaction_seen
	CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-];C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	prenyl diphosphate;isopentenyl diphosphate	CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-];C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-]	(2E,6E)-FPP	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	pt	True	no_mechanism	False	False	False
C=C(C)C(CC=C(C)C)COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C(CO)CC=C(C)C	C=C(C)C(CC=C(C)C)COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C(CO)CC=C(C)C	(R)-lavandulyl diphosphate	C=C(C)[C@@H](CC=C(C)C)COP(=O)([O-])OP(=O)([O-])[O-]	(R)-lavandulol	C=C(C)[C@H](CO)CC=C(C)C	mono	True	no_mechanism	False	True	True
C=C(C)C12CCCC1C(C)(CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-])C(C)CC2>>C=CC1(C)CC(C)C23CCCC2C(C)(C(C)CC3)C(O)C1	C=C(C)C12CCCC1C(C)(CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-])C(C)CC2>>C=CC1(C)CC(C)C23CCCC2C(C)(C(C)CC3)C(O)C1	multidienyl diphosphate	C=C(C)[C@]12CCCC1[C@](C)(CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@H](C)CC2	premutilin	C=C[C@]1(C)C[C@@H](O)[C@]2(C)C(C)CC[C@]3(CCC[C@H]32)[C@@H](C)C1	di	True	marts_R00304	False	False	False
C=C1CCC2C(C)(C)C(O)CCC2(C)C1CCC=C(C)CCC=C(C)CCC1OC1(C)C>>C=C1CCC2C(C)(C)C(O)CCC2(C)C1CCC1C(=C)CCC2C(C)(C)C(O)CCC12C	C=C1CCC2C(C)(C)C(O)CCC2(C)C1CCC=C(C)CCC=C(C)CCC1OC1(C)C>>C=C1CCC2C(C)(C)C(O)CCC2(C)C1CCC1C(=C)CCC2C(C)(C)C(O)CCC12C	(21S)-21,22-epoxypolypoda-8(26)-13,17-trien-3β-ol	C=C1CC[C@H]2C(C)(C)[C@@H](O)CC[C@]2(C)[C@H]1CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C	α-onocerin	C=C1CC[C@H]2C(C)(C)[C@@H](O)CC[C@]2(C)[C@H]1CC[C@H]1C(=C)CC[C@H]2C(C)(C)[C@@H](O)CC[C@]12C	tri	True	no_mechanism	True	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC23CCC1CC2C1(C)CCCC(C)(C)C1CC3	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC23CCC1CC2C1(C)CCCC(C)(C)C1CC3	ent-copalyl diphosphate	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	ent-atiserene	C=C1C[C@]23CC[C@H]1C[C@H]2[C@]1(C)CCCC(C)(C)[C@H]1CC3	di	True	marts_R00320	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC23CCC4C(C)(C)CCCC4(C)C2CCC1C3	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC23CCC4C(C)(C)CCCC4(C)C2CCC1C3	ent-copalyl diphosphate	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	ent-kaurene	C=C1C[C@@]23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3	di	True	marts_R00048	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC23CC1CC2CCC1C(C)(C)CCCC13C	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC23CC1CC2CCC1C(C)(C)CCCC13C	syn-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	stemod-13(17)-ene	C=C1CC[C@@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C	di	True	marts_R00039	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCO	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCO	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	(+)-copalol	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/CO	di	True	marts_R00441	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(C)(O)CCC1C(=C)CCC2C(C)(C)CCCC12C	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(C)(O)CCC1C(=C)CCC2C(C)(C)CCCC12C	syn-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	(13S)-vitexifolin A	C=C[C@@](C)(O)CC[C@@H]1C(=C)CC[C@H]2C(C)(C)CCC[C@]12C	di	True	marts_R00149	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(C)=CCC1C(=C)CCC2C(C)(C)CCCC12C	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(C)=CCC1C(=C)CCC2C(C)(C)CCCC12C	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	(12E)-labda-8(17),12,14-triene	C=C/C(C)=C/C[C@H]1C(=C)CC[C@H]2C(C)(C)CCC[C@]12C	di	True	marts_R00343	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)C=C2CCC3C(C)(C)CCCC3(C)C2CC1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)C=C2CCC3C(C)(C)CCCC3(C)C2CC1	ent-copalyl diphosphate	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	ent-pimara-8(14),15-diene	C=C[C@]1(C)C=C2CC[C@@H]3C(C)(C)CCC[C@@]3(C)[C@@H]2CC1	di	True	marts_R00106	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CC=C2C(CCC3C(C)(C)CCCC23C)C1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CC=C2C(CCC3C(C)(C)CCCC23C)C1	ent-copalyl diphosphate	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	ent-pimara-9(11),15-diene	C=C[C@@]1(C)CC=C2[C@@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)C1	di	True	marts_R00127	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2(C)C(CCC3(C)C(=C)CCCC32)C1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2(C)C(CCC3(C)C(=C)CCCC32)C1	ent-copalyl diphosphate	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	dolabradiene	C=C[C@@]1(C)CC[C@]2(C)[C@H](CC[C@]3(C)C(=C)CCC[C@@H]23)C1	di	True	marts_R00336	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2(O)C(CCC3C(C)(C)CCCC32C)C1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2(O)C(CCC3C(C)(C)CCCC32C)C1	syn-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	9β-hydroxy-syn-pimar-15-ene	C=C[C@@]1(C)CC[C@]2(O)C(CC[C@H]3C(C)(C)CCC[C@@]32C)C1	di	True	marts_R00493	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2C(=CCC3C(C)(C)CCCC23C)C1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2C(=CCC3C(C)(C)CCCC23C)C1	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	isopimara-7,15-diene	C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3C(C)(C)CCC[C@]23C)C1	di	True	marts_R00117	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2C(O)(CCC3C(C)(C)CCCC32C)C1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)CCC2C(O)(CCC3C(C)(C)CCCC32C)C1	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	nezukol	C=C[C@@]1(C)CC[C@H]2[C@@](O)(CC[C@H]3C(C)(C)CCC[C@@]32C)C1	di	True	marts_R00321	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1=CCC2C(CCC3C(C)(C)CCCC23C)C1C	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1=CCC2C(CCC3C(C)(C)CCCC23C)C1C	ent-copalyl diphosphate	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	ent-cassa-12,15-diene	C=CC1=CC[C@@H]2[C@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)[C@@H]1C	di	True	marts_R00146	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=C1C=C2CCC3C(C)(C)CCCC3(C)C2CC1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=C1C=C2CCC3C(C)(C)CCCC3(C)C2CC1	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	neoabietadiene	CC(C)=C1C=C2CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1	di	True	marts_R00131	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1(O)C=C2CCC3C(C)(C)CCCC3(C)C2CC1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1(O)C=C2CCC3C(C)(C)CCCC3(C)C2CC1	ent-copalyl diphosphate	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	13-hydroxy-8(14)-ent-abietene	CC(C)C1(O)C=C2CC[C@@H]3C(C)(C)CCC[C@@]3(C)C2CC1	di	True	marts_R00489	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C)C1CC2	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C)C1CC2	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	palustradiene	CC(C)C1=CC2=C(CC1)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2	di	True	marts_R00130	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC2=CCC3C(C)(C)CCCC3(C)C2CC1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC2=CCC3C(C)(C)CCCC3(C)C2CC1	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	abieta-7,13-diene	CC(C)C1=CC2=CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1	di	True	marts_R00140	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC=C2C(CCC3C(C)(C)CCCC23C)C1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC=C2C(CCC3C(C)(C)CCCC23C)C1	ent-copalyl diphosphate	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	8-epi-abieta-3(4),5-diene	CC(C)C1=CC=C2[C@@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)C1	di	True	marts_R00496	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CCC2=C(CCC3C(C)(C)CCCC23C)C1	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CCC2=C(CCC3C(C)(C)CCCC23C)C1	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	miltiradiene	CC(C)C1=CCC2=C(CC[C@H]3C(C)(C)CCC[C@]23C)C1	di	True	marts_R00009	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CCC2C(=C1)CCC1C(C)(C)CCCC21C	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CCC2C(=C1)CCC1C(C)(C)CCCC21C	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	levopimaradiene	CC(C)C1=CC[C@H]2C(=C1)CC[C@H]1C(C)(C)CCC[C@]21C	di	True	marts_R00038	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)CCCC2(C)C1CCC13CC(CCC12)C(C)(O)C3	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)CCCC2(C)C1CCC13CC(CCC12)C(C)(O)C3	(+)-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	phyllocladan-16α-ol	CC1(C)CCC[C@@]2(C)[C@H]1CC[C@]13CC(CC[C@@H]12)[C@](C)(O)C3	di	True	marts_R00270	False	True	True
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)CCCC2(C)C1CCC1CC3CC12CCC3(C)O	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)CCCC2(C)C1CCC1CC3CC12CCC3(C)O	syn-copalyl diphosphate	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	aphidicolan-16β-ol	CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@@H]3C[C@@]12CC[C@@]3(C)O	di	True	marts_R00095	False	False	False
C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC23CCC4C(C)(C)CCCC4(C)C2CCC1C3	C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC23CCC4C(C)(C)CCCC4(C)C2CCC1C3	ent-copalyl diphosphate	C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	ent-isokaurene	CC1=C[C@@]23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3	di	True	marts_R00285	False	True	True
