Entry,rhea_id,protein_seen,reaction_seen,protein_cluster,reaction_cluster,protein_fold,reaction_fold
MARTS_SEQ_b6f0fbd88ad009a3,MARTS_RXN_1242a365f538e79b,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_1242a365f538e79b,2,1
MARTS_SEQ_b6f0fbd88ad009a3,MARTS_RXN_fc09735a9f8b0862,True,False,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_fc09735a9f8b0862,2,4
MARTS_SEQ_b6f0fbd88ad009a3,MARTS_RXN_b6faae8ed504914f,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_b6faae8ed504914f,2,3
MARTS_SEQ_b6f0fbd88ad009a3,MARTS_RXN_994ba3440a8dbed7,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_994ba3440a8dbed7,2,3
MARTS_SEQ_b6f0fbd88ad009a3,MARTS_RXN_96ac57c793266e5e,True,False,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_96ac57c793266e5e,2,0
MARTS_SEQ_b6f0fbd88ad009a3,MARTS_RXN_e275424c414b8c5d,True,False,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_e275424c414b8c5d,2,2
MARTS_SEQ_b6f0fbd88ad009a3,MARTS_RXN_264d20fcc642e814,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_264d20fcc642e814,2,3
MARTS_SEQ_b6f0fbd88ad009a3,MARTS_RXN_030ced04f7a341d7,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_030ced04f7a341d7,2,2
MARTS_SEQ_b6f0fbd88ad009a3,MARTS_RXN_9e4ea3b1a4631521,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_9e4ea3b1a4631521,2,4
MARTS_SEQ_fdf1423199f0ebb7,MARTS_RXN_a78f2392f8c21c04,False,False,MARTS_SEQ_fdf1423199f0ebb7,C20_GGPP_like::MARTS_RXN_6b2dcf26c8922a57,0,1
MARTS_SEQ_fdf1423199f0ebb7,MARTS_RXN_b0d6adf0f8f25e7b,False,True,MARTS_SEQ_fdf1423199f0ebb7,C15_FPP_like::MARTS_RXN_b0d6adf0f8f25e7b,0,3
MARTS_SEQ_fdf1423199f0ebb7,MARTS_RXN_2e27139e482a6dfd,False,False,MARTS_SEQ_fdf1423199f0ebb7,C15_FPP_like::MARTS_RXN_2e27139e482a6dfd,0,2
MARTS_SEQ_471981ed448d64a9,MARTS_RXN_bbce0c9a00867f6f,False,True,MARTS_SEQ_471981ed448d64a9,C20_GGPP_like::MARTS_RXN_00588b0f0a754835,1,2
MARTS_SEQ_29ec46bab9b106fa,MARTS_RXN_7b0cfb7bb82c4ca3,False,False,MARTS_SEQ_af9d7b62c682272e,C20_GGPP_like::MARTS_RXN_29bbf964d264af82,3,1
MARTS_SEQ_62ba99a88859fad8,MARTS_RXN_bbce0c9a00867f6f,False,True,MARTS_SEQ_466c4959a1423ba8,C20_GGPP_like::MARTS_RXN_00588b0f0a754835,0,2
MARTS_SEQ_eb9f452d3cd69439,MARTS_RXN_ca54c73f0f6a6fc0,False,True,MARTS_SEQ_af9d7b62c682272e,C20_GGPP_like::MARTS_RXN_ca54c73f0f6a6fc0,3,1
MARTS_SEQ_956b5f1add233602,MARTS_RXN_00588b0f0a754835,False,True,MARTS_SEQ_466c4959a1423ba8,C20_GGPP_like::MARTS_RXN_00588b0f0a754835,0,2
MARTS_SEQ_f62e1f3a34783948,MARTS_RXN_91d7d339e1488bd0,True,True,MARTS_SEQ_15ca17370216743f,C15_FPP_like::MARTS_RXN_4e8885af0277ca69,2,0
MARTS_SEQ_75fe106f263557b0,MARTS_RXN_c29f1cca3044ee37,False,False,MARTS_SEQ_75fe106f263557b0,C20_GGPP_like::MARTS_RXN_c29f1cca3044ee37,1,1
MARTS_SEQ_75fe106f263557b0,MARTS_RXN_baa96a7e0621b577,False,True,MARTS_SEQ_75fe106f263557b0,C20_GGPP_like::MARTS_RXN_56f1be1c880d5e55,1,0
MARTS_SEQ_ffb8ea17053aca9e,MARTS_RXN_f062a1f7997d101a,False,True,MARTS_SEQ_ffb8ea17053aca9e,C20_GGPP_like::MARTS_RXN_f062a1f7997d101a,1,4
MARTS_SEQ_ffb8ea17053aca9e,MARTS_RXN_e71ff45cbd78c666,False,False,MARTS_SEQ_ffb8ea17053aca9e,C20_GGPP_like::MARTS_RXN_e71ff45cbd78c666,1,1
MARTS_SEQ_ba195380448cbc4a,MARTS_RXN_9d212bb942092d78,False,False,MARTS_SEQ_ba195380448cbc4a,C20_GGPP_like::MARTS_RXN_9d212bb942092d78,1,3
MARTS_SEQ_87a9e1c5b144882d,MARTS_RXN_55a14b5942034dc9,False,True,MARTS_SEQ_854ed2590c7afbf7,C10_GPP_like::MARTS_RXN_55a14b5942034dc9,0,2
MARTS_SEQ_87a9e1c5b144882d,MARTS_RXN_54ce947e1616af93,False,True,MARTS_SEQ_854ed2590c7afbf7,C10_GPP_like::MARTS_RXN_54ce947e1616af93,0,4
MARTS_SEQ_f81218d957d2301f,MARTS_RXN_d0442569d82cdfbe,False,True,MARTS_SEQ_854ed2590c7afbf7,C15_FPP_like::MARTS_RXN_d0442569d82cdfbe,0,2
MARTS_SEQ_f81218d957d2301f,MARTS_RXN_55a14b5942034dc9,False,True,MARTS_SEQ_854ed2590c7afbf7,C10_GPP_like::MARTS_RXN_55a14b5942034dc9,0,2
MARTS_SEQ_f81218d957d2301f,MARTS_RXN_54ce947e1616af93,False,True,MARTS_SEQ_854ed2590c7afbf7,C10_GPP_like::MARTS_RXN_54ce947e1616af93,0,4
MARTS_SEQ_0f99739bb061e80b,MARTS_RXN_a9dae59672a6db7a,False,True,MARTS_SEQ_854ed2590c7afbf7,C15_FPP_like::MARTS_RXN_a9dae59672a6db7a,0,2
MARTS_SEQ_0f99739bb061e80b,MARTS_RXN_55a14b5942034dc9,False,True,MARTS_SEQ_854ed2590c7afbf7,C10_GPP_like::MARTS_RXN_55a14b5942034dc9,0,2
MARTS_SEQ_0f99739bb061e80b,MARTS_RXN_54ce947e1616af93,False,True,MARTS_SEQ_854ed2590c7afbf7,C10_GPP_like::MARTS_RXN_54ce947e1616af93,0,4
MARTS_SEQ_854ed2590c7afbf7,MARTS_RXN_d0442569d82cdfbe,False,True,MARTS_SEQ_854ed2590c7afbf7,C15_FPP_like::MARTS_RXN_d0442569d82cdfbe,0,2
MARTS_SEQ_5e3124cee3d9bb11,MARTS_RXN_7b0cfb7bb82c4ca3,False,False,MARTS_SEQ_af9d7b62c682272e,C20_GGPP_like::MARTS_RXN_29bbf964d264af82,3,1
MARTS_SEQ_641bde3cf353a90f,MARTS_RXN_7b0cfb7bb82c4ca3,False,False,MARTS_SEQ_af9d7b62c682272e,C20_GGPP_like::MARTS_RXN_29bbf964d264af82,3,1
MARTS_SEQ_c861cb0218f02f56,MARTS_RXN_2f66322fcd3079e5,False,True,MARTS_SEQ_0208f1bad1ddf22b,C15_FPP_like::MARTS_RXN_2f66322fcd3079e5,4,1
MARTS_SEQ_eeb0cf0b82a628ce,MARTS_RXN_300234cd00168cf7,True,True,MARTS_SEQ_8a26ea50e8ec2fe7,C20_GGPP_like::MARTS_RXN_300234cd00168cf7,2,4
MARTS_SEQ_a68d8ce157f535eb,MARTS_RXN_445d3ade582cd4d9,True,True,MARTS_SEQ_57a04f35c84309e6,C15_FPP_like::MARTS_RXN_12ea767952411492,4,1
MARTS_SEQ_3e224dbcd2e66047,MARTS_RXN_bca813a0b5f35b09,True,True,MARTS_SEQ_5e88d4ffc2df403d,C15_FPP_like::MARTS_RXN_bca813a0b5f35b09,1,2
MARTS_SEQ_0c7d47ccdd8d9c45,MARTS_RXN_79949be171faa424,True,True,MARTS_SEQ_57b6c323ce2fb653,C15_FPP_like::MARTS_RXN_1f7cef5e91c21723,1,3
MARTS_SEQ_35191ca71030839c,MARTS_RXN_b6b1bb9e464ef7af,True,True,MARTS_SEQ_72cac0d4796c2523,C30_long_prenyl_like::MARTS_RXN_0304c008705652f9,1,3
MARTS_SEQ_17138eff0a04c9ed,MARTS_RXN_37bf66f566f8481d,True,True,MARTS_SEQ_72cac0d4796c2523,C30_long_prenyl_like::MARTS_RXN_0fc1278d92cea627,1,2
MARTS_SEQ_21be66e6d8097c6e,MARTS_RXN_0d6dcf3090a1cf2e,False,True,MARTS_SEQ_21be66e6d8097c6e,C20_GGPP_like::MARTS_RXN_0d6dcf3090a1cf2e,1,3
MARTS_SEQ_b53da414ae2568d3,MARTS_RXN_be815318a50a29dc,False,False,MARTS_SEQ_b53da414ae2568d3,C20_GGPP_like::MARTS_RXN_029b92fe95def7ba,3,2
MARTS_SEQ_bbc028e62b2a385e,MARTS_RXN_b0d6adf0f8f25e7b,False,True,MARTS_SEQ_29e6ce381eb50a2f,C15_FPP_like::MARTS_RXN_b0d6adf0f8f25e7b,0,3
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_a4e96415200ab234,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_a4e96415200ab234,2,0
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_55a14b5942034dc9,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_55a14b5942034dc9,2,2
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_77507c68e72eca5f,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_0bc621c08854694f,2,4
MARTS_SEQ_3fa58d0699c92207,MARTS_RXN_54ce947e1616af93,True,True,MARTS_SEQ_b6f0fbd88ad009a3,C10_GPP_like::MARTS_RXN_54ce947e1616af93,2,4
