reaction_id,cluster_id
MARTS_RXN_a01ec6b926871a43,C10_GPP_like::MARTS_RXN_a01ec6b926871a43
MARTS_RXN_6705f601fdae1316,C20_GGPP_like::MARTS_RXN_6705f601fdae1316
MARTS_RXN_18c5284114d254b8,C30_long_prenyl_like::MARTS_RXN_18c5284114d254b8
MARTS_RXN_6340c14d4e7c6736,C20_GGPP_like::MARTS_RXN_2f18d5d70489a2db
MARTS_RXN_2f18d5d70489a2db,C20_GGPP_like::MARTS_RXN_2f18d5d70489a2db
MARTS_RXN_9710b471174e59ab,C20_GGPP_like::MARTS_RXN_9710b471174e59ab
MARTS_RXN_035143e0b4ac708f,C20_GGPP_like::MARTS_RXN_035143e0b4ac708f
MARTS_RXN_527c95b7d526f626,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b
MARTS_RXN_f46d2670946d0647,C20_GGPP_like::MARTS_RXN_035143e0b4ac708f
MARTS_RXN_81d5aee1c089bc90,C20_GGPP_like::MARTS_RXN_78399ec4fc85c2fe
MARTS_RXN_d3c3b5b936c0676b,C20_GGPP_like::MARTS_RXN_d3c3b5b936c0676b
MARTS_RXN_6029eb5c9a034ccf,C20_GGPP_like::MARTS_RXN_6029eb5c9a034ccf
MARTS_RXN_7c41968d1cff8894,C20_GGPP_like::MARTS_RXN_7c41968d1cff8894
MARTS_RXN_d72149a152c41322,C20_GGPP_like::MARTS_RXN_78399ec4fc85c2fe
MARTS_RXN_480dcc05c3350db6,C20_GGPP_like::MARTS_RXN_480dcc05c3350db6
MARTS_RXN_1c7381e699705583,C20_GGPP_like::MARTS_RXN_1c7381e699705583
MARTS_RXN_0216267ce7f463bf,C20_GGPP_like::MARTS_RXN_0216267ce7f463bf
MARTS_RXN_79368a2476ac3bf7,C20_GGPP_like::MARTS_RXN_0216267ce7f463bf
MARTS_RXN_29bbf964d264af82,C20_GGPP_like::MARTS_RXN_29bbf964d264af82
MARTS_RXN_4fcf7c82c3339eec,C20_GGPP_like::MARTS_RXN_0216267ce7f463bf
MARTS_RXN_23b0ccdf525591f4,C20_GGPP_like::MARTS_RXN_23b0ccdf525591f4
MARTS_RXN_7b0cfb7bb82c4ca3,C20_GGPP_like::MARTS_RXN_29bbf964d264af82
MARTS_RXN_3abc72608e40ec3b,C20_GGPP_like::MARTS_RXN_0216267ce7f463bf
MARTS_RXN_6f6c259f1e28cb80,C20_GGPP_like::MARTS_RXN_2f18d5d70489a2db
MARTS_RXN_dbc26311dec1c4a3,C20_GGPP_like::MARTS_RXN_9710b471174e59ab
MARTS_RXN_9f7a5b7e54860109,C20_GGPP_like::MARTS_RXN_0e08d025745c0527
MARTS_RXN_adce19f1dd817e77,C20_GGPP_like::MARTS_RXN_adce19f1dd817e77
MARTS_RXN_78399ec4fc85c2fe,C20_GGPP_like::MARTS_RXN_78399ec4fc85c2fe
MARTS_RXN_99de587742ff006a,C30_long_prenyl_like::MARTS_RXN_4c4ba4bc054979a2
MARTS_RXN_c4cfcdfee60d6644,C15_FPP_like::MARTS_RXN_c4cfcdfee60d6644
MARTS_RXN_8fcc21e7d25a0888,C20_GGPP_like::MARTS_RXN_5e756bc9af8160fa
MARTS_RXN_5e756bc9af8160fa,C20_GGPP_like::MARTS_RXN_5e756bc9af8160fa
MARTS_RXN_57376f32fc6f0917,C20_GGPP_like::MARTS_RXN_57376f32fc6f0917
MARTS_RXN_780334b3fd258727,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b
MARTS_RXN_69100385edd07ec4,C20_GGPP_like::MARTS_RXN_69100385edd07ec4
MARTS_RXN_3656de9bcbb16208,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b
MARTS_RXN_4ce3a310c2be76cb,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b
MARTS_RXN_ca54c73f0f6a6fc0,C20_GGPP_like::MARTS_RXN_ca54c73f0f6a6fc0
MARTS_RXN_1ec0e0c1ca7b6259,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
MARTS_RXN_b89583d7f0d90b88,C20_GGPP_like::MARTS_RXN_b89583d7f0d90b88
MARTS_RXN_8900066556908bc8,C10_GPP_like::MARTS_RXN_8900066556908bc8
MARTS_RXN_10ad51343f41913b,C10_GPP_like::MARTS_RXN_10ad51343f41913b
MARTS_RXN_55f4259a8324fd93,C40_long_prenyl_like::MARTS_RXN_55f4259a8324fd93
MARTS_RXN_e7770b1f70c76223,C40_long_prenyl_like::MARTS_RXN_55f4259a8324fd93
MARTS_RXN_df06835b65dd8073,C30_long_prenyl_like::MARTS_RXN_df06835b65dd8073
MARTS_RXN_87203dec8e34c9ec,C30_long_prenyl_like::MARTS_RXN_87203dec8e34c9ec
MARTS_RXN_412a1f752827b429,C30_long_prenyl_like::MARTS_RXN_23432a8b720a855c
MARTS_RXN_78f709de4b7cf2ac,C30_long_prenyl_like::MARTS_RXN_23432a8b720a855c
MARTS_RXN_de164cb3f0e10ea4,C40_long_prenyl_like::MARTS_RXN_de164cb3f0e10ea4
MARTS_RXN_01575cdc595e4696,C35_long_prenyl_like::MARTS_RXN_01575cdc595e4696
MARTS_RXN_3c1616b3dda5ea0d,C35_long_prenyl_like::MARTS_RXN_3c1616b3dda5ea0d
MARTS_RXN_23432a8b720a855c,C30_long_prenyl_like::MARTS_RXN_23432a8b720a855c
MARTS_RXN_5d0b82c829ed8a97,C30_long_prenyl_like::MARTS_RXN_5d0b82c829ed8a97
MARTS_RXN_75ed7768b60ccdf3,C30_long_prenyl_like::MARTS_RXN_75ed7768b60ccdf3
