reaction_id,reaction_signature,reaction_smiles,reaction_seen,cluster_id
MARTS_RXN_a01ec6b926871a43,C=C(C)C(CC=C(C)C)COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C(CO)CC=C(C)C,C=C(C)[C@@H](CC=C(C)C)COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)[C@H](CO)CC=C(C)C,True,C10_GPP_like::MARTS_RXN_a01ec6b926871a43
MARTS_RXN_6705f601fdae1316,C=C(C)C12CCCC1C(C)(CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-])C(C)CC2>>C=CC1(C)CC(C)C23CCCC2C(C)(C(C)CC3)C(O)C1,C=C(C)[C@]12CCCC1[C@](C)(CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@H](C)CC2>>C=C[C@]1(C)C[C@@H](O)[C@]2(C)C(C)CC[C@]3(CCC[C@H]32)[C@@H](C)C1,False,C20_GGPP_like::MARTS_RXN_6705f601fdae1316
MARTS_RXN_18c5284114d254b8,C=C1CCC2C(C)(C)C(O)CCC2(C)C1CCC=C(C)CCC=C(C)CCC1OC1(C)C>>C=C1CCC2C(C)(C)C(O)CCC2(C)C1CCC1C(=C)CCC2C(C)(C)C(O)CCC12C,C=C1CC[C@H]2C(C)(C)[C@@H](O)CC[C@]2(C)[C@H]1CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C>>C=C1CC[C@H]2C(C)(C)[C@@H](O)CC[C@]2(C)[C@H]1CC[C@H]1C(=C)CC[C@H]2C(C)(C)[C@@H](O)CC[C@]12C,True,C30_long_prenyl_like::MARTS_RXN_18c5284114d254b8
MARTS_RXN_6340c14d4e7c6736,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC23CCC1CC2C1(C)CCCC(C)(C)C1CC3,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1C[C@]23CC[C@H]1C[C@H]2[C@]1(C)CCCC(C)(C)[C@H]1CC3,True,C20_GGPP_like::MARTS_RXN_2f18d5d70489a2db
MARTS_RXN_2f18d5d70489a2db,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC23CCC4C(C)(C)CCCC4(C)C2CCC1C3,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1C[C@@]23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3,True,C20_GGPP_like::MARTS_RXN_2f18d5d70489a2db
MARTS_RXN_9710b471174e59ab,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC23CC1CC2CCC1C(C)(C)CCCC13C,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC[C@@]23C[C@@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,True,C20_GGPP_like::MARTS_RXN_9710b471174e59ab
MARTS_RXN_035143e0b4ac708f,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCO,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/CO,False,C20_GGPP_like::MARTS_RXN_035143e0b4ac708f
MARTS_RXN_527c95b7d526f626,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(C)(O)CCC1C(=C)CCC2C(C)(C)CCCC12C,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C[C@](C)(O)CC[C@H]1C(=C)CC[C@H]2C(C)(C)CCC[C@]12C,True,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b
MARTS_RXN_f46d2670946d0647,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(C)=CCC1C(=C)CCC2C(C)(C)CCCC12C,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C/C(C)=C/C[C@@H]1C(=C)CC[C@H]2C(C)(C)CCC[C@]12C,True,C20_GGPP_like::MARTS_RXN_035143e0b4ac708f
MARTS_RXN_81d5aee1c089bc90,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC1(C)C=C2CCC3C(C)(C)CCCC3(C)C2CC1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C[C@]1(C)C=C2CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1,True,C20_GGPP_like::MARTS_RXN_78399ec4fc85c2fe
