protein_id,production_source,taxonomy_scope,kingdom,species,taxonomy_source,taxonomy_confidence
A0A060KY90,current,unknown,,,unknown,unknown
A0A067DDU9,current,eukaryote,Plantae,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),local_uniprot_organism_genus_to_marts_kingdom,conservative_genus_inference
A0A067ECN5,current,eukaryote,Plantae,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),local_uniprot_organism_genus_to_marts_kingdom,conservative_genus_inference
A0A067FI21,current,eukaryote,Plantae,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),local_uniprot_organism_genus_to_marts_kingdom,conservative_genus_inference
A0A067SEC9,current,eukaryote,Fungi,Galerina marginata,marts_kingdom_direct,direct_kingdom
A0A067Z9B6,current,unknown,,,unknown,unknown
A0A075F9Z3,current,eukaryote,Plantae,Marrubium vulgare (White horehound),local_uniprot_organism_genus_to_marts_kingdom,conservative_genus_inference
A0A075FA51,current,eukaryote,Plantae,Marrubium vulgare,marts_kingdom_direct,direct_kingdom
A0A075FAK4,current,eukaryote,Plantae,Marrubium vulgare,marts_kingdom_direct,direct_kingdom
A0A075FBG7,current,eukaryote,Plantae,Marrubium vulgare,marts_kingdom_direct,direct_kingdom
A0A075FBT3,current,eukaryote,Plantae,Marrubium vulgare,marts_kingdom_direct,direct_kingdom
A0A084R1H6,current,unknown,,,unknown,unknown
A0A084R1K7,current,eukaryote,Fungi,Stachybotrys chlorohalonatus (strain IBT 40285),local_uniprot_organism_genus_to_marts_kingdom,conservative_genus_inference
A0A097ZPC9,current,unknown,,,unknown,unknown
A0A097ZPD4,current,unknown,,,unknown,unknown
A0A097ZPD5,current,unknown,,,unknown,unknown
A0A097ZPD8,current,unknown,,,unknown,unknown
A0A097ZPD9,current,unknown,,,unknown,unknown
A0A097ZPE0,current,unknown,,,unknown,unknown
A0A097ZPE2,current,unknown,,,unknown,unknown
A0A097ZPE3,current,unknown,,,unknown,unknown
A0A097ZPE4,current,unknown,,,unknown,unknown
A0A097ZPE6,current,unknown,,,unknown,unknown
A0A097ZPE8,current,unknown,,,unknown,unknown
A0A097ZPF7,current,unknown,,,unknown,unknown
A0A097ZPG2,current,unknown,,,unknown,unknown
A0A098D1J7,current,unknown,,,unknown,unknown
A0A098DME4,current,unknown,,,unknown,unknown
A0A0A2JB87,current,eukaryote,Fungi,Penicillium expansum (Blue mold rot fungus),local_uniprot_organism_genus_to_marts_kingdom,conservative_genus_inference
A0A0A2JP58,current,eukaryote,Fungi,Penicillium expansum (Blue mold rot fungus),local_uniprot_organism_genus_to_marts_kingdom,conservative_genus_inference
A0A0B2XGM8,current,unknown,,,unknown,unknown
