reaction_id,reaction_signature,substrate_name,product_name,terpene_type,tps_class,reference_positive_count,mapped_reference_count,mapping_sources,reference_architectures,allowed_candidate_architectures,contract_status,rescue_supported
MARTS_EXT_RXN_000c8b710696,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C>>C=C(C)C1CCC2(C)C1CCC1(C)C2CCC2C3(C)CCCC(C)(C)C3CCC21C,squalene,hop-22(29)-ene,tri,2,5,5,accession,osc_full,osc_full,reference_supported,True
MARTS_EXT_RXN_012d56c064db,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1CCCC2(C)CCCCC12O,"(2E,6E)-FPP",geosmin,sesq,1,1,1,accession,bacterial_classI,bacterial_classI;classI_hybrid_full;plant_tps_full,reference_supported,True
MARTS_EXT_RXN_0216267ce7f4,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=C1C=C2CCC3C(C)(C)CCCC3(C)C2CC1,(+)-copalyl diphosphate,neoabietadiene,di,1,7,7,accession;mmseqs_high_coverage,plant_tps_full,bacterial_classI;classI_hybrid_full;plant_tps_full,reference_supported,True
MARTS_EXT_RXN_029b92fe95de,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC(C(C)C)C2C=C(C)CCC=C(C)CCC12,"(2E,6E,10E)-GGPP",microeunicellene,di,1,1,1,mmseqs_high_coverage,bacterial_classI,bacterial_classI;classI_hybrid_full;plant_tps_full,reference_supported,True
MARTS_EXT_RXN_0304c0087056,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C>>CC(C)(O)C1CCC2(C)C1CCC1(C)C2CCC2C3(C)CCC(O)C(C)(C)C3CCC21C,"(S)-2,3-epoxysqualene","21-beta-H-hopane-3-beta,22-diol",tri,2,1,1,accession,osc_full,osc_full,reference_supported,True
MARTS_EXT_RXN_033964ff02d8,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCC2(C)CCC(C(C)C)C2CC=C(C)C2=CCC(C)C2CC1,"(2E,6E,10E,14E)-GFPP",atacamatriene C,sester,1,1,1,mmseqs_high_coverage,bacterial_classI,bacterial_classI;classI_hybrid_full;plant_tps_full,reference_supported,True
MARTS_EXT_RXN_035143e0b4ac,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCO,(+)-copalyl diphosphate,(+)-copalol,di,1,1,0,no_supported_five_pfam_match,,,unsupported_or_unresolved_reference_family,False
MARTS_EXT_RXN_0396c90bff0f,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>Cc1ccc(C(C)C)cc1,(2E)-GPP,p-cymene,mono,1,1,1,accession,plant_tps_full,bacterial_classI;classI_hybrid_full;plant_tps_full,reference_supported,True
MARTS_EXT_RXN_055064ae05a5,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1CCC2=CC34C(C)CCC5C(C)CCC5(C3C)C4CC21C,"(2E,6E,10E,14E)-GFPP",sesterviridene A,sester,1,1,1,accession,bacterial_classI,bacterial_classI;classI_hybrid_full;plant_tps_full,reference_supported,True
MARTS_EXT_RXN_0601074748a9,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1CCC2C(C)CCC3C2C2=C1CCC2(C)C3(C)C,"(2E,6E,10E)-GGPP",venezuelaene A2,di,1,1,1,mmseqs_high_coverage,bacterial_classI,bacterial_classI;classI_hybrid_full;plant_tps_full,reference_supported,True
