reaction_id,legacy_exact_fold
RHEA:10340,0
RHEA:10940,4
RHEA:11328,1
RHEA:11656,0
RHEA:12016,2
RHEA:12052,3
RHEA:12192,4
RHEA:12240,0
RHEA:12516,3
RHEA:12605,0
RHEA:12869,0
RHEA:13369,3
RHEA:13525,2
RHEA:13545,4
RHEA:13873,4
RHEA:14009,2
RHEA:14485,3
RHEA:14621,0
RHEA:14841,3
RHEA:14901,0
RHEA:15809,4
RHEA:16337,3
RHEA:16345,0
RHEA:16561,0
RHEA:16965,1
RHEA:17637,1
RHEA:17653,1
RHEA:17945,4
RHEA:18081,3
RHEA:18209,3
RHEA:18325,0
RHEA:18721,3
RHEA:18957,3
RHEA:19361,0
RHEA:19525,3
RHEA:19565,0
RHEA:19825,3
RHEA:20565,3
RHEA:20912,4
RHEA:21308,1
RHEA:22220,1
RHEA:22228,2
RHEA:22232,0
RHEA:22408,4
RHEA:22436,3
RHEA:22672,1
RHEA:23112,2
RHEA:24116,1
RHEA:24316,1
RHEA:25282,0
RHEA:25436,3
RHEA:25440,1
RHEA:25444,0
RHEA:25448,4
RHEA:25452,4
RHEA:25456,0
RHEA:25460,2
RHEA:25464,4
RHEA:25468,4
RHEA:25472,4
RHEA:25476,1
RHEA:25484,3
RHEA:25488,3
RHEA:25492,3
RHEA:25496,2
RHEA:25500,2
RHEA:25504,1
RHEA:25508,0
RHEA:25524,0
RHEA:25532,1
RHEA:25536,3
RHEA:25540,2
RHEA:25544,2
RHEA:25548,2
RHEA:25552,0
RHEA:25556,4
RHEA:25560,3
RHEA:25613,0
RHEA:25617,0
RHEA:25621,0
RHEA:25641,3
RHEA:25645,1
RHEA:25649,4
RHEA:25662,2
RHEA:25666,1
RHEA:25694,0
RHEA:25759,3
RHEA:25976,4
RHEA:25980,1
RHEA:25984,3
RHEA:25988,2
RHEA:25992,1
RHEA:26081,1
RHEA:26115,3
RHEA:26128,0
RHEA:26160,1
RHEA:26213,2
RHEA:26245,3
RHEA:26430,1
RHEA:27421,3
RHEA:27425,2
RHEA:27526,2
RHEA:27530,1
RHEA:27534,4
RHEA:27830,0
RHEA:27954,4
RHEA:28266,0
RHEA:28282,3
RHEA:28290,1
RHEA:28294,1
RHEA:28298,4
RHEA:28302,0
RHEA:28635,4
RHEA:28639,3
RHEA:28643,3
RHEA:29483,1
RHEA:29487,0
RHEA:29491,1
RHEA:29495,0
RHEA:29499,1
RHEA:29503,4
RHEA:29507,0
RHEA:29511,2
RHEA:30371,2
RHEA:30375,0
RHEA:30379,0
RHEA:30383,0
RHEA:30423,4
RHEA:30427,4
RHEA:30431,2
RHEA:30451,2
RHEA:30463,2
RHEA:30467,0
RHEA:30471,0
RHEA:30675,3
RHEA:30855,0
RHEA:30947,2
RHEA:30951,4
RHEA:30987,1
RHEA:30999,2
RHEA:31003,1
RHEA:31007,4
RHEA:31011,3
RHEA:31023,1
RHEA:31035,1
RHEA:31351,2
RHEA:31383,4
RHEA:31387,1
RHEA:31415,0
RHEA:31419,1
RHEA:31423,0
RHEA:31427,3
RHEA:31431,4
RHEA:31435,1
RHEA:31439,1
RHEA:31699,4
RHEA:31795,3
RHEA:31807,4
RHEA:31811,2
RHEA:31815,3
RHEA:31819,1
RHEA:31823,2
RHEA:31827,0
RHEA:31831,1
RHEA:31847,1
RHEA:31851,0
RHEA:31855,3
RHEA:31859,3
RHEA:31863,2
RHEA:31867,2
RHEA:31871,1
RHEA:31875,1
RHEA:31879,1
RHEA:31883,0
RHEA:31887,4
RHEA:31895,1
RHEA:31987,2
RHEA:31991,2
RHEA:31995,4
RHEA:31999,2
RHEA:32003,0
RHEA:32011,1
RHEA:32015,2
RHEA:32019,2
RHEA:32023,2
RHEA:32027,3
RHEA:32031,0
RHEA:32075,1
RHEA:32151,4
RHEA:32295,3
RHEA:32299,4
RHEA:32327,4
RHEA:32439,0
RHEA:32539,2
RHEA:32543,4
RHEA:32547,3
RHEA:32551,1
RHEA:32555,4
RHEA:32559,2
RHEA:32563,4
RHEA:32567,4
RHEA:32571,4
RHEA:32575,4
RHEA:32579,3
RHEA:32679,1
RHEA:32687,3
RHEA:32691,0
RHEA:32699,1
RHEA:32703,2
RHEA:33103,3
RHEA:33107,0
RHEA:33111,0
RHEA:33119,0
RHEA:33123,4
RHEA:33983,3
RHEA:33987,2
RHEA:33991,0
RHEA:34255,3
RHEA:34459,1
RHEA:34463,0
RHEA:34467,0
RHEA:34503,3
RHEA:34695,3
RHEA:34699,2
RHEA:34703,0
RHEA:36063,3
RHEA:38155,0
RHEA:40027,1
RHEA:41552,3
RHEA:41628,1
RHEA:42984,2
RHEA:42988,4
RHEA:42992,2
RHEA:42996,4
RHEA:43000,0
RHEA:47052,1
RHEA:47944,2
RHEA:49628,1
RHEA:49632,3
RHEA:52804,3
RHEA:53616,4
RHEA:53620,0
RHEA:53624,3
RHEA:53628,1
RHEA:53632,0
RHEA:53640,1
RHEA:53644,1
RHEA:53648,0
RHEA:53668,2
RHEA:54040,4
RHEA:54044,2
RHEA:54048,4
RHEA:54052,2
RHEA:54056,0
RHEA:54060,2
RHEA:54064,2
RHEA:54068,3
RHEA:54072,4
RHEA:54076,0
RHEA:54108,1
RHEA:54112,2
RHEA:54116,1
RHEA:54372,1
RHEA:54376,0
RHEA:54380,0
RHEA:54496,2
RHEA:54500,3
RHEA:54504,3
RHEA:54508,4
RHEA:54512,1
RHEA:54516,4
RHEA:54520,0
RHEA:54636,2
RHEA:54640,4
RHEA:54648,1
RHEA:54652,1
RHEA:54664,4
RHEA:54668,4
RHEA:54676,0
RHEA:54684,1
RHEA:54692,4
RHEA:55216,4
RHEA:55424,2
RHEA:55520,0
RHEA:56556,3
RHEA:56632,4
RHEA:56820,2
RHEA:56824,4
RHEA:56944,2
RHEA:56984,3
RHEA:57516,0
RHEA:57520,3
RHEA:57544,0
RHEA:58160,3
RHEA:58164,1
RHEA:58168,3
RHEA:58172,1
RHEA:59224,0
RHEA:59232,2
RHEA:59236,0
RHEA:59904,2
RHEA:60016,4
RHEA:60020,2
RHEA:60024,3
RHEA:60028,2
RHEA:60424,4
