protein_id,layer
A0A009IHW8,base
A0A010QGH7,base
A0A010QYQ5,base
A0A010R7T7,base
A0A010R823,base
A0A010R900,base
A0A010RKR7,base
A0A010S4G2,base
A0A010S4I9,base
A0A010SJD8,base
A0A010YQZ8,base
A0A010ZV77,base
A0A011QK89,base
A0A017SNL7,base
A0A017SR40,base
A0A017SVI7,base
A0A017SW31,base
A0A017SZ17,base
A0A017T047,base
A0A017TIH1,base
A0A017TJA0,base
A0A022PUE5,base
A0A022Q311,base
A0A022QCL9,base
A0A022QGZ1,base
A0A022QV88,base
A0A022R1W7,base
A0A022XLF0,base
A0A022Y7S1,base
A0A023DK02,base
A0A023GS28,base
A0A023J8Z5,base
A0A023UAW9,base
A0A023VSF1,base
A0A023VYM5,base
A0A023W421,base
A0A023WZP4,base
A0A023X648,base
A0A023YYV9,base
A0A024BTN9,base
A0A024P564,base
A0A024SMV2,base
A0A058ZSL9,base
A0A059JCX8,base
A0A059PYD5,base
A0A059SVB0,base
A0A059TC02,base
A0A059WLZ7,base
A0A059WYP6,base
A0A060KY90,base
A0A060LSW5,base
A0A060M366,base
A0A060S3F9,base
A0A060S684,base
A0A060S8P1,base
A0A060SCC7,base
A0A060SL93,base
A0A060X6Z0,base
A0A060ZQJ1,base
A0A060ZZR1,base
A0A061A3Z6,base
A0A061A895,base
A0A061A8C8,base
A0A061B0Q2,base
A0A061F6U5,base
A0A061F8M6,base
A0A061F9A8,base
A0A061F9B8,base
A0A061F9D1,base
A0A061FA71,base
A0A061FBH4,base
A0A061FBW2,base
A0A061FDP1,base
A0A061FHJ1,base
A0A061FHK4,base
A0A061FIX4,base
A0A061FKL9,base
A0A061FKM4,base
A0A061FMF5,base
A0A061FTC2,base
A0A061FVV6,base
A0A061GG35,base
A0A061GN29,base
A0A061I403,base
A0A063C1W0,base
A0A066U7L8,base
A0A066Y238,base
A0A066YKZ3,base
A0A066YL45,base
A0A066YQY7,base
A0A066YW49,base
A0A067BIM0,base
A0A067D647,base
A0A067D6X8,base
A0A067DPZ4,base
A0A067DX28,base
A0A067E4Y3,base
A0A067GB33,base
A0A067JLF4,base
A0A067JPJ7,base
A0A067JQ70,base
A0A067JRK6,base
A0A067JSJ6,base
A0A067JT18,base
A0A067JTU9,base
A0A067JUF2,base
A0A067JXK2,base
A0A067K2C7,base
A0A067K667,base
A0A067K963,base
A0A067KB09,base
A0A067KGI0,base
A0A067KGU0,base
A0A067KI99,base
A0A067KII1,base
A0A067KIY7,base
A0A067KLI9,base
A0A067KPQ3,base
A0A067KSS4,base
A0A067KST6,base
A0A067KVJ6,base
A0A067KXK6,base
A0A067L1K5,base
A0A067L1Q1,base
A0A067LA82,base
A0A067M834,base
A0A067M8B0,base
A0A067N7X3,base
A0A067NBB1,base
A0A067NCK3,base
A0A067NY86,base
A0A067PFE6,base
A0A067PM63,base
A0A067PWC7,base
A0A067PY27,base
A0A067Q5C0,base
A0A067SC48,base
A0A067SEC9,base
A0A067SL26,base
A0A067SNI8,base
A0A067SS78,base
A0A067SWF3,base
A0A067T4E1,base
A0A067T571,base
A0A067T6V4,base
A0A067TG08,base
A0A067TQJ1,base
A0A067XGX8,base
A0A067XH53,base
A0A067XMV3,base
A0A067YB04,base
A0A067YBQ3,base
A0A067Z9B6,base
A0A068BGA5,base
A0A068BIF1,base
A0A068CNX1,base
A0A068EUF6,base
A0A068J840,base
A0A068Q605,base
A0A068Q609,base
A0A068Q7V0,base
A0A068U845,base
A0A068UGZ4,base
A0A068UH51,base
A0A068UI35,base
A0A068UTH0,base
A0A068UTT8,base
A0A068UTU6,base
A0A068VE70,base
A0A068VI46,base
A0A068VMM7,base
A0A069AMK2,base
A0A072PDC8,base
A0A072V868,base
A0A072VDF2,base
A0A072VPZ8,base
A0A073CEA3,base
A0A073JWZ7,base
A0A074L5D1,base
A0A074LLW2,base
A0A074RGB6,base
A0A074RJZ6,base
A0A074W595,base
A0A075B767,base
A0A075BSX9,base
A0A075D5I4,base
A0A075D657,base
A0A075DVI9,base
A0A075FBG7,base
A0A075HNX4,base
A0A075K2F2,base
A0A075TMP0,base
A0A075TMP8,base
A0A075TR27,base
A0A075TRB3,base
A0A075TRK9,base
A0A075TRL5,base
A0A075TXZ1,base
A0A075TXZ3,base
A0A075W0Z3,base
A0A075W2D6,base
A0A075W3D9,base
A0A076FF10,base
A0A076FFM5,base
A0A076GAR5,base
A0A076GAR6,base
A0A076GAU5,base
A0A076GAU9,base
A0A076GBT5,base
A0A076GBU1,base
A0A076GH20,base
A0A076KZH5,base
A0A076KZS5,base
A0A076L4M0,base
A0A076L4Z9,base
A0A076L503,base
A0A076L784,base
A0A076MP76,base
A0A076MPZ4,base
A0A076U5E5,base
A0A076V5R4,base
A0A077ES70,base
A0A077ESS0,base
A0A077EW86,base
A0A077EWA5,base
A0A077HAK5,base
A0A077K8G3,base
A0A077K9K6,base
A0A077LPS9,base
A0A078F494,base
A0A078F8G1,base
A0A078FBN1,base
A0A078FIU3,base
A0A078FKM3,base
A0A078FPH4,base
A0A078FRJ3,base
A0A078G632,base
A0A078GCM0,base
A0A078GST7,base
A0A078GZ41,base
A0A078H7B5,base
A0A078H868,base
A0A078HCH8,base
A0A078HV52,base
A0A078IUM4,base
A0A078IZS4,base
A0A078J3D0,base
A0A078JCE1,base
A0A078JCX8,base
A0A078JSR5,base
A0A081LDY7,base
A0A081XM02,base
A0A081XQ53,base
A0A084B4T1,base
A0A084FVS4,base
A0A084G0C4,base
A0A084QPD1,base
A0A084R1K7,base
A0A085BHQ0,base
A0A085WGK2,base
A0A085WK32,base
A0A085YXN0,base
A0A085YXN3,base
A0A085Z9Z5,base
A0A085ZBC3,base
A0A085ZCK6,base
A0A086A3J9,base
A0A086A3K0,base
A0A086A6X8,base
A0A086N7C8,base
A0A086STV4,base
A0A086SU69,base
A0A086T3S0,base
A0A086T7D5,base
A0A086TEQ9,base
A0A087G1P4,base
A0A087G1V0,base
A0A087G3X4,base
A0A087GFQ0,base
A0A087HG55,base
A0A087WNH6,base
A0A087X1C5,base
A0A088CN86,base
A0A088MF62,base
A0A090CLS4,base
A0A094YZ24,base
A0A095AMW7,base
A0A096P8D3,base
A0A096VHY7,base
A0A096VR74,base
A0A096ZEC9,base
A0A096ZED0,base
A0A097ZIE0,base
A0A097ZPC9,base
A0A097ZPD4,base
A0A097ZPD5,base
A0A097ZPD8,base
A0A097ZPD9,base
A0A097ZPE2,base
A0A097ZPE3,base
A0A097ZPE6,base
A0A097ZPE8,base
A0A097ZPF7,base
A0A097ZPG2,base
A0A097ZQA4,base
A0A097ZQB6,base
A0A097ZQD0,base
A0A097ZQD1,base
A0A098D1J7,base
A0A098D1R2,base
A0A098DDE7,base
A0A098DJ84,base
A0A098DME4,base
A0A098DRK7,base
A0A098DVT4,base
A0A0A0KAJ1,base
A0A0A0L2M0,base
A0A0A0L337,base
A0A0A0LFN0,base
A0A0A0LJZ1,base
A0A0A0LMW4,base
A0A0A0LMX2,base
A0A0A0LX82,base
A0A0A0QUT9,base
A0A0A0RCB5,base
A0A0A0RDR2,base
A0A0A0RDZ8,base
A0A0A1C3I2,base
A0A0A1C930,base
A0A0A1EQ07,base
A0A0A1GKA2,base
A0A0A1GNF2,base
A0A0A1H7M6,base
A0A0A1H7N4,base
A0A0A1H8I4,base
A0A0A1HA03,base
A0A0A1TMX2,base
A0A0A2IDH4,base
A0A0A2J1U9,base
A0A0A2JB87,base
A0A0A2JC36,base
A0A0A2JK86,base
A0A0A2JP58,base
A0A0A2JWD0,base
A0A0A2KHR8,base
A0A0A2KJT3,base
A0A0A2KQ58,base
A0A0A2L9S1,base
A0A0A2LHA0,base
A0A0A2MCS5,base
A0A0A2TAY8,base
A0A0A6ZFR4,base
A0A0A6ZFY4,base
A0A0A7DNH6,base
A0A0A7DNP0,base
A0A0A7EQR3,base
A0A0A7GEY4,base
A0A0A7HB61,base
A0A0A7LRQ7,base
A0A0A7XNA3,base
A0A0B0MPF8,base
A0A0B0N3N9,base
A0A0B0NUB2,base
A0A0B0NZ75,base
A0A0B0P5M5,base
A0A0B0QJN8,base
A0A0B0QJR1,base
A0A0B0SG80,base
A0A0B2WN72,base
A0A0B2WRD3,base
A0A0B2XGM8,base
A0A0B4EB91,base
A0A0B4FWC3,base
A0A0B4G3Q7,base
A0A0B4G504,base
A0A0B4GN88,base
A0A0B4GR36,base
A0A0B4GVT1,base
A0A0B4H214,base
A0A0B4IF96,base
A0A0B4J2A2,base
A0A0B4KE90,base
A0A0B4KZX8,base
A0A0B4L1W8,base
A0A0B4L8B1,base
A0A0B4VFP0,base
A0A0B4XBT3,base
A0A0B4ZTQ2,base
A0A0B5A051,base
A0A0B5I5P0,base
A0A0B5KP67,base
A0A0B5L585,base
A0A0B5L778,base
A0A0B5L781,base
A0A0B5L7R4,base
A0A0B5LB52,base
A0A0B5LB55,base
A0A0B5RNJ4,base
A0A0B6CGH9,base
A0A0B6VQ48,base
A0A0B7FXK8,base
A0A0C1RGM3,base
A0A0C2IW61,base
A0A0C2RLD5,base
A0A0C2S7R3,base
A0A0C2SCU5,base
A0A0C2SRU5,base
A0A0C2TFL3,base
A0A0C2TFR0,base
A0A0C2ZQY6,base
A0A0C3AK51,base
A0A0C3B2M7,base
A0A0C3BUK7,base
A0A0C3D179,base
A0A0C3DW10,base
A0A0C3DW15,base
A0A0C3DWK0,base
A0A0C3EBA9,base
A0A0C3FBR2,base
A0A0C3GX91,base
A0A0C3K2Z9,base
A0A0C3KVC0,base
A0A0C3MF46,base
A0A0C3MF69,base
A0A0C3MF90,base
A0A0C3PLZ6,base
A0A0C4DST9,base
A0A0C4DXE1,base
A0A0C4E438,base
A0A0C5PHQ7,base
A0A0C5PRW9,base
A0A0C5Q309,base
A0A0C5Q4Y6,base
A0A0C5QH30,base
A0A0C5QRZ2,base
A0A0C6DRT7,base
A0A0C6DRW4,base
A0A0C6DUU3,base
A0A0C6DWS6,base
A0A0C6E5D0,base
A0A0C9SKH3,base
A0A0C9SRP8,base
A0A0C9T8N1,base
A0A0C9TPA5,base
A0A0C9TVR0,base
A0A0C9U7U5,base
A0A0C9UCE9,base
A0A0C9UCV1,base
A0A0C9UUK6,base
A0A0C9UV01,base
A0A0C9VAH4,base
A0A0C9VD04,base
A0A0C9W4U2,base
A0A0C9WNP1,base
A0A0C9XHU2,base
A0A0C9YJ48,base
A0A0D0AAZ5,base
A0A0D0BLM1,base
A0A0D0BTR9,base
A0A0D0CKM9,base
A0A0D0CM27,base
A0A0D0CNG6,base
A0A0D0PXE2,base
A0A0D0Q328,base
A0A0D0UTN7,base
A0A0D0WPE8,base
A0A0D0X088,base
A0A0D1DWQ2,base
A0A0D1E6L2,base
A0A0D2A3M7,base
A0A0D2KML3,base
A0A0D2L718,base
A0A0D2NJJ1,base
A0A0D2PJ06,base
A0A0D2QR17,base
A0A0D2R283,base
A0A0D2RPS2,base
A0A0D2SEI1,base
A0A0D2SN38,base
A0A0D2U1X4,base
A0A0D2V1H6,base
A0A0D2Y5A7,base
A0A0D2YG05,base
A0A0D2YG09,base
