query_id,candidate_count,positive_count,has_positive,best_positive_rank,best_positive_rank_fraction,mean_positive_rank,mean_positive_reciprocal_rank,reciprocal_rank,average_precision,roc_auc,dcg_at_10,ndcg_at_1,ndcg_at_2,ndcg_at_3,ndcg_at_4,ndcg_at_5,ndcg_at_10,ndcg_at_20,ndcg_at_50,hit_at_1,positive_hits_at_1,precision_at_1,positive_recall_at_1,hit_at_2,positive_hits_at_2,precision_at_2,positive_recall_at_2,hit_at_3,positive_hits_at_3,precision_at_3,positive_recall_at_3,hit_at_4,positive_hits_at_4,precision_at_4,positive_recall_at_4,hit_at_5,positive_hits_at_5,precision_at_5,positive_recall_at_5,hit_at_10,positive_hits_at_10,precision_at_10,positive_recall_at_10,hit_at_20,positive_hits_at_20,precision_at_20,positive_recall_at_20,hit_at_50,positive_hits_at_50,precision_at_50,positive_recall_at_50,success_at_0.01_fraction,success_at_0.02_fraction,success_at_0.03_fraction,success_at_0.05_fraction,ef_at_0.01_fraction,ef_at_0.02_fraction
RHEA:11148,166202,101,1,49,0.0002948219636346133,8296.148514851486,0.0008112224121259573,0.02040816326530612,0.01046578445881252,0.9503606328989501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013737594368807445,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,0.02,0.009900990099009901,1.0,1.0,1.0,1.0,14.851663866747685,14.356608404522763
RHEA:15681,166202,1,1,63140,0.37989915885488745,63140.0,1.5837820715869496e-05,1.5837820715869496e-05,1.5837820715869496e-05,0.620104572174656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHEA:20884,166202,1,1,13042,0.07847077652495156,13042.0,7.667535654040791e-05,7.667535654040791e-05,7.667535654040791e-05,0.9215347681421893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHEA:22480,166202,1,1,8330,0.05011973381788426,8330.0,0.00012004801920768308,0.00012004801920768308,0.00012004801920768308,0.9498859814321213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHEA:25440,166202,1,1,431,0.0025932299250309866,431.0,0.002320185614849188,0.002320185614849188,0.002320185614849188,0.9974127712829646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,100.00120336943442,50.00060168471721
RHEA:27477,166202,2,1,92,0.0005535432786609066,111.0,0.009280936454849498,0.010869565217391304,0.013127090301003345,0.999341155234657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,100.00120336943442,50.00060168471721
RHEA:28602,166202,4,1,3423,0.020595420031046557,3742.5,0.00026840523828550406,0.00029214139643587495,0.0006509557632990887,0.9774967207788301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
RHEA:28606,166202,4,1,4329,0.026046617970902877,4598.25,0.0002181025936476774,0.000231000231000231,0.0005329019991186305,0.9723477418500824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
RHEA:29879,166202,4,1,15855,0.09539596394748559,23517.0,4.8772959371815775e-05,6.30715862503942e-05,0.0001057636672684751,0.8585151445865775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHEA:29883,166202,2,1,24004,0.1444266615323522,24793.5,4.037409027901596e-05,4.1659723379436764e-05,5.991831886831354e-05,0.8508303249097473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
