query_id,candidate_count,positive_count,has_positive,best_positive_rank,best_positive_rank_fraction,mean_positive_rank,mean_positive_reciprocal_rank,reciprocal_rank,average_precision,roc_auc,dcg_at_10,ndcg_at_1,ndcg_at_2,ndcg_at_3,ndcg_at_4,ndcg_at_5,ndcg_at_10,ndcg_at_20,ndcg_at_50,hit_at_1,positive_hits_at_1,precision_at_1,positive_recall_at_1,hit_at_2,positive_hits_at_2,precision_at_2,positive_recall_at_2,hit_at_3,positive_hits_at_3,precision_at_3,positive_recall_at_3,hit_at_4,positive_hits_at_4,precision_at_4,positive_recall_at_4,hit_at_5,positive_hits_at_5,precision_at_5,positive_recall_at_5,hit_at_10,positive_hits_at_10,precision_at_10,positive_recall_at_10,hit_at_20,positive_hits_at_20,precision_at_20,positive_recall_at_20,hit_at_50,positive_hits_at_50,precision_at_50,positive_recall_at_50,success_at_0.01_fraction,success_at_0.02_fraction,success_at_0.03_fraction,success_at_0.05_fraction,ef_at_0.01_fraction,ef_at_0.02_fraction
RHEA:11148,166202,101,1,784,0.004717151418153813,10675.415841584158,0.00021452605964384562,0.0012755102040816326,0.005804613436286737,0.9360364125346377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,4.9505546222492285,11.881331093398149
RHEA:15681,166202,1,1,91,0.0005475265038928532,91.0,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.9994584870127136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,100.00120336943442,50.00060168471721
RHEA:20884,166202,1,1,5089,0.03061936679462341,5089.0,0.00019650225977598743,0.00019650225977598743,0.00019650225977598743,0.9693864657854044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RHEA:22480,166202,1,1,3527,0.021221164606924105,3527.0,0.0002835270768358378,0.0002835270768358378,0.0002835270768358378,0.9787847245203097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
RHEA:25440,166202,1,1,1455,0.008754407287517599,1455.0,0.0006872852233676976,0.0006872852233676976,0.0006872852233676976,0.9912515568498385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,100.00120336943442,50.00060168471721
RHEA:27477,166202,2,1,118,0.0007099794226302933,134.0,0.0075706214689265534,0.00847457627118644,0.010903954802259887,0.9992027677496992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,100.00120336943442,50.00060168471721
RHEA:28602,166202,4,1,224,0.0013477575480439466,252.75,0.003998365873520379,0.004464285714285714,0.009572055589349399,0.9984942658756423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,100.00120336943442,50.00060168471721
RHEA:28606,166202,4,1,210,0.0012635227012911998,245.0,0.004154091213950369,0.004761904761904762,0.009804195543632164,0.9985408970023707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,100.00120336943442,50.00060168471721
RHEA:29879,166202,4,1,125,0.0007520968460066666,780.0,0.0036228712859127485,0.008,0.00577046127932251,0.9953218450282193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,100.00120336943442,50.00060168471721
RHEA:29883,166202,2,1,2953,0.01776753589006149,3011.5,0.0003321857857796025,0.0003386386725364037,0.0004950522352910032,0.9818892900120337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,50.00060168471721
