dataset_scale,baseline,pocket_source,pocket_selection,aggregation,status,n_reactions,n_valid_reactions,n_pairs,n_unique_enzymes,n_positive_pairs,n_pockets,top5_success,top10_success,delta_top5_vs_official,delta_top10_vs_official,mean_rank_shift_vs_official,median_rank_shift_vs_official,mean_score_shift_vs_official,best_pocket_rank_gt1_rate,blocked_reason
enzyme405_50,official_precomputed_pocket,official_precomputed,top1,max,completed,50,50,1675,1556,86,1550,0.54,0.68,0.0,0.0,0.0,0.0,0.0,0.0,
enzyme405_50,p2rank_top1,p2rank,top1,max,completed,50,50,1675,1556,86,1548,0.54,0.68,0.0,0.0,0.030612244897959183,0.0,0.00031233038125946116,0.0,
enzyme405_50,p2rank_topk_max,p2rank,topk,max,completed,50,50,1675,1556,86,6221,0.54,0.68,0.0,0.0,0.030612244897959183,0.0,0.0008355983215491248,0.524609843937575,
enzyme405_50,p2rank_topk_mean,p2rank,topk,mean,completed,50,50,1675,1556,86,6221,0.54,0.68,0.0,0.0,0.030612244897959183,0.0,0.00037227173600707487,0.524609843937575,
enzyme405_50,p2rank_topk_rank_weighted,p2rank,topk,rank_weighted,completed,50,50,1675,1556,86,6221,0.54,0.68,0.0,0.0,0.030612244897959183,0.0,0.0003594141392546186,0.524609843937575,
enzyme405_50,p2rank_topk_softmax_pool,p2rank,topk,softmax_pool,completed,50,50,1675,1556,86,6221,0.54,0.68,0.0,0.0,0.030612244897959183,0.0,0.00041042352633316014,0.524609843937575,
enzyme405_50,fpocket_top1,fpocket,top1,max,blocked_fpocket_missing,50,50,1675,1556,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocked_fpocket_missing
enzyme405_50,fpocket_topk_rank_weighted,fpocket,topk,rank_weighted,failed,50,50,1675,1556,86,428,NA,NA,NA,NA,NA,NA,NA,NA,inference
enzyme405_50,p2rank_fpocket_union_max,p2rank+fpocket,union_topk,max,blocked_missing_full_structure_for_p2rank,50,50,1675,1556,86,6649,NA,NA,NA,NA,NA,NA,NA,NA,blocked_missing_full_structure_for_p2rank
enzyme405_50,p2rank_fpocket_union_source_weighted,p2rank+fpocket,union_topk,source_weighted,blocked_missing_full_structure_for_p2rank,50,50,1675,1556,86,6649,NA,NA,NA,NA,NA,NA,NA,NA,blocked_missing_full_structure_for_p2rank
enzyme405_100,official_precomputed_pocket,official_precomputed,top1,max,completed,100,99,3249,2807,154,2796,0.5858585858585859,0.7070707070707071,0.0,0.0,0.0,0.0,0.0,0.0,
enzyme405_100,p2rank_top1,p2rank,top1,max,not_run,100,99,3249,2807,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_100,p2rank_topk_max,p2rank,topk,max,not_run,100,99,3249,2807,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_100,p2rank_topk_mean,p2rank,topk,mean,not_run,100,99,3249,2807,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_100,p2rank_topk_rank_weighted,p2rank,topk,rank_weighted,not_run,100,99,3249,2807,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_100,p2rank_topk_softmax_pool,p2rank,topk,softmax_pool,not_run,100,99,3249,2807,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_100,fpocket_top1,fpocket,top1,max,not_run,100,99,3249,2807,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocked_fpocket_missing
enzyme405_100,fpocket_topk_rank_weighted,fpocket,topk,rank_weighted,not_run,100,99,3249,2807,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocked_fpocket_missing
enzyme405_100,p2rank_fpocket_union_max,p2rank+fpocket,union_topk,max,not_run,100,99,3249,2807,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocked_fpocket_missing
enzyme405_100,p2rank_fpocket_union_source_weighted,p2rank+fpocket,union_topk,source_weighted,not_run,100,99,3249,2807,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocked_fpocket_missing
enzyme405_all_feasible,official_precomputed_pocket,official_precomputed,top1,max,resource_limited,524,519,15147,8201,894,8137,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_all_feasible,p2rank_top1,p2rank,top1,max,not_run,524,519,15147,8201,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_all_feasible,p2rank_topk_max,p2rank,topk,max,not_run,524,519,15147,8201,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_all_feasible,p2rank_topk_mean,p2rank,topk,mean,not_run,524,519,15147,8201,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_all_feasible,p2rank_topk_rank_weighted,p2rank,topk,rank_weighted,not_run,524,519,15147,8201,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_all_feasible,p2rank_topk_softmax_pool,p2rank,topk,softmax_pool,not_run,524,519,15147,8201,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource_limited
enzyme405_all_feasible,fpocket_top1,fpocket,top1,max,not_run,524,519,15147,8201,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocked_fpocket_missing
enzyme405_all_feasible,fpocket_topk_rank_weighted,fpocket,topk,rank_weighted,not_run,524,519,15147,8201,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocked_fpocket_missing
enzyme405_all_feasible,p2rank_fpocket_union_max,p2rank+fpocket,union_topk,max,not_run,524,519,15147,8201,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocked_fpocket_missing
enzyme405_all_feasible,p2rank_fpocket_union_source_weighted,p2rank+fpocket,union_topk,source_weighted,not_run,524,519,15147,8201,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,blocked_fpocket_missing
