reaction_id,nearest_train_reaction_id,max_train_drfp_tanimoto,reaction_similarity_bucket,train_degree,train_degree_bucket
RHEA:11128,RHEA:22500,0.3857142925262451,0p3_0p5,0,degree0
RHEA:11148,RHEA:39567,1.0,ge0p9,0,degree0
RHEA:15681,RHEA:60732,0.8297872543334961,0p7_0p9,0,degree0
RHEA:18897,RHEA:48960,0.1666666716337204,lt0p3,0,degree0
RHEA:20884,RHEA:18405,0.8299999833106995,0p7_0p9,0,degree0
RHEA:22480,RHEA:52884,0.7155172228813171,0p7_0p9,0,degree0
RHEA:24436,RHEA:18085,0.6037735939025879,0p5_0p7,0,degree0
RHEA:25440,RHEA:30423,1.0,ge0p9,0,degree0
RHEA:27477,RHEA:30299,0.2631579041481018,lt0p3,0,degree0
RHEA:28602,RHEA:28422,0.75,0p7_0p9,0,degree0
RHEA:28606,RHEA:51952,0.7862595319747925,0p7_0p9,0,degree0
RHEA:29671,,0.0,lt0p3,0,degree0
RHEA:29879,RHEA:10192,1.0,ge0p9,0,degree0
RHEA:29883,RHEA:10192,1.0,ge0p9,0,degree0
RHEA:29887,RHEA:10192,1.0,ge0p9,0,degree0
RHEA:29891,RHEA:10192,1.0,ge0p9,0,degree0
RHEA:29999,RHEA:10192,1.0,ge0p9,0,degree0
RHEA:30083,RHEA:39567,0.3333333432674408,0p3_0p5,0,degree0
RHEA:31239,RHEA:22732,0.32258063554763794,0p3_0p5,0,degree0
RHEA:42396,RHEA:32767,0.9791666865348816,ge0p9,0,degree0
RHEA:45036,RHEA:39567,0.30000001192092896,0p3_0p5,0,degree0
RHEA:45700,RHEA:31979,0.7599999904632568,0p7_0p9,0,degree0
RHEA:46948,RHEA:42708,1.0,ge0p9,0,degree0
RHEA:49628,RHEA:67060,0.30588236451148987,0p3_0p5,0,degree0
RHEA:54792,RHEA:22828,0.41999998688697815,0p3_0p5,0,degree0
RHEA:54800,RHEA:24252,0.3617021143436432,0p3_0p5,0,degree0
RHEA:55896,RHEA:62320,0.9444444179534912,ge0p9,0,degree0
RHEA:55900,RHEA:62308,0.9444444179534912,ge0p9,0,degree0
RHEA:55904,RHEA:26494,0.7777777910232544,0p7_0p9,0,degree0
RHEA:56528,RHEA:62308,0.9444444179534912,ge0p9,0,degree0
RHEA:57132,RHEA:22996,0.7402597665786743,0p7_0p9,0,degree0
RHEA:58912,RHEA:10192,1.0,ge0p9,0,degree0
RHEA:59216,RHEA:22732,0.4545454680919647,0p3_0p5,0,degree0
RHEA:59224,RHEA:68524,0.5205479264259338,0p5_0p7,0,degree0
RHEA:59232,RHEA:27954,0.554347813129425,0p5_0p7,0,degree0
RHEA:59236,RHEA:32031,0.5593220591545105,0p5_0p7,0,degree0
RHEA:61836,RHEA:19329,1.0,ge0p9,0,degree0
