reaction_id,rhea_id,status,gate_hit,n_candidates,n_scored_candidates,n_positive_enzymes,n_scored_positive_enzymes,best_positive_rank,best_positive_enzyme_id,best_positive_score,top1_hit,top3_hit,top5_hit,top10_hit,top10_enzyme_ids,top10_scores,reciprocal_rank
RHEA:10340,RHEA:10340,ok,False,87,0,4,0,,,,False,False,False,False,[],[],0.0
RHEA:10940,RHEA:10940,ok,True,104,104,6,2,39.0,A7IZZ1,0.0,False,False,False,False,"[""A0A8H7XQ49"", ""A0A8H7XP09"", ""A0A8H8CFI5"", ""G8H5N1"", ""G8H5M9"", ""G8H5M7"", ""O23945"", ""G8H5M8"", ""Q54YE2"", ""C1K5M3""]","[3.1782293e-34, 2.4970579999999997e-34, 1.8213339e-34, 2.6559646e-35, 9.9799686e-36, 3.8482075e-36, 2.0224858e-36, 1.7280505999999998e-36, 1.5562997e-36, 6.0409506e-37]",0.02564102564102564
RHEA:11328,RHEA:11328,ok,True,80,80,2,1,61.0,K7WQ45,4.0970127e-07,False,False,False,False,"[""A0A8H8CFI5"", ""A0A8H7XQ49"", ""A0A8H7XP09"", ""A0A8K1AY78"", ""A0A1L9UKS1"", ""Q0CRW6"", ""P9WEV2"", ""A0A2Z6AQX6"", ""A0A0P0ZD79"", ""A0A0P0ZEM1""]","[0.0042353887, 0.0033010475, 0.0017155102, 0.0014436838, 0.0012218184, 0.0010210834, 0.0010035206, 0.0009338796, 0.0008678342, 0.00080097385]",0.01639344262295082
RHEA:11656,RHEA:11656,ok,False,40,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:12016,RHEA:12016,ok,True,86,86,9,2,54.0,J9RLZ7,0.0,False,False,False,False,"[""A0A0A2JP58"", ""A0A0B4G504"", ""A0A0D4D912"", ""A0A142BX70"", ""A0A1V0E492"", ""A0A348B779"", ""A0A348B780"", ""A0A348B782"", ""A0A385AJN0"", ""A0A3L6G998""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.018518518518518517
RHEA:12052,RHEA:12052,ok,False,9,0,17,0,,,,False,False,False,False,[],[],0.0
RHEA:12192,RHEA:12192,ok,False,32,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:12240,RHEA:12240,ok,False,19,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:12516,RHEA:12516,ok,False,71,0,10,0,,,,False,False,False,False,[],[],0.0
RHEA:12605,RHEA:12605,ok,False,13,0,2,0,,,,False,False,False,False,[],[],0.0
RHEA:12869,RHEA:12869,ok,True,104,104,16,13,19.0,A0A1V0QSF6,3.1344205000000004e-38,False,False,False,False,"[""A0A8H7XQ49"", ""A0A8H7XP09"", ""A0A8H8CFI5"", ""G8H5N1"", ""G8H5M9"", ""G8H5M7"", ""Q54YE2"", ""O23945"", ""G8H5M8"", ""O64961""]","[4.2940893e-33, 2.4334623e-33, 1.9687394e-33, 6.8345503e-35, 2.6829496e-35, 1.34029e-35, 1.1478286e-35, 7.300776e-36, 4.146264e-36, 1.7701643e-36]",0.05263157894736842
RHEA:13369,RHEA:13369,ok,False,106,0,4,0,,,,False,False,False,False,[],[],0.0
RHEA:13525,RHEA:13525,ok,False,5,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:13545,RHEA:13545,ok,True,14,14,3,2,4.0,A0A1D6HSP4,0.9999944,False,False,True,True,"[""A0A386KZI3"", ""M2V933"", ""Q1ZXA1"", ""A0A1D6HSP4"", ""Q9LSF8"", ""A0A1V1FNM9"", ""A0A0P0ZEA9"", ""P32476"", ""P0DO35"", ""I1RQ76""]","[1.0, 0.9999958, 0.9999958, 0.9999944, 0.9999931, 0.9999851, 0.9999194, 0.9998522, 0.9995882, 0.99843925]",0.25
RHEA:13873,RHEA:13873,ok,True,47,46,6,6,19.0,F2XFB2,0.0,False,False,False,False,"[""A0A075FBG7"", ""A0A075FBT3"", ""A0A0H5BN57"", ""A0A0H5BN61"", ""A0A0U4CDK4"", ""A0A1W6QDI7"", ""A0A1X9ISH5"", ""A0A1Z3GC64"", ""A0A1Z3GCD1"", ""A0A2K9RFY0""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.05263157894736842
RHEA:14009,RHEA:14009,ok,False,89,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:14485,RHEA:14485,ok,True,21,21,1,1,5.0,A0A1L2D3T3,0.0,False,False,True,True,"[""A0A0B4FWC3"", ""A0A0B4G3Q7"", ""A0A0B4GN88"", ""A0A0B4IF96"", ""A0A1L2D3T3"", ""A0A1V0E4A6"", ""A0A1V0QSF3"", ""A0A1V0QSF6"", ""A0A8H8CMW1"", ""A7NH01""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2
RHEA:14621,RHEA:14621,ok,False,29,0,13,0,,,,False,False,False,False,[],[],0.0
RHEA:14841,RHEA:14841,ok,False,63,0,20,0,,,,False,False,False,False,[],[],0.0
RHEA:14901,RHEA:14901,ok,False,11,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:15809,RHEA:15809,ok,True,54,53,16,3,9.0,A0A8H7XQ49,0.0,False,False,False,True,"[""A0A1D6LTV0"", ""A0A7D0AGU9"", ""A0A7G5KLV3"", ""A0A858E4Y6"", ""A0A858E4Y8"", ""A0A858E7J4"", ""A0A858E899"", ""A0A8H7XP09"", ""A0A8H7XQ49"", ""A0A8H8CFI5""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1111111111111111
RHEA:16337,RHEA:16337,ok,True,10,10,1,1,1.0,A0A4D6Q415,2.721612e-08,True,True,True,True,"[""A0A4D6Q415"", ""A0A386KZI3"", ""A0A3S9NM20"", ""B4FVP3"", ""P0DO35"", ""P0DO40"", ""P0DO39"", ""P0DO38"", ""P0DO41"", ""P0DO42""]","[2.721612e-08, 2.0944296e-10, 1.9897742e-14, 1.3020183000000002e-16, 1.0087811e-16, 6.7934914e-17, 4.8643213e-17, 4.3172998e-17, 1.8537619e-17, 1.16448386e-17]",1.0
RHEA:16345,RHEA:16345,ok,False,17,0,2,0,,,,False,False,False,False,[],[],0.0
RHEA:16561,RHEA:16561,ok,False,22,0,5,0,,,,False,False,False,False,[],[],0.0
RHEA:16965,RHEA:16965,ok,True,80,80,44,27,3.0,A0A8H7XP09,4.1498030000000014e-31,False,True,True,True,"[""A0A8H7XQ49"", ""A0A8H8CFI5"", ""A0A8H7XP09"", ""G8H5N1"", ""Q54YE2"", ""G8H5M9"", ""G8H5M7"", ""G8H5M8"", ""O64961"", ""D5KXD2""]","[1.041185e-30, 5.207799e-31, 4.1498030000000014e-31, 1.3309168e-33, 8.185976e-34, 7.0338556e-34, 9.130405599999999e-35, 6.2284865e-35, 2.6959587e-35, 2.0850246e-35]",0.3333333333333333
RHEA:17637,RHEA:17637,ok,True,45,44,5,5,31.0,P33247,6.245528399999999e-18,False,False,False,False,"[""P32476"", ""I1RQ76"", ""Q92206"", ""Q9C1W3"", ""A0A345BJQ0"", ""A0A3G1DJL2"", ""A0SJQ5"", ""Q24FB1"", ""V6RPN0"", ""Q54DR1""]","[8.5910806e-11, 2.8183927e-12, 2.645409e-12, 1.028201e-12, 2.267524e-13, 1.6025694e-13, 1.1378103e-13, 9.371698e-14, 4.8526246e-14, 3.4292393e-14]",0.03225806451612903
RHEA:17653,RHEA:17653,ok,True,59,59,45,33,2.0,A0A2Z6AQX6,0.0041306987,False,True,True,True,"[""P9WEV2"", ""A0A2Z6AQX6"", ""Q0CRW6"", ""A0A0P0ZD79"", ""A0A0P0ZEM1"", ""M2V8C1"", ""P9WER6"", ""A1C8C3"", ""M2U578"", ""P9WER5""]","[0.0049947407, 0.0041306987, 0.0036673464, 0.0035604006, 0.0035131823, 0.0026715393, 0.0020923922, 0.002061052, 0.002054073, 0.0020366993]",0.5
RHEA:17945,RHEA:17945,ok,True,13,13,6,6,5.0,P0DO35,1.0,False,False,True,True,"[""A0A0P0ZEA9"", ""A0A1D6HSP4"", ""A0A386KZI3"", ""B4FVP3"", ""P0DO35"", ""P0DO38"", ""P0DO39"", ""P0DO40"", ""P0DO41"", ""P0DO42""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2
RHEA:18081,RHEA:18081,ok,False,22,0,4,0,,,,False,False,False,False,[],[],0.0
RHEA:18209,RHEA:18209,ok,True,133,133,1,1,42.0,O81192,8.933049e-06,False,False,False,False,"[""D5SL78"", ""F6M8I0"", ""O22340"", ""A7IZZ1"", ""A0A1V0QSF9"", ""A0A3S5XFG0"", ""G1JUH1"", ""K7WQ45"", ""A0A8H8CFI5"", ""R9QMR3""]","[0.0019335359, 0.000101951904, 6.536813e-05, 5.078071e-05, 4.66119e-05, 3.5305507e-05, 3.3361648e-05, 2.90283e-05, 2.609874e-05, 2.592606e-05]",0.023809523809523808
RHEA:18325,RHEA:18325,ok,False,47,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:18721,RHEA:18721,ok,False,31,0,1,0,,,,False,False,False,False,[],[],0.0
RHEA:18957,RHEA:18957,ok,True,12,12,5,5,5.0,P0DO40,3.9304296e-28,False,False,True,True,"[""A0A386KZI3"", ""Q1ZXA1"", ""A0A1D6HSP4"", ""B4FVP3"", ""P0DO40"", ""P0DO41"", ""P0DO39"", ""P0DO35"", ""P0DO38"", ""P0DO42""]","[9.256348e-26, 4.0042253e-26, 3.8506916e-27, 5.100518e-28, 3.9304296e-28, 3.6549088e-28, 3.6043442e-28, 3.2692726e-28, 2.9615858000000003e-28, 2.2547237e-28]",0.2
RHEA:19361,RHEA:19361,ok,True,118,118,25,24,39.0,A0A0E3D8M9,0.00025176632,False,False,False,False,"[""A0A8H8CFI5"", ""A0A8H7XQ49"", ""A0A8H7XP09"", ""P9WEV2"", ""A0A8K1AY78"", ""A0A1L9UKS1"", ""A0A2Z6AQX6"", ""A0A0P0ZD79"", ""A0A0P0ZEM1"", ""M2V8C1""]","[0.023769699, 0.022401828, 0.008591223, 0.0042236643, 0.0038248631, 0.0037276698, 0.0031784698, 0.003159575, 0.002971534, 0.002863965]",0.02564102564102564
RHEA:19525,RHEA:19525,ok,False,35,0,8,0,,,,False,False,False,False,[],[],0.0
RHEA:19565,RHEA:19565,ok,False,65,0,2,0,,,,False,False,False,False,[],[],0.0
RHEA:19825,RHEA:19825,ok,False,33,0,5,0,,,,False,False,False,False,[],[],0.0
RHEA:20565,RHEA:20565,ok,False,63,0,4,0,,,,False,False,False,False,[],[],0.0
RHEA:20912,RHEA:20912,ok,False,13,0,3,0,,,,False,False,False,False,[],[],0.0
RHEA:21308,RHEA:21308,ok,False,39,0,12,0,,,,False,False,False,False,[],[],0.0
RHEA:22220,RHEA:22220,ok,True,17,17,19,4,7.0,A5A8G0,0.0,False,False,False,True,"[""A0A1U8QHE3"", ""A0A1Z3GBK8"", ""A0A2K9RFZ2"", ""A0A5P8DI06"", ""A4KAG7"", ""A4KAG8"", ""A5A8G0"", ""B9SIL7"", ""B9SIM2"", ""B9SIM3""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.14285714285714285
RHEA:22228,RHEA:22228,ok,True,38,38,5,5,20.0,Q32KR6,1.0991368e-36,False,False,False,False,"[""K7WDL7"", ""B8NHE4"", ""A0A1L9WUW3"", ""F1SWA0"", ""A0A455R7E6"", ""P9WEQ8"", ""Q4WLD5"", ""Q9Y753"", ""V6RPN0"", ""A0SJQ5""]","[4.682736e-26, 1.5053934999999998e-29, 4.9669124e-30, 6.7904373000000015e-31, 6.159808e-32, 2.3430782e-33, 1.15806875e-33, 3.0865623e-34, 1.3487071e-34, 1.3126887e-34]",0.05
RHEA:22232,RHEA:22232,ok,True,37,37,5,5,18.0,Q32KR6,8.577998999999999e-37,False,False,False,False,"[""A0A3G9GNK2"", ""A0A455R4X0"", ""Q4WLD1"", ""A0A455R624"", ""Q9Y753"", ""A0SJQ5"", ""V6RPN0"", ""A0A3G1DJL2"", ""A0A345BJQ0"", ""P53799""]","[3.8364236e-28, 1.4649668999999998e-29, 1.4100371e-31, 5.301747e-32, 1.9858071e-34, 9.83616e-35, 9.475812e-35, 6.822412e-35, 5.017307e-35, 8.12896e-36]",0.05555555555555555
