UniprotID,structure_path,error
A0A097ZPE6,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/A0A097ZPE6.cif_residues.csv
P0CJ42,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/P0CJ42.cif_residues.csv
A0A097ZPE6,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/A0A097ZPE6.cif_residues.csv
P0CJ42,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/P0CJ42.cif_residues.csv
A0A097ZPE6,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/A0A097ZPE6.cif_residues.csv
P0CJ42,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/P0CJ42.cif_residues.csv
A0A097ZPE6,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/A0A097ZPE6.cif_residues.csv
P0CJ42,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/P0CJ42.cif_residues.csv
A0A097ZPE6,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/A0A097ZPE6.cif_residues.csv
P0CJ42,,No residues assigned to pocket rank 1 in /home/runnel/igem-pocket/data/terpene_cage_screen/_p2rank_stage/raw/P0CJ42.cif_residues.csv
