enzyme_id,uniprot_id,status,attempted_versions,downloaded_version,download_url,local_path,error
A0A060KY90,A0A060KY90,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A060KY90.cif,
A0A067DDU9,A0A067DDU9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A067DDU9.cif,
A0A067ECN5,A0A067ECN5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A067ECN5.cif,
A0A067FI21,A0A067FI21,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A067FI21.cif,
A0A067SEC9,A0A067SEC9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A067SEC9.cif,
A0A067Z9B6,A0A067Z9B6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A067Z9B6.cif,
A0A075F9Z3,A0A075F9Z3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A075F9Z3.cif,
A0A075FA51,A0A075FA51,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A075FA51.cif,
A0A075FAK4,A0A075FAK4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A075FAK4.cif,
A0A075FBG7,A0A075FBG7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A075FBG7.cif,
A0A075FBT3,A0A075FBT3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A075FBT3.cif,
A0A084R1H6,A0A084R1H6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A084R1H6.cif,
A0A084R1K7,A0A084R1K7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A084R1K7.cif,
A0A097ZPC9,A0A097ZPC9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPC9.cif,
A0A097ZPD4,A0A097ZPD4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPD4.cif,
A0A097ZPD5,A0A097ZPD5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPD5.cif,
A0A097ZPD8,A0A097ZPD8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPD8.cif,
A0A097ZPD9,A0A097ZPD9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPD9.cif,
A0A097ZPE0,A0A097ZPE0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPE0.cif,
A0A097ZPE2,A0A097ZPE2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPE2.cif,
A0A097ZPE3,A0A097ZPE3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPE3.cif,
A0A097ZPE4,A0A097ZPE4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPE4.cif,
A0A097ZPE6,A0A097ZPE6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPE6.cif,
A0A097ZPE8,A0A097ZPE8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPE8.cif,
A0A097ZPF7,A0A097ZPF7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPF7.cif,
A0A097ZPG2,A0A097ZPG2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A097ZPG2.cif,
A0A098D1J7,A0A098D1J7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A098D1J7.cif,
A0A098DME4,A0A098DME4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A098DME4.cif,
A0A0A2JB87,A0A0A2JB87,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0A2JB87.cif,
A0A0A2JP58,A0A0A2JP58,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0A2JP58.cif,
A0A0B2XGM8,A0A0B2XGM8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0B2XGM8.cif,
A0A0B4EB91,A0A0B4EB91,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0B4EB91.cif,
A0A0B4FWC3,A0A0B4FWC3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0B4FWC3.cif,
A0A0B4G3Q7,A0A0B4G3Q7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0B4G3Q7.cif,
A0A0B4G504,A0A0B4G504,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0B4G504.cif,
A0A0B4GN88,A0A0B4GN88,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0B4GN88.cif,
A0A0B4IF96,A0A0B4IF96,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0B4IF96.cif,
A0A0C3FBR2,A0A0C3FBR2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0C3FBR2.cif,
A0A0C9VD04,A0A0C9VD04,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0C9VD04.cif,
