direction,budget,query_id,n_occurrences,best_positive_rank,benchmark_candidate_count,nonconformity_score,query_applicability_score,applicability_group,holdout_partition
enzyme_to_reaction,3,MARTS_SEQ_00d867ff7bb53cc5,2,57,453,0.12389380530973451,0.8848430149651503,strong,test
enzyme_to_reaction,3,MARTS_SEQ_06a3e1b565898278,1,29,453,0.061946902654867256,0.8802360968118162,strong,test
enzyme_to_reaction,3,MARTS_SEQ_06e6ff7cd92bfb1b,2,54,453,0.1172566371681416,0.6045330734850347,moderate,test
enzyme_to_reaction,3,MARTS_SEQ_070cc90dff27ae54,3,212,453,0.4668141592920354,0.6294881435049674,moderate,test
enzyme_to_reaction,3,MARTS_SEQ_091f144c66fb8437,1,85,453,0.18584070796460178,0.7397414130006972,moderate,test
enzyme_to_reaction,3,MARTS_SEQ_09302f229040f1e3,1,107,453,0.2345132743362832,0.6631000070511298,moderate,calibration
enzyme_to_reaction,3,MARTS_SEQ_098485614c54c4ed,1,224,453,0.49336283185840707,0.7331407735359016,moderate,test
enzyme_to_reaction,3,MARTS_SEQ_0a4916f7cc31d11f,2,17,453,0.035398230088495575,0.8445273162635403,moderate,calibration
enzyme_to_reaction,3,MARTS_SEQ_0b638c2b22dcaae7,1,34,453,0.07300884955752213,0.8085256910324097,strong,calibration
enzyme_to_reaction,3,MARTS_SEQ_0ec0194d47288fa8,1,35,453,0.0752212389380531,0.6385160655777274,moderate,test
enzyme_to_reaction,3,MARTS_SEQ_0f4ffa715f260a51,1,303,453,0.668141592920354,0.7925433602772983,moderate,test
enzyme_to_reaction,3,MARTS_SEQ_0f68d91be591d1e9,2,282,453,0.6216814159292036,0.5703355292770177,weak,calibration
enzyme_to_reaction,3,MARTS_SEQ_0faafcae040fab0f,1,13,453,0.02654867256637168,0.6926302053052183,moderate,calibration
enzyme_to_reaction,3,MARTS_SEQ_0fc27924038c661d,2,40,453,0.08628318584070796,0.6156155444922402,weak,calibration
enzyme_to_reaction,3,MARTS_SEQ_11221daf321ba366,1,24,453,0.05088495575221239,0.8845867153223608,strong,calibration
enzyme_to_reaction,3,MARTS_SEQ_1240272e5aa4da1f,1,2,453,0.0022123893805309734,0.7844694529166949,moderate,calibration
enzyme_to_reaction,3,MARTS_SEQ_13f7c88b6fcd3bf4,2,161,453,0.35398230088495575,0.5636822378803726,weak,calibration
enzyme_to_reaction,3,MARTS_SEQ_15e0c6fac889cdb4,1,3,453,0.004424778761061947,0.594159476153505,weak,test
enzyme_to_reaction,3,MARTS_SEQ_1734b6b2f13582a9,1,31,453,0.06637168141592921,0.8832940201567419,strong,calibration
enzyme_to_reaction,3,MARTS_SEQ_1a39c3bc071c87ad,1,9,453,0.017699115044247787,0.8816717227300008,strong,calibration
enzyme_to_reaction,3,MARTS_SEQ_1c4da47b8af50042,2,4,453,0.00663716814159292,0.7296634114670538,moderate,calibration
enzyme_to_reaction,3,MARTS_SEQ_1d270639481ab2b2,1,2,453,0.0022123893805309734,0.6188738237573557,moderate,calibration
enzyme_to_reaction,3,MARTS_SEQ_23d041e27b1c303f,1,119,453,0.2610619469026549,0.7914374688661184,moderate,test
enzyme_to_reaction,3,MARTS_SEQ_24c0f48b850a2f3d,1,19,453,0.03982300884955752,0.8813493818640863,strong,test
enzyme_to_reaction,3,MARTS_SEQ_24fe054c0068babe,1,26,453,0.05530973451327434,0.836431709181064,strong,test
enzyme_to_reaction,3,MARTS_SEQ_2781aa361d5971e6,2,97,453,0.21238938053097345,0.799769089638087,moderate,test
enzyme_to_reaction,3,MARTS_SEQ_28c37557d9a60595,1,21,453,0.04424778761061947,0.8356739752859725,strong,test
enzyme_to_reaction,3,MARTS_SEQ_28c7414e3d1c7dc0,2,392,453,0.8650442477876106,0.7461267677421125,moderate,calibration
enzyme_to_reaction,3,MARTS_SEQ_291764c4eed2ac47,1,60,453,0.13053097345132744,0.7982991649911269,moderate,test
enzyme_to_reaction,3,MARTS_SEQ_29ec46bab9b106fa,1,20,453,0.0420353982300885,0.8032463830524318,strong,calibration
enzyme_to_reaction,3,MARTS_SEQ_2ac3ddb9161b51f1,1,120,453,0.26327433628318586,0.8255147864882447,strong,test
enzyme_to_reaction,3,MARTS_SEQ_2dc140c28c9cc71a,1,144,453,0.3163716814159292,0.5590703205809496,weak,calibration
enzyme_to_reaction,3,MARTS_SEQ_2dc8749e367f8221,1,4,453,0.00663716814159292,0.7223012475879576,moderate,test
