partition,direction,objective,cycle_gate,cycle_weight,n_queries,mean_effective_cycle_weight,baseline_mrr,reranked_mrr,delta_mrr,baseline_hit_at_3,reranked_hit_at_3,delta_hit_at_3,new_hits_at_3,lost_hits_at_3,baseline_hit_at_10,reranked_hit_at_10,delta_hit_at_10,new_hits_at_10,lost_hits_at_10,baseline_hit_at_20,reranked_hit_at_20,delta_hit_at_20,new_hits_at_20,lost_hits_at_20
confirmation,enzyme_to_reaction,top10,all,0.0,3,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,all,0.05,3,0.05000000000000001,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,all,0.1,3,0.10000000000000002,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,all,0.15,3,0.15,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,all,0.2,3,0.20000000000000004,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.60,0.0,3,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.60,0.05,3,0.05000000000000001,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.60,0.1,3,0.10000000000000002,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.60,0.15,3,0.15,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.60,0.2,3,0.20000000000000004,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.80,0.0,3,0.0,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.80,0.05,3,0.05000000000000001,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.80,0.1,3,0.10000000000000002,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.80,0.15,3,0.15,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top10,applicability_ge_0.80,0.2,3,0.20000000000000004,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,all,0.0,3,0.0,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,all,0.05,3,0.05000000000000001,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,all,0.1,3,0.10000000000000002,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,all,0.15,3,0.15,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,all,0.2,3,0.20000000000000004,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,applicability_ge_0.60,0.0,3,0.0,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,applicability_ge_0.60,0.05,3,0.05000000000000001,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,applicability_ge_0.60,0.1,3,0.10000000000000002,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,applicability_ge_0.60,0.15,3,0.15,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,applicability_ge_0.60,0.2,3,0.20000000000000004,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
confirmation,enzyme_to_reaction,top20,applicability_ge_0.80,0.0,3,0.0,0.5666666666666667,0.5666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,1.0,0.0,0,0,1.0,1.0,0.0,0,0
