direction,query_id,positive_ids,n_positives,partition
enzyme_to_reaction,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,1,development
enzyme_to_reaction,A0A7L7SES4,RHEA:32543;RHEA:56632,2,development
enzyme_to_reaction,A0A650A7I8,RHEA:27425;RHEA:28266;RHEA:32699;RHEA:68504;RHEA:68508;RHEA:68544,6,development
enzyme_to_reaction,Q6IWA3,RHEA:31007,1,confirmation
enzyme_to_reaction,B1PLH3,RHEA:14621;RHEA:31007,2,confirmation
enzyme_to_reaction,Q941S0,RHEA:21308,1,confirmation
reaction_to_enzyme,MARTS_EXT_RXN_6c1cbb35db92,D5SK09,1,development
reaction_to_enzyme,MARTS_EXT_RXN_877408d79e1b,B5GTQ6,1,development
reaction_to_enzyme,MARTS_EXT_RXN_c0d41a7707a3,marts_E00628,1,development
reaction_to_enzyme,MARTS_EXT_RXN_90bccccecf9c,A0A5N5W9J0,1,confirmation
reaction_to_enzyme,MARTS_EXT_RXN_b1f6de0feffa,C9Z4F7,1,confirmation
reaction_to_enzyme,MARTS_EXT_RXN_de164cb3f0e1,D5KXJ0;P17060;P21684;P37269;P37272,5,confirmation
