split_id,direction,budget,query_id,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,query_nearest_train_similarity,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_score_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,ensemble_boundary_margin_z
p0_r0,reaction_to_enzyme,3,MARTS_RXN_4e8885af0277ca69,1,0,0.0,872,0.0011467889908256,0.6461538672447205,0.3333333333333333,3.2998316287994385,0.0424767658114433,0.7326981195269973,0.0,0.1111111111111111,0.0098119484292148
p0_r0,reaction_to_enzyme,10,MARTS_RXN_4e8885af0277ca69,1,0,0.0,872,0.0011467889908256,0.6461538672447205,0.3333333333333333,3.2998316287994385,0.0424767658114433,0.7326981195269973,0.0526315789473684,0.2333333333333333,0.0103017355699897
p0_r0,reaction_to_enzyme,20,MARTS_RXN_4e8885af0277ca69,1,0,0.0,743,0.0013458950201884,0.6461538672447205,0.3333333333333333,10.198039054870604,0.0547613091766834,0.1727532999684811,0.0445708866761498,0.4,0.0374808428532079
p0_r0,reaction_to_enzyme,3,MARTS_RXN_68d7c7a6b97fc6da,4,0,0.0,22,0.0454545454545454,0.7909091114997864,1.0,0.0,0.018289191648364,0.8193042545935464,0.3,0.6666666666666666,0.0199550698867342
p0_r0,reaction_to_enzyme,10,MARTS_RXN_68d7c7a6b97fc6da,4,0,0.0,22,0.0454545454545454,0.7909091114997864,1.0,0.0,0.018289191648364,0.8193042545935464,0.4334554334554334,0.7333333333333333,0.0620119775452321
p0_r0,reaction_to_enzyme,20,MARTS_RXN_68d7c7a6b97fc6da,4,1,0.25,17,0.0588235294117647,0.7909091114997864,1.0,0.0,0.0264746714383363,0.7581211311729067,0.3229646697388633,0.6833333333333333,0.010038994066314
p0_r0,reaction_to_enzyme,3,MARTS_RXN_7844025b037230bb,1,0,0.0,132,0.0075757575757575,0.7200000286102295,0.3333333333333333,1.6996731758117676,0.0229891836643219,0.1449951623121911,0.1333333333333333,0.5555555555555556,0.3797627511028311
p0_r0,reaction_to_enzyme,10,MARTS_RXN_7844025b037230bb,1,0,0.0,132,0.0075757575757575,0.7200000286102295,0.3333333333333333,1.6996731758117676,0.0229891836643219,0.1449951623121911,0.2287581699346405,0.6333333333333333,0.1745309143839221
p0_r0,reaction_to_enzyme,20,MARTS_RXN_7844025b037230bb,1,0,0.0,145,0.0068965517241379,0.7200000286102295,0.3333333333333333,3.2998316287994385,0.0384573973715305,0.1652670100237847,0.3229646697388633,0.7166666666666667,0.1144957652891072
p0_r0,reaction_to_enzyme,3,MARTS_RXN_96ac57c793266e5e,1,0,0.0,533,0.0018761726078799,0.762499988079071,0.6666666666666666,2.357022762298584,0.0693004205822944,0.0025505696255244,0.2,0.6666666666666666,0.0855124318423813
p0_r0,reaction_to_enzyme,10,MARTS_RXN_96ac57c793266e5e,1,0,0.0,533,0.0018761726078799,0.762499988079071,0.6666666666666666,2.357022762298584,0.0693004205822944,0.0025505696255244,0.2532679738562091,0.6666666666666666,0.0073646213174922
p0_r0,reaction_to_enzyme,20,MARTS_RXN_96ac57c793266e5e,1,0,0.0,489,0.0020449897750511,0.762499988079071,0.6666666666666666,0.9428090453147888,0.0509114004671573,0.1368528041608086,0.4692939244663383,0.7666666666666667,0.049374332913211
p0_r0,reaction_to_enzyme,3,MARTS_RXN_a5374cc39ade96ae,1,0,0.0,93,0.010752688172043,0.7200000286102295,0.6666666666666666,6.12825870513916,0.0994024276733398,0.4887131584497098,0.3,0.6666666666666666,0.3179011094619257
p0_r0,reaction_to_enzyme,10,MARTS_RXN_a5374cc39ade96ae,1,0,0.0,93,0.010752688172043,0.7200000286102295,0.6666666666666666,6.12825870513916,0.0994024276733398,0.4887131584497098,0.2254901960784313,0.6666666666666666,0.1615300322974051
p0_r0,reaction_to_enzyme,20,MARTS_RXN_a5374cc39ade96ae,1,0,0.0,108,0.0092592592592592,0.7200000286102295,0.6666666666666666,4.714045524597168,0.0896044373512268,0.2660009609589605,0.3343220862686936,0.6833333333333333,0.000873036542723
p0_r0,reaction_to_enzyme,3,MARTS_RXN_be324f8633fc718b,1,0,0.0,19,0.0526315789473684,0.7241379022598267,0.6666666666666666,1.8856180906295776,0.1119590550661087,0.4861218346604466,0.0666666666666666,0.4444444444444444,0.2014073352450038
