calibration_source,direction,budget,coverage,n_queries,hit_rate,mean_positive_recall,median_best_positive_rank
rrf_e2r,enzyme_to_reaction,3,0.25,67,0.2388059701492537,0.2388059701492537,20.0
rrf_e2r,enzyme_to_reaction,3,0.5,134,0.1492537313432835,0.1455223880597015,29.5
rrf_e2r,enzyme_to_reaction,3,0.75,201,0.1044776119402985,0.1019900497512437,35.0
rrf_e2r,enzyme_to_reaction,3,1.0,268,0.0783582089552238,0.0764925373134328,40.0
rrf_e2r,enzyme_to_reaction,10,0.25,67,0.5223880597014925,0.5149253731343284,10.0
rrf_e2r,enzyme_to_reaction,10,0.5,134,0.3432835820895522,0.3395522388059701,24.5
rrf_e2r,enzyme_to_reaction,10,0.75,201,0.2985074626865671,0.2960199004975124,37.0
rrf_e2r,enzyme_to_reaction,10,1.0,268,0.2537313432835821,0.251865671641791,41.0
exact_r2e,reaction_to_enzyme,10,0.25,60,0.2166666666666666,0.1833333333333333,93.5
exact_r2e,reaction_to_enzyme,10,0.5,119,0.1848739495798319,0.161344537815126,99.0
exact_r2e,reaction_to_enzyme,10,0.75,178,0.1573033707865168,0.134617442482611,141.5
exact_r2e,reaction_to_enzyme,10,1.0,237,0.1350210970464135,0.117982720514366,170.0
exact_r2e,reaction_to_enzyme,20,0.25,60,0.2666666666666666,0.25,68.5
exact_r2e,reaction_to_enzyme,20,0.5,119,0.226890756302521,0.2142857142857142,116.0
exact_r2e,reaction_to_enzyme,20,0.75,178,0.2191011235955056,0.1933253076511503,127.0
exact_r2e,reaction_to_enzyme,20,1.0,237,0.189873417721519,0.166998191681736,170.0
,enzyme_to_reaction,20,0.25,67,0.6567164179104478,0.6417910447761194,12.0
,enzyme_to_reaction,20,0.5,134,0.5298507462686567,0.5111940298507462,18.0
,enzyme_to_reaction,20,0.75,201,0.4527363184079602,0.4369817578772802,23.0
,enzyme_to_reaction,20,1.0,268,0.3917910447761194,0.3762437810945273,32.5
