Entry,rhea_id,source
7S5L_A,MARTS_EXT_RXN_2e27139e482a,marts
7S5L_A,RHEA:27421,marts
7S5L_A,RHEA:27425,marts
7S5L_A,RHEA:27526,marts
7S5L_A,RHEA:32679,marts
7S5L_A,RHEA:42996,marts
7S5L_A,RHEA:68708,marts
A0A010YQZ8,MARTS_EXT_RXN_308ae5d61a8d,marts
A0A010YQZ8,MARTS_EXT_RXN_7345bb901e40,marts
A0A010YQZ8,MARTS_EXT_RXN_dd89a5b3606f,marts
A0A010YQZ8,MARTS_EXT_RXN_f7cc3793e8fe,marts
A0A010YQZ8,MARTS_EXT_RXN_faf8834b256f,marts
A0A010YQZ8,RHEA:10940,marts
A0A010YQZ8,RHEA:16965,marts
A0A010YQZ8,RHEA:25456,marts
A0A010YQZ8,RHEA:25464,marts
A0A010YQZ8,RHEA:25472,marts
A0A010YQZ8,RHEA:25476,marts
A0A010YQZ8,RHEA:25488,marts
A0A010YQZ8,RHEA:25500,marts
A0A010YQZ8,RHEA:28294,marts
A0A010YQZ8,RHEA:32679,marts
A0A010YQZ8,RHEA:42996,marts
A0A010YQZ8,RHEA:68708,marts
A0A023J8Z5,MARTS_EXT_RXN_ed65fc0ae861,marts
A0A023J8Z5,RHEA:12516,marts
A0A023J8Z5,RHEA:31895,marts
A0A059PYD5,RHEA:25504,marts
A0A067DDU9,RHEA:31383,current
A0A067ECN5,RHEA:31887,current
A0A067FI21,RHEA:31007,current
A0A067N7X3,MARTS_EXT_RXN_848e51b53c9f,marts
A0A067NBB1,RHEA:19525,marts
A0A067NBB1,RHEA:32011,marts
A0A067NBB1,RHEA:33103,marts
A0A067NY86,RHEA:19525,marts
A0A067NY86,RHEA:32011,marts
A0A067NY86,RHEA:33103,marts
A0A067SEC9,MARTS_EXT_RXN_af6c10b22452,marts
A0A067SEC9,RHEA:83287,current
A0A067Z9B6,RHEA:74711,current
A0A068EUF6,RHEA:32559,marts
A0A075FA51,RHEA:14841,marts
A0A075FA51,RHEA:24316,current
A0A075FAK4,MARTS_EXT_RXN_9e53a7397306,marts
A0A075FAK4,RHEA:54652,current
A0A075FBG7,MARTS_EXT_RXN_7b0cfb7bb82c,marts
A0A075FBG7,RHEA:18721,marts
A0A075FBG7,RHEA:33983,current
A0A075FBG7,RHEA:54512,current;marts
A0A075FBG7,RHEA:54516,current
A0A075FBT3,RHEA:22220,current;marts
A0A075W0Z3,RHEA:34503,marts
A0A075W3D9,RHEA:31999,marts
A0A076GAR6,RHEA:68712,marts
A0A076GAU5,MARTS_EXT_RXN_2e27139e482a,marts
A0A076GAU9,RHEA:32031,marts
A0A076GBT5,RHEA:28294,marts
A0A076KZH5,RHEA:28294,marts
A0A076KZS5,RHEA:12516,marts
A0A076KZS5,RHEA:28294,marts
A0A076L4M0,RHEA:12516,marts
A0A076L4M0,RHEA:28294,marts
A0A076L4Z9,RHEA:28294,marts
A0A076L503,RHEA:12516,marts
A0A076L503,RHEA:28294,marts
A0A076L784,RHEA:12016,marts
A0A076L784,RHEA:12516,marts
A0A094YZ24,MARTS_EXT_RXN_d1d507ef878d,marts
A0A097SRT3,RHEA:25436,marts
A0A097ZIE0,MARTS_EXT_RXN_529b3e1ea6d5,marts
A0A097ZPE0,RHEA:49628,current
A0A097ZQA4,MARTS_EXT_RXN_781f3e745c61,marts
A0A097ZQD0,MARTS_EXT_RXN_68261f5fd64c,marts
A0A097ZQD1,MARTS_EXT_RXN_0fa82c3b7c55,marts
A0A097ZQD1,MARTS_EXT_RXN_df3107f9c103,marts
A0A098D1J7,RHEA:83903,current
A0A0A0QUT9,MARTS_EXT_RXN_ed65fc0ae861,marts
A0A0A0QUT9,RHEA:12516,marts
A0A0A0RCB5,RHEA:60016,marts
A0A0A0RDR2,RHEA:60016,marts
A0A0A0RDZ8,RHEA:28266,marts
A0A0A2JB87,RHEA:19825,current
A0A0A2JP58,RHEA:31999,current
A0A0A7DNH6,RHEA:19525,marts
A0A0B4EB91,RHEA:12016,marts
A0A0B4EB91,RHEA:19525,marts
A0A0B4EB91,RHEA:28294,marts
A0A0B4EB91,RHEA:28639,marts
A0A0B4EB91,RHEA:32011,marts
A0A0B4EB91,RHEA:33103,marts
A0A0B4EB91,RHEA:68712,marts
A0A0B4FWC3,RHEA:53644,current;marts
A0A0B4FWC3,RHEA:53648,current;marts
A0A0B4G3Q7,RHEA:53644,current;marts
A0A0B4G3Q7,RHEA:53648,current;marts
A0A0B4G504,RHEA:27425,current;marts
A0A0B4GN88,RHEA:53644,current;marts
A0A0B4GN88,RHEA:53648,current;marts
A0A0B4IF96,RHEA:53644,current;marts
A0A0B4IF96,RHEA:53648,current;marts
A0A0B5KP67,RHEA:60016,marts
A0A0C3FBR2,RHEA:28639,marts
A0A0C3FBR2,RHEA:31811,current;marts
A0A0C3FBR2,RHEA:68712,marts
A0A0C9VD04,MARTS_EXT_RXN_ed3cf125a033,marts
A0A0C9VD04,RHEA:31811,current;marts
A0A0D2L718,RHEA:34695,current;marts
A0A0D4D912,RHEA:12516,current;marts
A0A0E0LRP1,RHEA:28266,marts
A0A0E0SP71,RHEA:14621,current;marts
A0A0E3D8M9,RHEA:17653,current
A0A0E3D8M9,RHEA:19361,current
A0A0E3D8M9,RHEA:22408,current
A0A0E3D8P4,RHEA:17653,current
A0A0E3D8P4,RHEA:19361,current
A0A0E3D8P4,RHEA:22408,current
A0A0E3KJK7,RHEA:28294,marts
A0A0F4GLU2,MARTS_EXT_RXN_4016ec72d95a,marts
A0A0F6P1F4,RHEA:19525,marts
A0A0F7TXA1,RHEA:49632,current
A0A0F7TXA5,RHEA:65168,current
A0A0F7TXA8,RHEA:65140,current
A0A0F7TZD6,RHEA:65132,current
A0A0F7TZD6,RHEA:65144,current
A0A0F7TZD6,RHEA:65156,current
A0A0F7U103,RHEA:49628,current
A0A0G7ZNT4,RHEA:31895,marts
A0A0H4U9R8,RHEA:19525,marts
A0A0H5BB10,RHEA:14841,marts
A0A0H5BB10,RHEA:24316,current
A0A0H5BB17,RHEA:24316,current
A0A0H5BN57,RHEA:32151,marts
A0A0H5BN57,RHEA:54640,current
A0A0H5BN61,RHEA:32151,marts
A0A0H5BN61,RHEA:54640,current
A0A0M3Q1Q3,RHEA:32559,current;marts
A0A0M3Q1Q3,RHEA:32563,current
A0A0M4M0T9,RHEA:25613,marts
A0A0M4M0T9,RHEA:54684,current
A0A0M4MMY1,MARTS_EXT_RXN_0e08d025745c,marts
A0A0M4MMY1,MARTS_EXT_RXN_324ed07f2f6e,marts
A0A0M5L832,RHEA:25613,marts
A0A0M5L832,RHEA:54684,current
A0A0M8XX89,MARTS_EXT_RXN_0718113ff706,marts
A0A0M8XX89,RHEA:42996,marts
A0A0N9I8A9,MARTS_EXT_RXN_68261f5fd64c,marts
A0A0P0ZD79,RHEA:17653,current
A0A0P0ZD79,RHEA:25694,current
A0A0P0ZD79,RHEA:78287,current;marts
A0A0P0ZD79,RHEA:78291,current
A0A0P0ZEA9,RHEA:66712,current
A0A0P0ZEM1,RHEA:54076,current;marts
A0A0P0ZEM1,RHEA:66860,current
A0A0S2IHL6,RHEA:31007,current;marts
A0A0U1XNG2,RHEA:12516,marts
A0A0U1XRI2,RHEA:12516,marts
A0A0U2D9C5,RHEA:32703,marts
A0A0U2D9C5,RHEA:54648,current
A0A0U2U4F3,RHEA:31007,current;marts
A0A0U3LQ20,RHEA:14841,current;marts
A0A0U4CDK4,RHEA:22220,current;marts
A0A0U4IMN4,RHEA:12516,marts
A0A0U4KG90,RHEA:12516,marts
A0A0U4ZPL6,RHEA:65140,current
A0A0U5CJV1,RHEA:49632,current
A0A0U5G0B1,RHEA:17653,current
A0A0U5G0B1,RHEA:25694,current
A0A0U5G0B1,RHEA:41552,current;marts
A0A0U5GFS8,RHEA:49628,current
A0A0U5GHG9,RHEA:65132,current
A0A0U5GHG9,RHEA:65144,current
A0A0U5GHG9,RHEA:65156,current
A0A0U5GLI1,RHEA:53620,marts
A0A0U5GNT1,RHEA:28290,current;marts
A0A0U5HAQ4,RHEA:65168,current
A0A100IAT3,MARTS_EXT_RXN_c9b279de0442,marts
A0A100IAT3,RHEA:38155,marts
A0A101T124,MARTS_EXT_RXN_b44a6383dd2a,marts
A0A117RG81,RHEA:18081,marts
A0A125S8N1,RHEA:26081,marts
A0A125S8N2,RHEA:26081,marts
A0A125SXN1,RHEA:54664,current;marts
A0A125SXN2,RHEA:54668,current;marts
A0A125SXN3,RHEA:21308,current;marts
A0A135LYJ9,MARTS_EXT_RXN_c9b279de0442,marts
A0A139WXP3,MARTS_EXT_RXN_9864ce62f34c,marts
A0A140AZ63,MARTS_EXT_RXN_3d09cb5fb800,marts
A0A140AZ63,MARTS_EXT_RXN_d147768eaf20,marts
A0A140AZ63,RHEA:25436,marts
A0A140AZ63,RHEA:25476,marts
A0A140AZ63,RHEA:27530,marts
A0A140AZ63,RHEA:28266,marts
A0A140AZ63,RHEA:28639,marts
A0A140AZ66,RHEA:16965,marts
A0A140AZ66,RHEA:25436,marts
A0A140AZ66,RHEA:27530,marts
A0A140AZ66,RHEA:28266,marts
A0A140AZ66,RHEA:68708,marts
A0A140AZ66,RHEA:68712,marts
A0A140AZ66,RHEA:68824,marts
A0A140AZ69,RHEA:16965,marts
A0A140AZ69,RHEA:25436,marts
A0A140AZ69,RHEA:27425,marts
A0A140AZ69,RHEA:27530,marts
A0A140AZ69,RHEA:28266,marts
A0A140AZ69,RHEA:38155,marts
A0A140AZ69,RHEA:68708,marts
A0A140AZ69,RHEA:68824,marts
A0A140AZ72,RHEA:25436,marts
A0A140AZ72,RHEA:27425,marts
A0A140AZ72,RHEA:27530,marts
A0A140AZ72,RHEA:28266,marts
A0A140AZ72,RHEA:38155,marts
A0A140AZ72,RHEA:68708,marts
A0A140JWS2,RHEA:17653,current
A0A140JWS2,RHEA:19361,current
A0A140JWS2,RHEA:22408,current
A0A140KFG9,RHEA:54056,current;marts
A0A142BX70,RHEA:12016,marts
A0A142BX70,RHEA:28294,current
A0A142BX70,RHEA:33111,current;marts
A0A142BX70,RHEA:68716,current
A0A142BX71,RHEA:54108,marts
A0A142BX72,RHEA:12516,marts
A0A142BX74,RHEA:54108,current;marts
A0A142F308,RHEA:31895,marts
A0A142F309,RHEA:31895,marts
A0A142F310,RHEA:31895,marts
A0A142ZC57,MARTS_EXT_RXN_68d7c7a6b97f,marts
A0A142ZC57,MARTS_EXT_RXN_a3395ba9b8c6,marts
A0A142ZC57,MARTS_EXT_RXN_b89583d7f0d9,marts
A0A144YEA5,MARTS_EXT_RXN_68d7c7a6b97f,marts
A0A151ZEA6,RHEA:53628,current;marts
A0A162QA28,MARTS_EXT_RXN_c82f9ce748cd,marts
A0A167CIH5,RHEA:54500,marts
A0A167CIH5,RHEA:71987,marts
A0A167V661,RHEA:60424,current;marts
A0A169T193,RHEA:17653,current
A0A169T193,RHEA:25694,current
A0A169T193,RHEA:78399,current;marts
A0A177DNJ5,RHEA:54068,marts
A0A178U9Y5,RHEA:16345,current;marts
A0A178U9Y5,RHEA:54040,current;marts
A0A1B4XBG5,RHEA:54520,current;marts
A0A1C7AAN2,RHEA:25613,marts
A0A1C7AAN2,RHEA:54684,current
A0A1C9J6A7,RHEA:10940,current;marts
A0A1D6EFT8,RHEA:58164,current;marts
A0A1D6F9Y9,RHEA:13545,current
A0A1D6GQ67,RHEA:57516,current
A0A1D6GQ67,RHEA:57520,current
A0A1D6HSP4,RHEA:13545,current
A0A1D6HSP4,RHEA:55424,current
A0A1D6IY18,MARTS_EXT_RXN_2ffb342ca060,marts
A0A1D6IY18,RHEA:10940,marts
A0A1D6IY18,RHEA:16965,marts
A0A1D6IY18,RHEA:28266,marts
A0A1D6IY18,RHEA:68708,marts
A0A1D6K6U5,RHEA:14841,current;marts
A0A1D6KUI6,MARTS_EXT_RXN_6029eb5c9a03,marts
A0A1D6KUI6,RHEA:58160,current
A0A1D6LTV0,MARTS_EXT_RXN_dd89a5b3606f,marts
A0A1D6LTV0,RHEA:10940,marts
A0A1D6LTV0,RHEA:12869,current
