protein_id,is_training_protein
A0A060KY90,0
A0A067DDU9,1
A0A067ECN5,1
A0A067FI21,1
A0A067SEC9,1
A0A067Z9B6,1
A0A075F9Z3,0
A0A075FA51,1
A0A075FAK4,1
A0A075FBG7,1
A0A075FBT3,1
A0A084R1H6,0
A0A084R1K7,0
A0A097ZPC9,0
A0A097ZPD4,0
A0A097ZPD5,0
A0A097ZPD8,0
A0A097ZPD9,0
A0A097ZPE0,1
A0A097ZPE2,0
A0A097ZPE3,0
A0A097ZPE4,0
A0A097ZPE6,0
A0A097ZPE8,0
A0A097ZPF7,0
A0A097ZPG2,0
A0A098D1J7,1
A0A098DME4,0
A0A0A2JB87,1
A0A0A2JP58,1
A0A0B2XGM8,0
A0A0B4EB91,1
A0A0B4FWC3,1
A0A0B4G3Q7,1
A0A0B4G504,1
A0A0B4GN88,1
A0A0B4IF96,1
A0A0C3FBR2,1
A0A0C9VD04,1
A0A0D2L718,1
A0A0D4D912,1
A0A0E0SP71,1
A0A0E3D8K9,0
A0A0E3D8L0,0
A0A0E3D8L2,0
A0A0E3D8L3,0
A0A0E3D8L5,0
A0A0E3D8L6,0
A0A0E3D8L9,0
A0A0E3D8M1,0
A0A0E3D8M2,0
A0A0E3D8M3,0
A0A0E3D8M4,0
A0A0E3D8M5,0
A0A0E3D8M6,0
A0A0E3D8M9,1
A0A0E3D8N0,0
A0A0E3D8N1,0
A0A0E3D8N3,0
A0A0E3D8N4,0
A0A0E3D8N6,0
A0A0E3D8N7,0
A0A0E3D8P0,0
A0A0E3D8P4,1
A0A0E3D8P5,0
A0A0E3D8P8,0
A0A0E3D8P9,0
A0A0E3D8Q1,0
A0A0E3D8Q2,0
A0A0F7TN06,0
A0A0F7TN11,0
A0A0F7TN16,0
A0A0F7TN60,0
A0A0F7TN65,0
A0A0F7TN69,0
A0A0F7TQP2,0
A0A0F7TRU0,0
A0A0F7TSZ1,0
A0A0F7TSZ5,0
A0A0F7TWX5,0
