budget,rescue_slots,canonical_slots,n_queries,baseline_canonical_hits,quota_hits,hit_probability,hit_retention_fraction,hits_lost
3,0,3,237,11,11,0.046413502109704644,1.0,0
3,1,2,237,11,7,0.029535864978902954,0.6363636363636364,4
3,2,1,237,11,2,0.008438818565400843,0.18181818181818182,9
3,3,0,237,11,0,0.0,0.0,11
10,0,10,237,30,30,0.12658227848101267,1.0,0
10,1,9,237,30,28,0.11814345991561181,0.9333333333333333,2
10,2,8,237,30,26,0.10970464135021098,0.8666666666666667,4
10,3,7,237,30,18,0.0759493670886076,0.6,12
10,4,6,237,30,15,0.06329113924050633,0.5,15
10,5,5,237,30,13,0.05485232067510549,0.43333333333333335,17
10,6,4,237,30,12,0.05063291139240506,0.4,18
10,7,3,237,30,11,0.046413502109704644,0.36666666666666664,19
10,8,2,237,30,7,0.029535864978902954,0.23333333333333334,23
10,9,1,237,30,2,0.008438818565400843,0.06666666666666667,28
10,10,0,237,30,0,0.0,0.0,30
20,0,20,237,43,43,0.18143459915611815,1.0,0
20,1,19,237,43,43,0.18143459915611815,1.0,0
20,2,18,237,43,42,0.17721518987341772,0.9767441860465116,1
20,3,17,237,43,38,0.16033755274261605,0.8837209302325582,5
20,4,16,237,43,36,0.1518987341772152,0.8372093023255814,7
20,5,15,237,43,33,0.13924050632911392,0.7674418604651163,10
20,6,14,237,43,32,0.1350210970464135,0.7441860465116279,11
20,7,13,237,43,32,0.1350210970464135,0.7441860465116279,11
20,8,12,237,43,31,0.1308016877637131,0.7209302325581395,12
20,9,11,237,43,30,0.12658227848101267,0.6976744186046512,13
20,10,10,237,43,30,0.12658227848101267,0.6976744186046512,13
20,11,9,237,43,26,0.10970464135021098,0.6046511627906976,17
20,12,8,237,43,23,0.0970464135021097,0.5348837209302325,20
20,13,7,237,43,19,0.08016877637130802,0.4418604651162791,24
20,14,6,237,43,17,0.07172995780590717,0.3953488372093023,26
20,15,5,237,43,13,0.05485232067510549,0.3023255813953488,30
20,16,4,237,43,11,0.046413502109704644,0.2558139534883721,32
20,17,3,237,43,8,0.03375527426160337,0.18604651162790697,35
20,18,2,237,43,5,0.02109704641350211,0.11627906976744186,38
20,19,1,237,43,3,0.012658227848101266,0.06976744186046512,40
20,20,0,237,43,0,0.0,0.0,43
