budget,rescue_slots,canonical_slots,n_queries,baseline_canonical_hits,quota_hits,hit_probability,hit_retention_fraction,hits_lost
3,0,3,237,11,11,0.046413502109704644,1.0,0
3,1,2,237,11,7,0.029535864978902954,0.6363636363636364,4
3,2,1,237,11,2,0.008438818565400843,0.18181818181818182,9
3,3,0,237,11,0,0.0,0.0,11
10,0,10,237,30,30,0.12658227848101267,1.0,0
10,1,9,237,30,28,0.11814345991561181,0.9333333333333333,2
10,2,8,237,30,26,0.10970464135021098,0.8666666666666667,4
10,3,7,237,30,18,0.0759493670886076,0.6,12
10,4,6,237,30,15,0.06329113924050633,0.5,15
10,5,5,237,30,13,0.05485232067510549,0.43333333333333335,17
20,0,20,237,43,43,0.18143459915611815,1.0,0
20,1,19,237,43,43,0.18143459915611815,1.0,0
20,2,18,237,43,42,0.17721518987341772,0.9767441860465116,1
20,3,17,237,43,38,0.16033755274261605,0.8837209302325582,5
20,4,16,237,43,36,0.1518987341772152,0.8372093023255814,7
20,5,15,237,43,33,0.13924050632911392,0.7674418604651163,10
