budget,target_retention,max_rescue_slots,canonical_slots,actual_retention,quota_hit_probability
3,1.0,0,3,1.0,0.046413502109704644
3,0.95,0,3,1.0,0.046413502109704644
3,0.9,0,3,1.0,0.046413502109704644
3,0.8,0,3,1.0,0.046413502109704644
10,1.0,0,10,1.0,0.12658227848101267
10,0.95,0,10,1.0,0.12658227848101267
10,0.9,1,9,0.9333333333333333,0.11814345991561181
10,0.8,2,8,0.8666666666666667,0.10970464135021098
20,1.0,1,19,1.0,0.18143459915611815
20,0.95,2,18,0.9767441860465116,0.17721518987341772
20,0.9,2,18,0.9767441860465116,0.17721518987341772
20,0.8,4,16,0.8372093023255814,0.1518987341772152
