ranking_objective,evidence_quality_tier,domain_family,pfam_architecture,family_compatibility,appearance_count,unique_candidates,unique_queries,mean_rank,best_rank
top10,C_homology_named,bacterial_classI,bacterial_classI,compatible,795,411,161,5.49559748427673,1
top10,D_named_predicted,bacterial_classI,bacterial_classI,compatible,405,172,128,5.706172839506173,1
top10,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_full,compatible,58,40,34,4.5344827586206895,1
top10,C_homology_named,bacterial_classI,bacterial_classI,unsupported_expansion_family,50,37,16,6.12,1
top10,D_named_predicted,plant_like_classI_II,plant_tps_single_PF03936,architecture_mismatch,37,27,19,6.675675675675675,1
top10,D_named_predicted,plant_like_classI_II,plant_tps_full,compatible,32,24,24,5.78125,1
top10,C_homology_named,triterpene_cyclase,osc_full,compatible,31,29,7,5.32258064516129,1
top10,D_named_predicted,bacterial_classI,bacterial_classI,unsupported_expansion_family,28,23,15,5.642857142857143,2
top10,B_experimental_or_transcript_named,bacterial_classI,bacterial_classI,compatible,23,9,21,4.782608695652174,1
top10,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,architecture_mismatch,16,10,9,6.25,1
top10,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,compatible,15,15,2,5.066666666666666,1
top10,C_homology_named,triterpene_cyclase,osc_full,unsupported_expansion_family,11,10,8,6.363636363636363,1
top10,B_experimental_or_transcript_named,triterpene_cyclase,osc_full,compatible,9,7,5,3.7777777777777777,1
top10,C_homology_named,plant_like_classI_II,plant_tps_single_PF03936,architecture_mismatch,9,8,6,6.0,1
top10,C_homology_named,triterpene_cyclase,classII_cyclase_single_domain,architecture_mismatch,7,7,7,8.857142857142858,7
top10,C_homology_named,triterpene_cyclase,osc_full,architecture_mismatch,7,5,6,6.142857142857143,2
top10,D_named_predicted,plant_like_classI_II,plant_tps_single_PF01397,architecture_mismatch,7,7,5,5.285714285714286,2
top10,D_named_predicted,plant_like_classI_II,plant_tps_single_PF01397,unsupported_expansion_family,7,7,3,6.142857142857143,1
top10,C_homology_named,triterpene_cyclase,osc_domain_fragment,unsupported_expansion_family,4,4,1,3.25,1
top10,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_single_PF03936,architecture_mismatch,3,1,3,3.6666666666666665,3
top10,C_homology_named,plant_like_classI_II,plant_tps_full,compatible,3,3,3,7.333333333333333,4
top10,C_homology_named,triterpene_cyclase,osc_domain_fragment,architecture_mismatch,3,2,3,6.333333333333333,2
top10,D_named_predicted,triterpene_cyclase,osc_full,compatible,3,3,1,5.0,1
top10,A_reviewed,plant_like_classI_II,plant_tps_full,compatible,2,1,2,6.5,5
top10,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_full,unsupported_expansion_family,2,2,2,4.5,2
top10,B_experimental_or_transcript_named,triterpene_cyclase,osc_full,architecture_mismatch,2,1,2,4.5,4
top10,C_homology_named,plant_like_classI_II,plant_tps_single_PF01397,unsupported_expansion_family,2,2,2,9.0,9
top10,C_homology_named,triterpene_cyclase,classII_cyclase_single_domain,unsupported_expansion_family,2,2,2,7.5,5
top10,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,unsupported_expansion_family,2,2,2,10.0,10
top10,A_reviewed,triterpene_cyclase,osc_full,compatible,1,1,1,8.0,8
top10,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_single_PF01397,architecture_mismatch,1,1,1,6.0,6
top10,C_homology_named,plant_like_classI_II,plant_tps_full,unsupported_expansion_family,1,1,1,9.0,9
top10,C_homology_named,plant_like_classI_II,plant_tps_single_PF01397,architecture_mismatch,1,1,1,6.0,6
top10,D_named_predicted,plant_like_classI_II,plant_tps_full,unsupported_expansion_family,1,1,1,7.0,7
top10,D_named_predicted,plant_like_classI_II,plant_tps_single_PF03936,unsupported_expansion_family,1,1,1,5.0,5
top10,D_named_predicted,triterpene_cyclase,osc_domain_fragment,architecture_mismatch,1,1,1,6.0,6
top10,D_named_predicted,triterpene_cyclase,osc_full,architecture_mismatch,1,1,1,8.0,8
top20,C_homology_named,bacterial_classI,bacterial_classI,compatible,1633,659,179,10.662584200857317,1
top20,D_named_predicted,bacterial_classI,bacterial_classI,compatible,832,291,162,10.587740384615385,1
top20,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_full,compatible,98,55,44,9.03061224489796,1
top20,C_homology_named,bacterial_classI,bacterial_classI,unsupported_expansion_family,96,67,23,11.333333333333334,2
top20,D_named_predicted,bacterial_classI,bacterial_classI,unsupported_expansion_family,82,59,22,11.670731707317072,2
top20,D_named_predicted,plant_like_classI_II,plant_tps_single_PF03936,architecture_mismatch,82,54,31,12.024390243902438,1
top20,D_named_predicted,plant_like_classI_II,plant_tps_full,compatible,74,51,40,11.243243243243244,1
top20,C_homology_named,triterpene_cyclase,osc_full,compatible,67,57,10,10.537313432835822,1
top20,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,architecture_mismatch,48,34,22,12.916666666666666,1
top20,B_experimental_or_transcript_named,bacterial_classI,bacterial_classI,compatible,40,17,36,9.975,1
top20,C_homology_named,triterpene_cyclase,osc_full,architecture_mismatch,29,16,17,12.068965517241379,2
top20,D_named_predicted,plant_like_classI_II,plant_tps_single_PF01397,architecture_mismatch,29,27,14,11.413793103448276,2
top20,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,compatible,25,25,2,9.32,1
top20,C_homology_named,triterpene_cyclase,osc_full,unsupported_expansion_family,20,18,9,11.45,1
top20,D_named_predicted,plant_like_classI_II,plant_tps_single_PF01397,unsupported_expansion_family,16,13,7,12.3125,1
top20,C_homology_named,plant_like_classI_II,plant_tps_single_PF03936,architecture_mismatch,15,11,12,9.2,1
top20,C_homology_named,plant_like_classI_II,plant_tps_full,compatible,14,14,9,10.428571428571429,5
top20,B_experimental_or_transcript_named,triterpene_cyclase,osc_full,compatible,13,7,7,7.230769230769231,1
top20,C_homology_named,triterpene_cyclase,classII_cyclase_single_domain,architecture_mismatch,13,12,11,14.846153846153847,7
top20,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,unsupported_expansion_family,12,11,8,16.416666666666668,10
top20,D_named_predicted,triterpene_cyclase,osc_full,compatible,8,7,3,12.125,1
top20,C_homology_named,triterpene_cyclase,osc_domain_fragment,architecture_mismatch,7,6,6,12.0,2
top20,C_homology_named,triterpene_cyclase,osc_domain_fragment,unsupported_expansion_family,7,7,2,7.857142857142857,1
top20,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_single_PF03936,architecture_mismatch,6,4,6,11.166666666666666,3
top20,D_named_predicted,plant_like_classI_II,plant_tps_full,unsupported_expansion_family,5,5,3,13.4,6
top20,A_reviewed,plant_like_classI_II,plant_tps_full,compatible,4,1,4,10.0,6
top20,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_single_PF01397,architecture_mismatch,4,2,3,11.75,5
top20,C_homology_named,bacterial_classI,bacterial_classI,architecture_mismatch,4,4,3,17.0,16
top20,C_homology_named,plant_like_classI_II,plant_tps_single_PF01397,architecture_mismatch,4,4,3,9.25,5
top20,C_homology_named,plant_like_classI_II,plant_tps_single_PF01397,unsupported_expansion_family,4,4,4,11.75,7
top20,C_homology_named,triterpene_cyclase,classII_cyclase_single_domain,unsupported_expansion_family,4,4,2,15.0,11
top20,D_named_predicted,triterpene_cyclase,osc_domain_fragment,architecture_mismatch,4,4,4,15.0,7
top20,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_full,unsupported_expansion_family,3,3,3,7.0,3
top20,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_single_PF01397,unsupported_expansion_family,3,3,3,13.0,12
top20,B_experimental_or_transcript_named,triterpene_cyclase,osc_full,architecture_mismatch,3,2,2,5.666666666666667,3
top20,C_homology_named,plant_like_classI_II,plant_tps_full,unsupported_expansion_family,3,1,3,14.666666666666666,8
top20,D_named_predicted,bacterial_classI,bacterial_classI,architecture_mismatch,3,3,3,10.333333333333334,10
top20,A_reviewed,triterpene_cyclase,osc_full,compatible,2,1,2,9.5,8
top20,D_named_predicted,plant_like_classI_II,plant_tps_single_PF03936,unsupported_expansion_family,2,2,2,11.0,8
top20,A_reviewed,triterpene_cyclase,osc_full,architecture_mismatch,1,1,1,18.0,18
top20,B_experimental_or_transcript_named,triterpene_cyclase,osc_full,unsupported_expansion_family,1,1,1,18.0,18
top20,C_homology_named,triterpene_cyclase,classII_cyclase_single_domain,compatible,1,1,1,11.0,11
top20,D_named_predicted,plant_like_classI_II+bacterial_classI,bacterial_classI,compatible,1,1,1,12.0,12
top20,D_named_predicted,plant_like_classI_II+bacterial_classI,classI_hybrid_full,compatible,1,1,1,20.0,20
top20,D_named_predicted,triterpene_cyclase,osc_full,architecture_mismatch,1,1,1,11.0,11
top3,C_homology_named,bacterial_classI,bacterial_classI,compatible,233,151,118,2.0214592274678114,1
top3,D_named_predicted,bacterial_classI,bacterial_classI,compatible,118,57,72,1.9745762711864407,1
top3,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_full,compatible,24,16,23,2.0,1
top3,C_homology_named,triterpene_cyclase,osc_full,compatible,10,10,4,2.0,1
top3,D_named_predicted,plant_like_classI_II,plant_tps_full,compatible,9,8,7,2.0,1
top3,B_experimental_or_transcript_named,bacterial_classI,bacterial_classI,compatible,8,5,8,1.375,1
top3,C_homology_named,bacterial_classI,bacterial_classI,unsupported_expansion_family,8,6,6,2.5,1
top3,D_named_predicted,bacterial_classI,bacterial_classI,unsupported_expansion_family,7,6,6,2.2857142857142856,2
top3,B_experimental_or_transcript_named,triterpene_cyclase,osc_full,compatible,5,5,3,1.8,1
top3,D_named_predicted,plant_like_classI_II,plant_tps_single_PF03936,architecture_mismatch,5,5,5,2.0,1
top3,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,compatible,5,5,2,2.0,1
top3,D_named_predicted,triterpene_cyclase,classII_cyclase_single_domain,architecture_mismatch,3,3,2,2.0,1
top3,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_single_PF03936,architecture_mismatch,2,1,2,3.0,3
top3,C_homology_named,plant_like_classI_II,plant_tps_single_PF03936,architecture_mismatch,2,2,2,1.5,1
top3,C_homology_named,triterpene_cyclase,osc_domain_fragment,unsupported_expansion_family,2,2,1,2.0,1
top3,C_homology_named,triterpene_cyclase,osc_full,architecture_mismatch,2,2,2,2.5,2
top3,C_homology_named,triterpene_cyclase,osc_full,unsupported_expansion_family,2,1,2,1.5,1
top3,D_named_predicted,plant_like_classI_II,plant_tps_single_PF01397,architecture_mismatch,2,2,2,2.0,2
top3,B_experimental_or_transcript_named,plant_like_classI_II,plant_tps_full,unsupported_expansion_family,1,1,1,2.0,2
top3,C_homology_named,triterpene_cyclase,osc_domain_fragment,architecture_mismatch,1,1,1,2.0,2
top3,D_named_predicted,plant_like_classI_II,plant_tps_single_PF01397,unsupported_expansion_family,1,1,1,1.0,1
top3,D_named_predicted,triterpene_cyclase,osc_full,compatible,1,1,1,1.0,1
