reaction_signature,reaction_smiles,substrate_name,product_name,terpene_type,tps_class,has_mechanism,known_associations_masked,positive_control_id,positive_control_available,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,panel_size,mean_pairwise_esm_distance,minimum_pairwise_esm_distance,external_candidate_fraction,mean_hub_frequency,maximum_hub_frequency,mean_original_rank,sequence_risk_candidates_excluded,sequence_eligible_pool_size,diversity_percentile,agreement_percentile,vote_percentile,nonhub_percentile,control_score,campaign_priority_score,campaign_priority_rank,reaction_id,balanced_campaign_order,rescue_target_source,replaced_reaction_id,compatible_candidate_pool_size,substrate_reuse,control_reuse,candidate_pool_size
CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1(C)C(C)CCC2(C)C(C)=CCCC21>>C=CC(C)(O)CCC1(C)C(C)CCC2(C)C(C)=CCCC21,CC1=CCC[C@H]2[C@](C)(CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@H](C)CC[C@@]12C>>C=CC(C)(O)CC[C@]1(C)[C@H](C)CC[C@@]2(C)C(C)=CCC[C@@H]12,ent-neo-cis-trans-kolavenol,ent-neo-cis-trans-kolavelool,di,1,True,1,A0A345ZQ25,True,1.0,0.0,1.2775269109054994,0.5589743589743589,0.7833333333333333,12,0.09778545051813126,0.002013266086578369,0.25,2.25,5,6.5,0,20,0.8291666666666667,0.8166666666666667,0.6375,0.9270833333333334,1.0,0.8194791666666665,6,MARTS_EXT_RXN_5e756bc9af81,1,base_supported,,32,,,
CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>Cc1ccc(C(C)C)cc1,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>Cc1ccc(C(C)C)cc1,(2E)-GPP,p-cymene,mono,1,True,1,E2E2P0,True,1.0,0.0,0.0670201228745453,0.4828381495048162,0.7666666666666667,12,0.031009212136268616,5.8650970458984375e-05,0.25,2.75,7,7.75,1,19,0.15416666666666667,0.6479166666666667,0.55625,0.8666666666666667,1.0,0.5494791666666667,123,MARTS_EXT_RXN_0396c90bff0f,2,supported_replacement,MARTS_EXT_RXN_890006655690,28,0.0,0.0,28.0
CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2C(=CC1)C(C)CCC2C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C[C@@H]2C(=CC1)[C@@H](C)CC[C@H]2C(C)C,"(2E,6E)-FPP",cubenene,sesq,1,True,8,A5BEB8,True,0.6666666666666666,0.471404492855072,0.0431666247760504,0.5059239610963749,0.8166666666666667,12,0.12906382977962494,0.0034586191177368164,0.5833333333333334,4.833333333333333,13,6.666666666666667,0,20,0.9458333333333333,0.7166666666666667,0.7708333333333334,0.64375,1.0,0.8136458333333333,7,MARTS_EXT_RXN_5ebefc2c5944,3,base_supported,,54,,,
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)C1=CCC(C)=CC1>>CC1=CCC(C(C)CCC2C(C)(O)CCC3C2(C)CCC2C4(C)CCCC(C)(C)C4CCC23C)=CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC[C@@H](C)C1=CCC(C)=CC1>>CC1=CCC([C@H](C)CC[C@@H]2[C@@]3(C)CC[C@H]4[C@@](C)(CC[C@H]5C(C)(C)CCC[C@]45C)[C@@H]3CC[C@@]2(C)O)=CC1,(R)-tetraprenyl-β-curcumene,sporulenol,sesquar,1,True,1,Q796C3,True,0.6666666666666666,0.471404492855072,0.17990623178659,0.3957307060755337,0.7166666666666667,12,0.14149697124958038,0.0018682479858398438,0.5,2.9166666666666665,8,7.5,1,19,0.9666666666666667,0.37083333333333335,0.325,0.8333333333333334,1.0,0.6727083333333334,39,MARTS_EXT_RXN_92f6ef4d14a5,4,base_supported,,43,,,
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(CCC=C(C)CCC=C(C)C)C1C2C(C)CCC2C2(C)CCC12,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(CC/C=C(\C)CCC=C(C)C)[C@@H]1[C@@H]2[C@@H](CC[C@@H]2C)[C@]2(C)CC[C@H]12,"(2E,6E,10E,14E)-GFPP",geranylkelsoene,sester,1,True,1,A0A3M8F3X6,True,0.6666666666666666,2.357022762298584,0.2370233451071871,0.4121510673234811,0.7666666666666667,12,0.15030167996883392,0.00989067554473877,0.4166666666666667,10.083333333333334,22,8.333333333333334,4,16,0.9916666666666667,0.42083333333333334,0.55625,0.4875,1.0,0.6870833333333333,34,MARTS_EXT_RXN_2a8513f7b1f9,5,base_supported,,61,,,
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C>>CC(C)(O)C1CCC2(C)C1CCC1(C)C2CCC2C3(C)CCC(O)C(C)(C)C3CCC21C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C>>CC(C)(O)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,"(S)-2,3-epoxysqualene","21-beta-H-hopane-3-beta,22-diol",tri,2,True,1,B0Y565,True,0.6666666666666666,0.9428090453147888,0.1534850515998456,0.6463768115942029,0.8833333333333333,12,0.09314176440238953,0.0004734992980957031,0.0,4.583333333333333,11,8.666666666666666,2,18,0.8125,0.95,0.9583333333333334,0.7145833333333333,1.0,0.8801041666666666,5,MARTS_EXT_RXN_0304c0087056,6,base_supported,,57,,,
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C>>C=C1CCC(O)C(C)(C)C1CCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C>>C=C1CC[C@H](O)C(C)(C)[C@@H]1CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,"(S)-2,3-epoxysqualene",achilleol A,tri,2,True,1,P0C8Y0,True,0.6666666666666666,0.471404492855072,0.3343726977616649,0.582716049382716,0.8333333333333334,12,0.046263039112091064,3.826618194580078e-05,0.16666666666666666,3.0,7,7.083333333333333,1,19,0.3375,0.8604166666666667,0.8395833333333333,0.8666666666666667,1.0,0.7142708333333334,23,MARTS_EXT_RXN_4c4ba4bc0549,7,base_supported,,13,,,
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C>>CC(C)(O)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C>>CC(C)(O)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,"(S)-2,3-epoxysqualene","lupan-3β,20-diol",tri,2,True,1,Q9C5M3,True,0.3333333333333333,0.8164966106414795,0.0872509462270401,0.6480862133036046,0.8833333333333333,12,0.03292639181017876,0.000876009464263916,0.16666666666666666,3.5833333333333335,7,7.083333333333333,0,20,0.175,0.9541666666666667,0.9583333333333334,0.8666666666666667,1.0,0.7127083333333334,25,MARTS_EXT_RXN_455979525191,8,base_supported,,18,,,
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C>>C=C(C)C1CCC2(C)C1CCC1(C)C2CCC2C3(C)CCCC(C)(C)C3CCC21C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C>>C=C(C)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,squalene,hop-22(29)-ene,tri,2,True,5,P33247,True,0.3333333333333333,0.471404492855072,0.1386082176768701,0.3373015873015872,0.7,12,0.12622365355491638,0.0123177170753479,0.3333333333333333,5.166666666666667,10,8.166666666666666,2,18,0.9375,0.25833333333333336,0.27291666666666664,0.75625,1.0,0.6138541666666666,73,MARTS_EXT_RXN_000c8b710696,9,supported_replacement,MARTS_EXT_RXN_219616d40b4a,51,0.0,0.0,51.0
CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2=C(C(C)C)CCC(C)C2CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2=C(C(C)C)CC[C@@H](C)[C@@H]2CC1,"(2E,6E)-FPP",epizonarene,sesq,1,True,10,E9E766,True,0.3333333333333333,0.8164966106414795,0.1154973560286377,0.6,0.85,12,0.06724634766578674,-1.1920928955078125e-07,0.5833333333333334,5.0,8,6.5,0,20,0.6,0.86875,0.8979166666666667,0.8333333333333334,1.0,0.8017708333333333,9,MARTS_EXT_RXN_747e48195053,10,base_supported,,55,,,
