reaction_id,original_plate_id,original_reaction_order,terpene_type,tps_class,substrate_name,product_name,positive_control_id,candidate_median_length,candidate_q90_length,candidate_external_fraction,candidate_unique_sequences,A_count,B_count,C_count,D_count,bacterial_classI_count,plant_tps_full_count,classI_hybrid_full_count,osc_full_count,balanced_plate_id,plate_changed,balanced_plate_position
MARTS_EXT_RXN_237f1c153ad6,TPS_DISCOVERY_P01,1,di,1,"(2E,6E,10E)-GGPP",chitinol,A0A979G5X7,325.5,353.2,0.6666666666666666,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P03,True,1
MARTS_EXT_RXN_890006655690,TPS_DISCOVERY_P01,2,mono,1,"(R,R)-chrysanthemyl diphosphate","(R,R)-chrysanthemol",P0C565,383.5,414.9,0.6666666666666666,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P01,False,1
MARTS_EXT_RXN_bb0c8b67ae81,TPS_DISCOVERY_P01,3,sesq,1,"(2E,6E)-FPP",(+)-Isoitalicene,E5GAG1,557.5,561.9,0.75,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P01,False,2
MARTS_EXT_RXN_92f6ef4d14a5,TPS_DISCOVERY_P01,4,sesquar,1,(R)-tetraprenyl-β-curcumene,sporulenol,Q796C3,316.0,449.9,0.5833333333333334,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P01,False,3
MARTS_EXT_RXN_c33f8bcece70,TPS_DISCOVERY_P01,5,sester,1,"(2E,6E,10E,14E)-GFPP",aspergildiene B,P9WEP0,663.0,769.9,0.4166666666666667,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P01,False,4
MARTS_EXT_RXN_78f709de4b7c,TPS_DISCOVERY_P01,6,tri,1,presqualene diphosphate,bisfarnesyl ether,G0Y287,417.0,461.9,0.4166666666666667,11,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P02,True,1
MARTS_EXT_RXN_0304c0087056,TPS_DISCOVERY_P02,7,tri,2,"(S)-2,3-epoxysqualene","21-beta-H-hopane-3-beta,22-diol",B0Y565,651.0,721.4,0.08333333333333333,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P01,True,5
MARTS_EXT_RXN_4c4ba4bc0549,TPS_DISCOVERY_P02,8,tri,2,"(S)-2,3-epoxysqualene",achilleol A,P0C8Y0,759.5,765.8,0.25,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P03,True,2
MARTS_EXT_RXN_000c8b710696,TPS_DISCOVERY_P02,9,tri,2,squalene,hop-22(29)-ene,P33247,399.0,777.5,0.4166666666666667,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P04,True,1
MARTS_EXT_RXN_455979525191,TPS_DISCOVERY_P02,10,tri,2,"(S)-2,3-epoxysqualene","lupan-3β,20-diol",Q9C5M3,762.5,766.9,0.25,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P02,False,2
MARTS_EXT_RXN_5e756bc9af81,TPS_DISCOVERY_P02,11,di,1,ent-neo-cis-trans-kolavenol,ent-neo-cis-trans-kolavelool,A0A345ZQ25,585.5,834.6,0.3333333333333333,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P02,False,3
MARTS_EXT_RXN_3d09cb5fb800,TPS_DISCOVERY_P02,12,sesq,1,"(2Z,6E)-FPP","(6R,7S)-2,2,6-trimethyl-10-methylenebicyclo[5.4.0]undec-1(11)-ene",A0A140AZ63,385.5,475.40000000000003,0.5833333333333334,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P02,False,4
MARTS_EXT_RXN_22bda90ee992,TPS_DISCOVERY_P03,13,di,1,nerylneryl diphosphate,lycosantalene,G5CV51,769.0,778.0,0.4166666666666667,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P03,False,3
MARTS_EXT_RXN_96ac57c79326,TPS_DISCOVERY_P03,14,mono,1,(2E)-GPP,α-phellandrene,O23945,627.0,627.9,0.0,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P04,True,2
MARTS_EXT_RXN_d4f733465fb3,TPS_DISCOVERY_P03,15,sesq,1,"(2E,6E)-FPP",bicycloelemene,F1A1D4,350.0,404.3,0.16666666666666666,12,0,0,0,0,0,0,0,0,TPS_DISCOVERY_P03,False,4
