reaction_id,original_plate_id,original_reaction_order,terpene_type,tps_class,substrate_name,product_name,positive_control_id,candidate_median_length,candidate_q90_length,candidate_external_fraction,candidate_unique_sequences,A_count,B_count,C_count,D_count,bacterial_classI_count,plant_tps_full_count,classI_hybrid_full_count,osc_full_count,balanced_plate_id,plate_changed,balanced_plate_position
MARTS_EXT_RXN_5e756bc9af81,TPS_UNIPROT_RESCUE_P01,1,di,1,ent-neo-cis-trans-kolavenol,ent-neo-cis-trans-kolavelool,A0A345ZQ25,537.5,703.9,0.0,4,0,1,2,1,3,1,0,0,TPS_UNIPROT_RESCUE_P01,False,1
MARTS_EXT_RXN_0396c90bff0f,TPS_UNIPROT_RESCUE_P01,2,mono,1,(2E)-GPP,p-cymene,E2E2P0,629.5,700.5,0.0,4,0,2,1,1,1,3,0,0,TPS_UNIPROT_RESCUE_P02,True,1
MARTS_EXT_RXN_5ebefc2c5944,TPS_UNIPROT_RESCUE_P01,3,sesq,1,"(2E,6E)-FPP",cubenene,A5BEB8,321.5,338.8,0.0,4,0,1,1,2,4,0,0,0,TPS_UNIPROT_RESCUE_P01,False,2
MARTS_EXT_RXN_92f6ef4d14a5,TPS_UNIPROT_RESCUE_P01,4,sesquar,1,(R)-tetraprenyl-β-curcumene,sporulenol,Q796C3,628.0,820.5,0.0,4,0,0,3,1,0,0,0,4,TPS_UNIPROT_RESCUE_P02,True,2
MARTS_EXT_RXN_2a8513f7b1f9,TPS_UNIPROT_RESCUE_P01,5,sester,1,"(2E,6E,10E,14E)-GFPP",geranylkelsoene,A0A3M8F3X6,460.5,765.0,0.0,4,0,1,2,1,3,1,0,0,TPS_UNIPROT_RESCUE_P02,True,3
MARTS_EXT_RXN_0304c0087056,TPS_UNIPROT_RESCUE_P01,6,tri,2,"(S)-2,3-epoxysqualene","21-beta-H-hopane-3-beta,22-diol",B0Y565,728.0,859.0,0.0,4,1,1,1,1,0,0,0,4,TPS_UNIPROT_RESCUE_P02,True,4
MARTS_EXT_RXN_4c4ba4bc0549,TPS_UNIPROT_RESCUE_P01,7,tri,2,"(S)-2,3-epoxysqualene",achilleol A,P0C8Y0,672.0,797.8000000000001,0.0,4,0,3,1,0,0,0,0,4,TPS_UNIPROT_RESCUE_P01,False,3
MARTS_EXT_RXN_455979525191,TPS_UNIPROT_RESCUE_P01,8,tri,2,"(S)-2,3-epoxysqualene","lupan-3β,20-diol",Q9C5M3,872.5,992.5,0.0,4,0,1,2,1,0,0,0,4,TPS_UNIPROT_RESCUE_P01,False,4
MARTS_EXT_RXN_000c8b710696,TPS_UNIPROT_RESCUE_P01,9,tri,2,squalene,hop-22(29)-ene,P33247,692.0,907.1,0.0,4,1,0,2,1,0,0,0,4,TPS_UNIPROT_RESCUE_P01,False,5
MARTS_EXT_RXN_747e48195053,TPS_UNIPROT_RESCUE_P01,10,sesq,1,"(2E,6E)-FPP",epizonarene,E9E766,445.0,569.8,0.0,4,0,1,2,1,2,2,0,0,TPS_UNIPROT_RESCUE_P02,True,5
MARTS_EXT_RXN_22bda90ee992,TPS_UNIPROT_RESCUE_P01,11,di,1,nerylneryl diphosphate,lycosantalene,G5CV51,727.0,770.2,0.0,4,0,2,1,1,1,3,0,0,TPS_UNIPROT_RESCUE_P01,False,6
MARTS_EXT_RXN_c4cfcdfee60d,TPS_UNIPROT_RESCUE_P01,12,sesq,1,pre-sodorifen diphosphate,sodorifen,AGO55049.1,368.0,390.9,0.0,4,0,0,3,1,4,0,0,0,TPS_UNIPROT_RESCUE_P01,False,7
MARTS_EXT_RXN_be815318a50a,TPS_UNIPROT_RESCUE_P02,13,di,1,"(2E,6E,10E)-GGPP",klysimplexin R,UPI41561.1,381.0,427.7,0.0,4,0,1,2,1,4,0,0,0,TPS_UNIPROT_RESCUE_P01,True,8
MARTS_EXT_RXN_fc09735a9f8b,TPS_UNIPROT_RESCUE_P02,14,mono,1,(2E)-GPP,α-thujene,G0Y7D2,416.0,562.4,0.0,4,0,1,2,1,2,2,0,0,TPS_UNIPROT_RESCUE_P01,True,9
MARTS_EXT_RXN_4fcf7c82c333,TPS_UNIPROT_RESCUE_P02,15,di,1,(+)-copalyl diphosphate,"abieta-7,13-diene",H8ZM70,654.0,758.6,0.0,4,0,2,1,1,2,2,0,0,TPS_UNIPROT_RESCUE_P02,False,6
MARTS_EXT_RXN_66c7e35bfd6a,TPS_UNIPROT_RESCUE_P02,16,sester,1,"(2E,6E,10E,14E)-GFPP",geranyl-bicyclogermacrene,A0A3M8F3X6,340.5,521.0,0.0,4,0,1,2,1,3,1,0,0,TPS_UNIPROT_RESCUE_P01,True,10
MARTS_EXT_RXN_6bd0977b42d0,TPS_UNIPROT_RESCUE_P02,17,sesq,1,"(2E,6E)-FPP",α-curcumene,U5PZT6,470.5,705.8000000000001,0.0,4,0,1,1,2,1,3,0,0,TPS_UNIPROT_RESCUE_P01,True,11
MARTS_EXT_RXN_aecc694cdc8f,TPS_UNIPROT_RESCUE_P02,18,tri,2,"(S)-2,3-epoxysqualene",taraxerol,A8C981,638.5,735.4,0.0,4,0,2,2,0,0,0,0,4,TPS_UNIPROT_RESCUE_P02,False,7
MARTS_EXT_RXN_8d2492a66172,TPS_UNIPROT_RESCUE_P02,19,mono,1,(2E)-GPP,(−)-camphene,O81192,500.0,593.3000000000001,0.0,4,0,2,1,1,0,4,0,0,TPS_UNIPROT_RESCUE_P02,False,8
MARTS_EXT_RXN_23b0ccdf5255,TPS_UNIPROT_RESCUE_P02,20,di,1,ent-copalyl diphosphate,"8-epi-abieta-3(4),5-diene",MBW4630784.1,350.5,648.7,0.0,4,0,1,2,1,3,1,0,0,TPS_UNIPROT_RESCUE_P02,False,9
MARTS_EXT_RXN_63e6da659221,TPS_UNIPROT_RESCUE_P02,21,sesq,1,"(2E,6E)-FPP",(+)-caryolan-1-ol,B1W019,342.0,378.6,0.0,4,0,1,2,1,4,0,0,0,TPS_UNIPROT_RESCUE_P02,False,10
MARTS_EXT_RXN_9c359e8d58c7,TPS_UNIPROT_RESCUE_P02,22,sester,1,"(2E,6E,10E,14E)-GFPP",sesterbrasiliatriene,A0A2Z6AQX7,708.0,730.7,0.0,4,0,1,1,2,4,0,0,0,TPS_UNIPROT_RESCUE_P02,False,11
MARTS_EXT_RXN_cda281fba2bd,TPS_UNIPROT_RESCUE_P02,23,di,1,"(2E,6E,10E)-GGPP",lobophytumin C,B5H135,367.5,415.5,0.0,4,0,0,2,2,4,0,0,0,TPS_UNIPROT_RESCUE_P02,False,12
MARTS_EXT_RXN_96ac57c79326,TPS_UNIPROT_RESCUE_P02,24,mono,1,(2E)-GPP,α-phellandrene,O23945,711.5,848.5,0.0,4,0,2,1,1,1,3,0,0,TPS_UNIPROT_RESCUE_P01,True,12
