campaign_scope,plate_id,reaction_id,candidate_id,selection_role,original_well,randomized_well,relative_candidate_slot
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,A0A3N4M544,diversity,C2,A1,AC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,Q8YN85,diversity,B2,C2,CC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,UPI0005ADA921,diversity,D2,A2,AC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,A0A0B4IF96,exploitation,C1,F1,FC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,A0A139WXP3,exploitation,A1,D1,DC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,A7NH01,exploitation,B1,E1,EC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,B1XJV9,exploitation,E1,B1,BC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,J2T8D5,exploitation,F1,B2,BC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,P37294,exploitation,D1,H1,HC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,A0A979G646,uncertainty,G1,D2,DC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,A9FZ87,uncertainty,A2,C1,CC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_237f1c153ad6,C7PLV2,uncertainty,H1,G1,GC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,D7PHZ5,diversity,D2,D1,DC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,P05369,diversity,C2,H1,HC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,Q58GE8,diversity,B2,B2,BC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,A0A1B7YCL6,exploitation,D1,A2,AC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,A0A386JV86,exploitation,E1,G1,GC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,G0Y288,exploitation,F1,D2,DC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,P14324,exploitation,B1,A1,AC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,P49353,exploitation,C1,C1,CC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,Q7XYS8,exploitation,A1,C2,CC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,A0A140AZ63,uncertainty,G1,F1,FC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,A0A343W970,uncertainty,H1,B1,BC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_890006655690,Q09152,uncertainty,A2,E1,EC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,A0A1J0CQ90,diversity,B4,E3,EC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,A0A8A5XA86,diversity,C4,C3,CC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,E5L4Y4,diversity,D4,G3,GC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,A0A1L1WGB8,exploitation,E3,D3,DC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,E5GAF6,exploitation,A3,B4,BC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,F6I4Y2,exploitation,F3,D4,DC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,G8H5N1,exploitation,D3,B3,BC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,L0I7F9,exploitation,C3,H3,HC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,WFJ08646.1,exploitation,B3,F3,FC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,A0A290U6M3,uncertainty,G3,C4,CC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,P9WER0,uncertainty,A4,A3,AC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_bb0c8b67ae81,Q94JS8,uncertainty,H3,A4,AC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,A0A0E3D8N0,diversity,C6,F5,FC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,P9WJ61,diversity,D6,D6,DC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,Q08291,diversity,B6,B5,BC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,A0A094YZ24,exploitation,C5,C5,CC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,A0A2I6PJ02,exploitation,B5,E5,EC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,B6K412,exploitation,E5,A5,AC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,O06728,exploitation,A5,A6,AC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,P54383,exploitation,D5,C6,CC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,WP_089795910.1,exploitation,F5,G5,GC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,A0A0E3D8N6,uncertainty,A6,D5,DC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,A9JQL9,uncertainty,H5,B6,BC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_92f6ef4d14a5,P40805,uncertainty,G5,H5,HC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,A0A177DNJ5,diversity,D8,C7,CC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,A0A4R4VDA4,diversity,C8,A7,AC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,Q9LH31,diversity,B8,B7,BC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,A0A2Z6AQX7,exploitation,D7,G7,GC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,A0A5N5W9J0,exploitation,B7,A8,AC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,A0A8F4PNJ7,exploitation,F7,E7,EC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,A0A8F4PQI4,exploitation,E7,H7,HC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,P9WEV2,exploitation,A7,C8,CC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,Q9LQ27,exploitation,C7,F7,FC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,Q0CRW6,uncertainty,H7,D8,DC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,Q9C6W6,uncertainty,A8,D7,DC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_c33f8bcece70,Q9LIA1,uncertainty,G7,B8,BC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,A0A0M9VUP1,diversity,C2,F1,FC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,A0A345BJQ0,diversity,D2,H1,HC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,Q02769,diversity,B2,G1,GC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,A0A142ZC57,exploitation,E1,D2,DC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,A0A144YEA5,exploitation,D1,B2,BC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,A4D9R2,exploitation,C1,B1,BC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,G0Y286,exploitation,A1,C1,CC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,G0Y288,exploitation,F1,D1,DC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,Q32KR6,exploitation,B1,A1,AC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,P37268,uncertainty,H1,C2,CC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,Q5R6U3,uncertainty,A2,A2,AC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_78f709de4b7c,Q9SDW9,uncertainty,G1,E1,EC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,B6K412,diversity,B10,D9,DC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,D7PHZ3,diversity,D10,D10,DC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,P55348,diversity,C10,A10,AC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,A0A455LN86,exploitation,C9,B10,BC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,A7NH01,exploitation,D9,H9,HC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,D7PHZ8,exploitation,F9,E9,EC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,P33247,exploitation,A9,F9,FC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,Q24FB1,exploitation,E9,C10,CC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,Q9C5M3,exploitation,B9,G9,GC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,A0A1L9WUI2,uncertainty,G9,A9,AC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,P37294,uncertainty,H9,C9,CC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_0304c0087056,P54924,uncertainty,A10,B9,BC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,E7DN64,diversity,D4,E3,EC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,Q764T8,diversity,B4,C4,CC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,Q9SSU5,diversity,C4,B4,BC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,A0A411JJ93,exploitation,F3,A3,AC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,P0DXI1,exploitation,E3,D3,DC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,Q2R712,exploitation,C3,B3,BC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,Q401R5,exploitation,A3,A4,AC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,Q4WBI3,exploitation,B3,D4,DC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,Q9C5M3,exploitation,D3,C3,CC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,A0A067DDU9,uncertainty,A4,H3,HC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,B6EXY6,uncertainty,G3,G3,GC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_4c4ba4bc0549,Q9LRH7,uncertainty,H3,F3,FC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,A0A6S6QR11,diversity,D2,A2,AC2
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,O07333,diversity,C2,D1,DC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,P37273,diversity,B2,B1,BC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,A0A8K1AY78,exploitation,F1,H1,HC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,B0Y565,exploitation,A1,E1,EC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,I1RL12,exploitation,C1,F1,FC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,P37294,exploitation,D1,C2,CC2
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,P77735,exploitation,E1,G1,GC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,Q24FB1,exploitation,B1,A1,AC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,E2IUA6,uncertainty,H1,D2,DC2
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,P37269,uncertainty,A2,C1,CC1
canonical_discovery,TPS_DISCOVERY_P04,MARTS_EXT_RXN_000c8b710696,P9WPN3,uncertainty,G1,B2,BC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,A0A1P8AVI0,diversity,C4,H3,HC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,Q764T8,diversity,D4,G3,GC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,Q9LRH7,diversity,B4,C4,CC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,A0A0U2U4F3,exploitation,E3,D3,DC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,A0A125SXN2,exploitation,F3,A4,AC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,B0Y565,exploitation,B3,C3,CC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,Q8RWT0,exploitation,D3,B4,BC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,Q9FZI2,exploitation,A3,B3,BC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,Q9SYN1,exploitation,C3,D4,DC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,A0A411JJ93,uncertainty,G3,F3,FC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,E2IUA8,uncertainty,H3,A3,AC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_455979525191,O23390,uncertainty,A4,E3,EC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,Q6BDZ9,diversity,D6,B6,BC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,Q8W1D0,diversity,B6,C5,CC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,W8QEG7,diversity,C6,A5,AC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,A0A1D6F9Y9,exploitation,B5,H5,HC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_5e756bc9af81,A0A1D6KUI6,exploitation,F5,E5,EC1
