campaign_scope,candidate_role,selection_role,n_candidates,available_slots,occupied_slots,maximum_slot_count,minimum_slot_count_including_zero,slot_count_range,maximum_slot_share,normalized_slot_entropy,occupied_rows,layout
canonical_discovery,discovery_candidate,diversity,72,12,3,24,0,24,0.3333333333333333,0.4421141086977403,3,before
canonical_discovery,discovery_candidate,exploitation,144,12,6,24,0,24,0.16666666666666666,0.7210570543488701,6,before
canonical_discovery,discovery_candidate,uncertainty,72,12,3,24,0,24,0.3333333333333333,0.4421141086977403,3,before
canonical_discovery,discovery_candidate,diversity,72,12,12,6,6,0,0.08333333333333333,1.0,8,after
canonical_discovery,discovery_candidate,exploitation,144,12,12,12,12,0,0.08333333333333333,1.0,8,after
canonical_discovery,discovery_candidate,uncertainty,72,12,12,6,6,0,0.08333333333333333,1.0,8,after
uniprot_rescue,uniprot_rescue_candidate,best_available_evidence,3,4,1,3,0,3,1.0,-0.0,1,before
uniprot_rescue,uniprot_rescue_candidate,evidence_anchor,21,4,1,21,0,21,1.0,-0.0,1,before
uniprot_rescue,uniprot_rescue_candidate,homology_named,24,4,1,24,0,24,1.0,-0.0,1,before
uniprot_rescue,uniprot_rescue_candidate,named_predicted,24,4,1,24,0,24,1.0,-0.0,1,before
uniprot_rescue,uniprot_rescue_candidate,sequence_diversity,24,4,1,24,0,24,1.0,-0.0,1,before
uniprot_rescue,uniprot_rescue_candidate,best_available_evidence,3,4,3,1,0,1,0.3333333333333333,0.792481250360578,3,after
uniprot_rescue,uniprot_rescue_candidate,evidence_anchor,21,4,4,6,5,1,0.2857142857142857,0.997618320255157,4,after
uniprot_rescue,uniprot_rescue_candidate,homology_named,24,4,4,6,6,0,0.25,1.0,4,after
uniprot_rescue,uniprot_rescue_candidate,named_predicted,24,4,4,6,6,0,0.25,1.0,4,after
uniprot_rescue,uniprot_rescue_candidate,sequence_diversity,24,4,4,6,6,0,0.25,1.0,4,after
