query_id,overlap,jaccard,top1_changed,new_candidates,old_top1,new_top1
7S5L_A,16,0.6666666666666666,True,4,RHEA:68712,RHEA:27530
A0A010YQZ8,16,0.6666666666666666,False,4,RHEA:78979,RHEA:78979
A0A023J8Z5,16,0.6666666666666666,False,4,RHEA:31807,RHEA:31807
A0A059PYD5,15,0.6,False,5,RHEA:28294,RHEA:28294
A0A067N7X3,15,0.6,False,5,RHEA:53668,RHEA:53668
A0A067NBB1,14,0.5384615384615384,True,6,RHEA:28639,MARTS_EXT_RXN_5ebefc2c5944
A0A067NY86,17,0.7391304347826086,False,3,RHEA:28639,RHEA:28639
A0A068EUF6,16,0.6666666666666666,False,4,RHEA:16965,RHEA:16965
A0A075W0Z3,13,0.48148148148148145,False,7,RHEA:12516,RHEA:12516
A0A075W3D9,17,0.7391304347826086,False,3,RHEA:12016,RHEA:12016
A0A076GAR6,15,0.6,False,5,RHEA:12516,RHEA:12516
A0A076GAU5,16,0.6666666666666666,False,4,RHEA:12016,RHEA:12016
A0A076GAU9,14,0.5384615384615384,True,6,RHEA:34503,RHEA:25496
A0A076GBT5,13,0.48148148148148145,False,7,RHEA:31895,RHEA:31895
A0A076KZH5,13,0.48148148148148145,True,7,RHEA:27425,RHEA:12516
A0A076KZS5,14,0.5384615384615384,True,6,RHEA:27425,RHEA:28643
A0A076L4M0,14,0.5384615384615384,True,6,RHEA:27425,RHEA:28643
A0A076L4Z9,13,0.48148148148148145,True,7,RHEA:27425,RHEA:12516
A0A076L503,14,0.5384615384615384,True,6,RHEA:27425,RHEA:28643
A0A076L784,14,0.5384615384615384,False,6,RHEA:28294,RHEA:28294
A0A094YZ24,19,0.9047619047619048,True,1,RHEA:54508,RHEA:33123
A0A097SRT3,18,0.8181818181818182,False,2,RHEA:33987,RHEA:33987
A0A097ZIE0,15,0.6,False,5,RHEA:33991,RHEA:33991
A0A097ZQA4,15,0.6,False,5,RHEA:54640,RHEA:54640
A0A097ZQD0,12,0.42857142857142855,True,8,RHEA:78979,RHEA:53624
A0A097ZQD1,14,0.5384615384615384,True,6,RHEA:53644,RHEA:42988
A0A0A0QUT9,18,0.8181818181818182,False,2,RHEA:31895,RHEA:31895
A0A0A0RCB5,16,0.6666666666666666,False,4,RHEA:30471,RHEA:30471
A0A0A0RDR2,12,0.42857142857142855,False,8,RHEA:32555,RHEA:32555
A0A0A0RDZ8,14,0.5384615384615384,False,6,RHEA:32555,RHEA:32555
A0A0A7DNH6,17,0.7391304347826086,True,3,RHEA:10940,RHEA:15809
A0A0A7GEY4,14,0.5384615384615384,False,6,RHEA:56944,RHEA:56944
A0A0B5KP67,16,0.6666666666666666,True,4,RHEA:30471,RHEA:32555
A0A0E0LRP1,14,0.5384615384615384,False,6,RHEA:32699,RHEA:32699
A0A0E3KJK7,16,0.6666666666666666,False,4,RHEA:31895,RHEA:31895
A0A0F4GLU2,15,0.6,False,5,RHEA:25694,RHEA:25694
A0A0F6P1F4,12,0.42857142857142855,False,8,RHEA:22220,RHEA:22220
A0A0G7ZNT4,16,0.6666666666666666,False,4,RHEA:25440,RHEA:25440
A0A0H4U9R8,15,0.6,False,5,RHEA:68644,RHEA:68644
A0A0M4MMY1,15,0.6,False,5,RHEA:22220,RHEA:22220
A0A0M8XX89,17,0.7391304347826086,True,3,MARTS_EXT_RXN_d86b1fdbc72d,RHEA:28294
A0A0N9I8A9,16,0.6666666666666666,False,4,RHEA:78979,RHEA:78979
A0A0U1XNG2,15,0.6,False,5,RHEA:25444,RHEA:25444
A0A0U1XRI2,15,0.6,False,5,RHEA:25444,RHEA:25444
A0A0U3BRC5,18,0.8181818181818182,False,2,RHEA:25649,RHEA:25649
A0A0U4IMN4,14,0.5384615384615384,True,6,RHEA:31895,RHEA:25444
A0A0U4KG90,14,0.5384615384615384,False,6,RHEA:25444,RHEA:25444
A0A0U5GLI1,17,0.7391304347826086,False,3,RHEA:78403,RHEA:78403
A0A100IAT3,18,0.8181818181818182,True,2,RHEA:11328,MARTS_EXT_RXN_c82f9ce748cd
A0A101T124,15,0.6,True,5,MARTS_EXT_RXN_0d75732112ff,MARTS_EXT_RXN_accbb7c49b47
A0A117RG81,16,0.6666666666666666,False,4,RHEA:34695,RHEA:34695
A0A125S8N1,16,0.6666666666666666,True,4,RHEA:27421,RHEA:28302
A0A125S8N2,15,0.6,True,5,RHEA:27421,RHEA:25444
A0A135LYJ9,14,0.5384615384615384,False,6,RHEA:54068,RHEA:54068
A0A139WXP3,18,0.8181818181818182,True,2,MARTS_EXT_RXN_4b410b511327,MARTS_EXT_RXN_237f1c153ad6
A0A140AZ63,17,0.7391304347826086,False,3,RHEA:68852,RHEA:68852
A0A140AZ66,15,0.6,True,5,MARTS_EXT_RXN_2ffb342ca060,RHEA:68852
A0A140AZ69,19,0.9047619047619048,False,1,RHEA:68852,RHEA:68852
A0A140AZ72,15,0.6,False,5,RHEA:68852,RHEA:68852
A0A142BX71,17,0.7391304347826086,False,3,RHEA:28294,RHEA:28294
