reaction_id,rhea_id,status,n_candidates,n_scored_candidates,n_positive_enzymes,n_scored_positive_enzymes,best_positive_rank,best_positive_enzyme_id,best_positive_score,top1_hit,top5_hit,top10_hit,top10_enzyme_ids,top10_scores,reciprocal_rank
reaction_01,RHEA:22408,ok,1391,1379,24,24,387.0,A0A0E3D8M9,8.9287496e-05,False,False,False,"[""P9WER1"", ""Q0C8A0"", ""L0MZK0"", ""Q5AR34"", ""A0A0U5GHG9"", ""A0A0F7TZD6"", ""A0A1E1FFL0"", ""A0A097ZPD9"", ""A0A1Y0BRF4"", ""A0A3G9H185""]","[0.12650964, 0.040232785, 0.037597444, 0.029820101, 0.02503042, 0.023817584, 0.022288742, 0.02060869, 0.02025426, 0.019220864]",0.002583979328165375
reaction_02,RHEA:17653,ok,1391,1379,45,45,129.0,A0A2Z6AQX6,0.0031703569,False,False,False,"[""P9WER1"", ""Q0C8A0"", ""L0MZK0"", ""Q5AR34"", ""A0A0U5GHG9"", ""A0A0F7TZD6"", ""A0A1Y0BRF4"", ""A0A3G9H185"", ""A0A1E1FFL0"", ""A0A1L9WUX8""]","[0.18418236, 0.09714142, 0.07575952, 0.059656672, 0.049288034, 0.04267045, 0.042278025, 0.0413457, 0.038776033, 0.03733669]",0.007751937984496124
reaction_03,RHEA:58164,ok,1391,1379,2,2,178.0,A0A1D6EFT8,0.0,False,False,False,"[""A0A060KY90"", ""A0A067DDU9"", ""A0A067ECN5"", ""A0A067FI21"", ""A0A067SEC9"", ""A0A067Z9B6"", ""A0A075F9Z3"", ""A0A075FA51"", ""A0A075FAK4"", ""A0A075FBG7""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0056179775280898875
reaction_04,RHEA:32551,ok,1391,1379,12,12,724.0,Q84KL4,2.6824934e-32,False,False,False,"[""A0A097ZPD9"", ""E0D7H6"", ""A0A1E1FFL0"", ""A0A0F7TZD6"", ""A0A2I1BSZ6"", ""A0A0U5GHG9"", ""Q5AR34"", ""D5SJ87"", ""A0A3G9GR23"", ""A0A2P2GK84""]","[2.8265814e-19, 8.4531396e-20, 5.858268e-20, 1.7925694e-20, 1.0277693e-20, 1.8193878e-21, 1.1181633000000001e-21, 7.845354000000002e-22, 6.3368295000000005e-22, 5.338242700000002e-22]",0.0013812154696132596
reaction_05,RHEA:12869,ok,1391,1379,16,16,481.0,F6M8I0,2.6046589999999997e-38,False,False,False,"[""A0A097ZPD9"", ""A0A1E1FFL0"", ""A0A0F7TZD6"", ""A0A2I1BSZ6"", ""A0A140JWS6"", ""A0A0U5GHG9"", ""Q5AR34"", ""E0D7H6"", ""A0A097ZPD5"", ""A0A2P2GK84""]","[8.7460663e-26, 1.199872e-26, 4.6969206000000005e-27, 4.28355e-27, 3.2077166e-27, 3.0287543e-28, 2.3175717000000003e-28, 1.9780485999999997e-28, 1.669399e-28, 1.6080012e-28]",0.002079002079002079
reaction_06,RHEA:32691,ok,1391,1379,22,22,223.0,A0A1V0QSH1,1.0,False,False,False,"[""A0A060KY90"", ""A0A067DDU9"", ""A0A067ECN5"", ""A0A067FI21"", ""A0A067SEC9"", ""A0A067Z9B6"", ""A0A075F9Z3"", ""A0A075FA51"", ""A0A075FAK4"", ""A0A075FBG7""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.004484304932735426
reaction_07,RHEA:54060,ok,1391,1379,1,1,689.0,E4MYY0,0.0,False,False,False,"[""A0A060KY90"", ""A0A067DDU9"", ""A0A067ECN5"", ""A0A067FI21"", ""A0A067SEC9"", ""A0A067Z9B6"", ""A0A075F9Z3"", ""A0A075FA51"", ""A0A075FAK4"", ""A0A075FBG7""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.001451378809869376
reaction_08,RHEA:60020,ok,1391,1379,2,2,1095.0,Q2NM15,0.0,False,False,False,"[""A0A097ZPD9"", ""A0A2I1BSZ6"", ""A0A1E1FFL0"", ""Q0C8A0"", ""A0A0F7TZD6"", ""A0A2P2GK84"", ""A0A0U5GHG9"", ""D5SJ87"", ""A0A140JWS6"", ""Q5AR34""]","[1.2487538e-28, 2.250837e-30, 1.2050161e-30, 6.0359470000000015e-31, 2.4608725e-31, 1.4251460000000002e-31, 1.143138e-31, 1.0549093e-31, 6.71806e-32, 5.122658600000001e-32]",0.0009132420091324201
reaction_09,RHEA:31811,ok,1391,1379,6,6,94.0,A0A0C3FBR2,0.0,False,False,False,"[""A0A140JWS6"", ""A0A097ZPD9"", ""Q0C8A0"", ""A0A1E1FFL1"", ""A0A2I1BSZ6"", ""A0A097ZPD5"", ""H1VN83"", ""A0A1E1FFL0"", ""E0D7H6"", ""A0A0F7TZD6""]","[9.316262000000001e-31, 8.919726e-33, 1.2685269e-33, 9.937884e-34, 2.2528425e-34, 2.0639206e-34, 1.108308e-34, 9.350279999999999e-35, 4.6946263e-35, 3.9969735e-35]",0.010638297872340425
reaction_10,RHEA:31023,ok,1391,1379,1,0,,,,False,False,False,"[""B8NHE1"", ""P9WER0"", ""A0A8H7XQ49"", ""A0A8H8CFI5"", ""A0A5S9I252"", ""A0A084R1K7"", ""Q2U0K2"", ""S0ECT9"", ""A0A8H7XP09"", ""A0A8H7XMX0""]","[0.07838548, 0.040121544, 0.014709687, 0.013455097, 0.010619665, 0.007829249, 0.006839336, 0.006696253, 0.006197767, 0.0061628176]",0.0
