query_id,direction,ranking_objective,model_directory,secondary_model_directory,auxiliary_score_directory,score_source,top1_candidate_id,top1_score,query_nearest_library_id,query_nearest_library_similarity,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,empirical_reliability_score,empirical_reliability_tier,empirical_reliability_status,reliability_recommendation,known_associations_masked,accepted_by_policy
7S5L_A,enzyme_to_reaction,top10,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r_hardneg128,,rrf_e2r_top10_primary0.35_secondary0.65_c60,RHEA:68824,0.0158730149269104,A0A4D6IA24,0.9857344627380371,0.6666666666666666,0.9428090453147888,0.06213495859750442,0.4334554334554334,0.7666666666666667,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,11,True
7S5L_A,enzyme_to_reaction,top20,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,,/home/s241850073/igem2026/results/terpene_production_models/marts_dual_kernel_e2r_top20,rrf_e2r_top20_primary0.7_dual_kernel0.3_c60,RHEA:27530,0.015293560922145844,A0A4D6IA24,0.9857344627380371,0.6666666666666666,0.471404492855072,0.0990259024510306,0.5004748338081672,0.7833333333333333,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,11,True
7S5L_A,enzyme_to_reaction,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,,,neighbor_hybrid_direct_0.75,RHEA:68712,0.9990026950836182,A0A4D6IA24,0.9857344627380371,1.0,0.0,0.043388078913046094,0.5,0.7777777777777778,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,11,True
A0A010YQZ8,enzyme_to_reaction,top10,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r_hardneg128,,rrf_e2r_top10_primary0.35_secondary0.65_c60,RHEA:78987,0.016129031777381897,F8JK18,0.990109384059906,1.0,0.0,0.0280188374318779,0.46520146520146516,0.7,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,24,True
A0A010YQZ8,enzyme_to_reaction,top20,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,,/home/s241850073/igem2026/results/terpene_production_models/marts_dual_kernel_e2r_top20,rrf_e2r_top20_primary0.7_dual_kernel0.3_c60,RHEA:78979,0.01623731479048729,F8JK18,0.990109384059906,0.3333333333333333,0.8164966106414795,0.011615026026431456,0.48148148148148145,0.7666666666666667,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,24,True
A0A010YQZ8,enzyme_to_reaction,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,,,neighbor_hybrid_direct_0.75,RHEA:78979,0.9996675252914429,F8JK18,0.990109384059906,0.6666666666666666,0.471404492855072,0.001392872800333589,0.5,0.7777777777777778,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,24,True
A0A023J8Z5,enzyme_to_reaction,top10,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r_hardneg128,,rrf_e2r_top10_primary0.35_secondary0.65_c60,RHEA:31807,0.016393441706895828,D0VMR7,0.9998335838317871,1.0,0.0,0.10055956856656091,0.8181818181818182,0.9,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,6,True
A0A023J8Z5,enzyme_to_reaction,top20,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,,/home/s241850073/igem2026/results/terpene_production_models/marts_dual_kernel_e2r_top20,rrf_e2r_top20_primary0.7_dual_kernel0.3_c60,RHEA:31807,0.01631411910057068,D0VMR7,0.9998335838317871,1.0,0.0,0.11254335554621363,0.6927536231884058,0.8666666666666667,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,6,True
A0A023J8Z5,enzyme_to_reaction,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,,,neighbor_hybrid_direct_0.75,RHEA:31807,1.0,D0VMR7,0.9998335838317871,1.0,0.0,0.010920085465677846,1.0,1.0,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,6,True
A0A059PYD5,enzyme_to_reaction,top10,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_e2r_hardneg128,,rrf_e2r_top10_primary0.35_secondary0.65_c60,RHEA:28294,0.016393441706895828,Q8SA63,0.9996583461761475,1.0,0.0,0.09815536597351358,0.8787878787878789,0.9,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,2,True
