representative,entry,cluster_id,min_sequence_identity,cluster_size
A0A060KY90,A0A060KY90,A0A060KY90,0.5,1
A0A067SEC9,A0A067SEC9,A0A067SEC9,0.5,4
A0A067SEC9,A0A0C3FBR2,A0A067SEC9,0.5,4
A0A067SEC9,A0A0C9VD04,A0A067SEC9,0.5,4
A0A067SEC9,A0A5Q0QSI8,A0A067SEC9,0.5,4
A0A067Z9B6,A0A067Z9B6,A0A067Z9B6,0.5,1
A0A075F9Z3,A0A075F9Z3,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A0M4M0T9,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A0M5L832,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A0U2D9C5,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A0U3LQ20,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A1C7AAN2,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A1S5RW73,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A1W6QDJ1,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A1X9ISN9,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A2K9RG07,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A3G1QTU5,A0A075F9Z3,0.5,17
A0A075F9Z3,A0A5P8DI15,A0A075F9Z3,0.5,17
A0A075F9Z3,E2IHE0,A0A075F9Z3,0.5,17
A0A075F9Z3,G3E4M4,A0A075F9Z3,0.5,17
A0A075F9Z3,G3E4M6,A0A075F9Z3,0.5,17
A0A075F9Z3,O04408,A0A075F9Z3,0.5,17
A0A075F9Z3,Q38802,A0A075F9Z3,0.5,17
A0A084R1H6,A0A084R1H6,A0A084R1H6,0.5,1
A0A084R1K7,A0A084R1K7,A0A084R1K7,0.5,1
A0A097ZPD4,A0A097ZPD4,A0A097ZPD4,0.5,1
A0A097ZPD5,A0A097ZPD5,A0A097ZPD5,0.5,1
A0A097ZPD8,A0A097ZPD8,A0A097ZPD8,0.5,1
A0A097ZPD9,A0A097ZPD9,A0A097ZPD9,0.5,1
A0A097ZPE2,A0A097ZPE2,A0A097ZPE2,0.5,1
A0A097ZPE4,A0A097ZPE4,A0A097ZPE4,0.5,1
A0A097ZPE6,A0A097ZPE6,A0A097ZPE6,0.5,1
A0A097ZPE8,A0A097ZPE8,A0A097ZPE8,0.5,1
A0A097ZPG2,A0A097ZPG2,A0A097ZPG2,0.5,6
A0A097ZPG2,A0A0F7TXA5,A0A097ZPG2,0.5,6
A0A097ZPG2,A0A0U5HAQ4,A0A097ZPG2,0.5,6
A0A097ZPG2,A0A1E1FFN4,A0A097ZPG2,0.5,6
A0A097ZPG2,A0A2I1BSU0,A0A097ZPG2,0.5,6
A0A097ZPG2,C8VE79,A0A097ZPG2,0.5,6
A0A098D1J7,A0A098D1J7,A0A098D1J7,0.5,1
A0A0A2JP58,A0A0A2JP58,A0A0A2JP58,0.5,1
