candidate_id,evidence_quality_tier,domain_family,query_appearance_count,total_appearance_count,best_final_rank,mean_model_score,maximum_registry_hub_fraction
A0A1V4AG47,C_homology_named,bacterial_classI,9,18,10,0.6366002460320791,0.0833333333333333
A0ABZ1ZY29,D_named_predicted,bacterial_classI,8,12,10,0.5397014518578848,0.175
A0ABV9B923,D_named_predicted,bacterial_classI,8,8,20,0.4984391927719116,0.1
A0A7W8B5Z9,D_named_predicted,bacterial_classI,7,8,10,0.5362195558845997,0.2083333333333333
A0A023X648,C_homology_named,bacterial_classI,6,12,10,0.615846703449885,0.0458333333333333
A0AAJ6N6A9,B_experimental_or_transcript_named,bacterial_classI,6,10,10,0.577320784330368,0.0375
A0ABR4FUT3,C_homology_named,bacterial_classI,6,12,10,0.7297151734431585,0.0458333333333333
A0AAN7AFX1,D_named_predicted,bacterial_classI,6,6,20,0.5841294725735983,0.0708333333333333
A0A109P4G8,B_experimental_or_transcript_named,plant_like_classI_II,5,10,10,0.6413806140422821,0.0333333333333333
A0A7X0D7T4,D_named_predicted,bacterial_classI,5,10,10,0.5852616190910339,0.125
A0A8I0PE83,D_named_predicted,bacterial_classI,5,9,10,0.6570759680536058,0.1708333333333333
A0A9W6I3C1,C_homology_named,bacterial_classI,5,9,10,0.5262822210788727,0.0541666666666666
A0A1Q2T277,B_experimental_or_transcript_named,triterpene_cyclase,4,7,10,0.41080007382801603,0.0416666666666666
A0A5B2VII5,C_homology_named,bacterial_classI,4,7,10,0.5138484409877232,0.0625
A0A6N8JBW0,C_homology_named,bacterial_classI,4,5,10,0.4908834040164948,0.0375
A0AAV8U7U7,D_named_predicted,plant_like_classI_II,4,6,10,0.3735767851273219,0.0291666666666666
A0A077HAK5,B_experimental_or_transcript_named,plant_like_classI_II,3,5,10,0.49797325730323794,0.0166666666666666
A0A0D3C1E0,C_homology_named,triterpene_cyclase,3,5,10,0.3351384162902832,0.0291666666666666
A0A1D5AJE0,B_experimental_or_transcript_named,plant_like_classI_II,3,6,10,0.6788194080193838,0.0375
A0A1M7BT67,C_homology_named,bacterial_classI,3,4,10,0.497634619474411,0.0375
A0A1M7KFT5,C_homology_named,bacterial_classI,3,5,10,0.5048087060451507,0.0541666666666666
A0A2R4TC73,C_homology_named,bacterial_classI,3,4,10,0.528536856174469,0.0625
A0A3D8RQ70,C_homology_named,bacterial_classI,3,4,10,0.5776742249727249,0.0208333333333333
