candidate_id,evidence_quality_tier,domain_family,pfam_architecture,protein_name,organism_name,query_appearance_count,total_appearance_count,best_rank,mean_rank,compatible_appearances,mismatch_or_unsupported_appearances,query_fraction
A0A7W8B5Z9,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces spectabilis,50,50,1,37.3,45,5,0.20833333333333334
I2MV26,D_named_predicted,bacterial_classI,bacterial_classI,Terpene cyclase,Streptomyces tsukubensis (strain DSM 42081 / NBRC 108919 / NRRL 18488 / 9993),49,49,3,32.38775510204081,45,4,0.20416666666666666
A0ABP9R4J4,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Pseudonocardia eucalypti,48,48,12,46.604166666666664,44,4,0.2
A0A1H0FAB8,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Actinokineospora alba,47,47,5,43.148936170212764,40,7,0.19583333333333333
A0A5P0YT65,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces alkaliterrae,43,43,3,52.93023255813954,38,5,0.17916666666666667
A0ABZ1ZY29,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces niveus (Streptomyces spheroides),42,42,1,49.54761904761905,38,4,0.175
A0ABU5FFV3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Pseudomonas salmasensis,42,42,2,45.523809523809526,38,4,0.175
A0A291W3H0,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces alboflavus,42,42,8,46.833333333333336,38,4,0.175
A0A8I0PE83,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces stelliscabiei,41,41,1,54.78048780487805,37,4,0.17083333333333334
A0A3N0E2R9,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Halostreptopolyspora alba,41,41,2,43.73170731707317,39,2,0.17083333333333334
W5TSI4,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase family metal binding domain-containing protein,Nocardia nova SH22a,41,41,2,31.097560975609756,38,3,0.17083333333333334
A0ABS5A6C4,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Crossiella equi,40,40,2,51.45,34,6,0.16666666666666666
A0A0K9XLE7,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces caatingaensis,39,39,5,54.794871794871796,35,4,0.1625
A0A7Y7E5R4,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces morookaense (Streptoverticillium morookaense),37,37,2,45.972972972972975,30,7,0.15416666666666667
A0A3S9PU57,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces luteoverticillatus (Streptoverticillium luteoverticillatus),37,37,7,45.5945945945946,37,0,0.15416666666666667
A0ABV5PBQ6,D_named_predicted,bacterial_classI,bacterial_classI,Methyltransferase domain-containing protein,Streptomyces cremeus,35,35,8,39.31428571428572,31,4,0.14583333333333334
A0A1G9W4X0,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Actinacidiphila guanduensis,34,34,3,51.11764705882353,27,7,0.14166666666666666
A0A117PWF5,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces cellostaticus,34,34,5,43.64705882352941,32,2,0.14166666666666666
A0ABX9EE44,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Lentzea atacamensis,33,33,1,44.81818181818182,33,0,0.1375
A0ABZ1YNM1,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Nocardia vinacea,33,33,1,23.09090909090909,33,0,0.1375
A0ABP6Z533,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces osmaniensis,33,33,2,38.60606060606061,33,0,0.1375
A0ABT1KEE7,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Nonomuraea roseoviolacea subsp. carminata,33,33,6,48.63636363636363,28,5,0.1375
A0ABP4IH51,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Kitasatospora putterlickiae,32,32,1,30.875,25,7,0.13333333333333333
A0ABN3NIE3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces longisporus,32,32,9,47.0,28,4,0.13333333333333333
A0A5J6GV97,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces kanamyceticus,31,31,2,45.32258064516129,30,1,0.12916666666666668
A0ABW6R5L2,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Nocardia suismassiliense,31,31,4,52.58064516129032,29,2,0.12916666666666668
A0A7Y9EJH6,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Actinomadura luteofluorescens,31,31,6,40.903225806451616,31,0,0.12916666666666668
A0A7X0D7T4,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Nocardiopsis mwathae,30,30,1,41.46666666666667,28,2,0.125
A0A1E3FI44,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Burkholderia contaminans,30,30,2,46.166666666666664,26,4,0.125
A0ABW7TGC6,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase family protein,Streptomyces abikoensis,30,30,2,19.9,30,0,0.125
A0A7W7CI03,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Crossiella cryophila,30,30,7,57.5,27,3,0.125
A0A5N0EBN3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Nocardia colli,30,30,9,47.266666666666666,30,0,0.125
K9WYE1,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Cylindrospermum stagnale PCC 7417,29,29,1,64.51724137931035,29,0,0.12083333333333333
A0A8T4IX80,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces daliensis,29,29,6,51.724137931034484,25,4,0.12083333333333333
A0A5N0EPP2,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Nocardia colli,29,29,7,47.310344827586206,27,2,0.12083333333333333
A0A1T3NT10,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Embleya scabrispora,28,28,1,46.964285714285715,25,3,0.11666666666666667
A0A1G8B7H3,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Sinosporangium album,28,28,3,49.17857142857143,27,1,0.11666666666666667
A0ABY3WJQ1,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces formicae,28,28,3,25.035714285714285,28,0,0.11666666666666667
A0A8T4IWM5,D_named_predicted,bacterial_classI,bacterial_classI,Glutamate dehydrogenase,Streptomyces daliensis,28,28,5,36.357142857142854,26,2,0.11666666666666667
A0A7W8F087,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces spectabilis,28,28,17,56.57142857142857,25,3,0.11666666666666667
A0A1H9LPG3,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Lentzea xinjiangensis,27,27,4,32.7037037037037,27,0,0.1125
A0A101TDN8,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Streptomyces caeruleatus,27,27,5,46.81481481481482,22,5,0.1125
A0A158RFK9,B_experimental_or_transcript_named,bacterial_classI,bacterial_classI,Labdane-related diterpene synthase (EC 4.2.3.-),Streptomyces sp,27,27,10,41.148148148148145,27,0,0.1125
A0ABU1LIK4,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Chryseobacterium geocarposphaerae,27,27,11,51.77777777777778,25,2,0.1125
A0A329QTJ9,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Phytoactinopolyspora halophila,26,26,1,36.76923076923077,25,1,0.10833333333333334
A0A4Q2D257,D_named_predicted,bacterial_classI,bacterial_classI,Terpene synthase,Candolleomyces aberdarensis,26,26,1,53.07692307692308,24,2,0.10833333333333334
A0A7W3NT70,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces murinus,26,26,2,44.76923076923077,24,2,0.10833333333333334
A0ABQ2Y8U1,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces hiroshimensis,26,26,5,48.03846153846154,25,1,0.10833333333333334
A0A0D7CU33,C_homology_named,bacterial_classI,bacterial_classI,Terpene synthase (EC 4.2.3.-),Streptomyces natalensis ATCC 27448,26,26,11,58.46153846153846,22,4,0.10833333333333334
