query_id,positive_count,candidate_count,mrr,map,ndcg_at_10,best_positive_rank,mean_positive_rank,hit_at_1,hit_at_5,hit_at_10,hit_at_20,hit_at_50
A0A068CNX1,2,10131,0.00018789928598271326,0.00026370010980514036,0.0,5322,5606.5,0.0,0.0,0.0,0.0,0.0
A0A069AMK2,1,10131,0.008695652173913044,0.008695652173913044,0.0,115,115.0,0.0,0.0,0.0,0.0,0.0
A0A075D5I4,1,10131,0.05555555555555555,0.05555555555555555,0.0,18,18.0,0.0,0.0,0.0,1.0,1.0
A0A075D657,1,10131,0.007194244604316547,0.007194244604316547,0.0,139,139.0,0.0,0.0,0.0,0.0,0.0
A0A0A7LRQ7,1,10131,0.0003046922608165753,0.0003046922608165753,0.0,3282,3282.0,0.0,0.0,0.0,0.0,0.0
A0A0F5HNH9,1,10131,0.000365764447695684,0.000365764447695684,0.0,2734,2734.0,0.0,0.0,0.0,0.0,0.0
A0A0F7G352,2,10131,0.00017458100558659218,0.0002523070044434611,0.0,5728,5894.0,0.0,0.0,0.0,0.0,0.0
A0A0H2ZIF3,1,10131,0.010309278350515464,0.010309278350515464,0.0,97,97.0,0.0,0.0,0.0,0.0,0.0
A0A0L8M630,40,10131,0.05555555555555555,0.040596941278866525,0.0,18,829.025,0.0,0.0,0.0,1.0,1.0
A0A124EH39,1,10131,0.004273504273504274,0.004273504273504274,0.0,234,234.0,0.0,0.0,0.0,0.0,0.0
A0A1G9UQQ0,1,10131,0.1111111111111111,0.1111111111111111,0.3010299956639812,9,9.0,0.0,0.0,1.0,1.0,1.0
A0A1G9VRW7,1,10131,0.012658227848101266,0.012658227848101266,0.0,79,79.0,0.0,0.0,0.0,0.0,0.0
A0A1V0QSF3,1,10131,0.005813953488372093,0.005813953488372093,0.0,172,172.0,0.0,0.0,0.0,0.0,0.0
A0A1V0QSF6,2,10131,0.013157894736842105,0.014097744360902255,0.0,76,104.5,0.0,0.0,0.0,0.0,0.0
A0A1V0QSG6,1,10131,0.014492753623188406,0.014492753623188406,0.0,69,69.0,0.0,0.0,0.0,0.0,0.0
A0A1V0QSH2,1,10131,0.006211180124223602,0.006211180124223602,0.0,161,161.0,0.0,0.0,0.0,0.0,0.0
A0A2P2GK84,1,10131,0.1111111111111111,0.1111111111111111,0.3010299956639812,9,9.0,0.0,0.0,1.0,1.0,1.0
A0A318FEA4,1,10131,0.0027247956403269754,0.0027247956403269754,0.0,367,367.0,0.0,0.0,0.0,0.0,0.0
A0A3A6N9T6,1,10131,0.1,0.1,0.2890648263178879,10,10.0,0.0,0.0,1.0,1.0,1.0
A0A3A6N9V6,1,10131,0.037037037037037035,0.037037037037037035,0.0,27,27.0,0.0,0.0,0.0,0.0,1.0
A0A3A6NE59,1,10131,0.09090909090909091,0.09090909090909091,0.0,11,11.0,0.0,0.0,0.0,1.0,1.0
A0A516F405,1,10131,0.011235955056179775,0.011235955056179775,0.0,89,89.0,0.0,0.0,0.0,0.0,0.0
A0A7E5WTY7,1,10131,0.0030303030303030303,0.0030303030303030303,0.0,330,330.0,0.0,0.0,0.0,0.0,0.0
A0A7R7ZLE4,1,10131,0.25,0.25,0.43067655807339306,4,4.0,0.0,1.0,1.0,1.0,1.0
A0A8H7XQ49,2,10131,0.5,0.2574074074074074,0.38685280723454163,2,68.5,0.0,1.0,1.0,1.0,1.0
A0A8H8CFI5,2,10131,0.5,0.25763358778625955,0.38685280723454163,2,66.5,0.0,1.0,1.0,1.0,1.0
A0A8X8M4T9,1,10131,0.006329113924050633,0.006329113924050633,0.0,158,158.0,0.0,0.0,0.0,0.0,0.0
A0A8X8M4W6,1,10131,0.00398406374501992,0.00398406374501992,0.0,251,251.0,0.0,0.0,0.0,0.0,0.0
A0A8X8M501,1,10131,0.007407407407407408,0.007407407407407408,0.0,135,135.0,0.0,0.0,0.0,0.0,0.0
A0A8X8M505,1,10131,0.012048192771084338,0.012048192771084338,0.0,83,83.0,0.0,0.0,0.0,0.0,0.0
A0R647,1,10131,0.001148105625717566,0.001148105625717566,0.0,871,871.0,0.0,0.0,0.0,0.0,0.0
A1E280,2,10131,0.125,0.1534090909090909,0.19342640361727081,8,9.5,0.0,0.0,1.0,1.0,1.0
A1XLE2,2,10131,0.5,0.31666666666666665,0.38685280723454163,2,8.5,0.0,1.0,1.0,1.0,1.0
A4D0H5,1,10131,0.07692307692307693,0.07692307692307693,0.0,13,13.0,0.0,0.0,0.0,1.0,1.0
A8CF74,1,10131,0.009259259259259259,0.009259259259259259,0.0,108,108.0,0.0,0.0,0.0,0.0,0.0
A9CEY6,1,10131,0.00398406374501992,0.00398406374501992,0.0,251,251.0,0.0,0.0,0.0,0.0,0.0
A9CEY7,1,10131,0.25,0.25,0.43067655807339306,4,4.0,0.0,1.0,1.0,1.0,1.0
B5LAT8,1,10131,0.00129366106080207,0.00129366106080207,0.0,773,773.0,0.0,0.0,0.0,0.0,0.0
B5Z7I4,1,10131,0.019230769230769232,0.019230769230769232,0.0,52,52.0,0.0,0.0,0.0,0.0,0.0
B8J0R0,1,10131,0.0026455026455026454,0.0026455026455026454,0.0,378,378.0,0.0,0.0,0.0,0.0,0.0
B8NHE0,1,10131,0.0056179775280898875,0.0056179775280898875,0.0,178,178.0,0.0,0.0,0.0,0.0,0.0
B8NHE1,1,10131,0.00040933278755628325,0.00040933278755628325,0.0,2443,2443.0,0.0,0.0,0.0,0.0,0.0
C7YS44,1,10131,0.0002840909090909091,0.0002840909090909091,0.0,3520,3520.0,0.0,0.0,0.0,0.0,0.0
C9YHW3,1,10131,0.0035971223021582736,0.0035971223021582736,0.0,278,278.0,0.0,0.0,0.0,0.0,0.0
D0LZ73,1,10131,0.004608294930875576,0.004608294930875576,0.0,217,217.0,0.0,0.0,0.0,0.0,0.0
D2TV87,2,10131,0.0012738853503184713,0.0019092073062024926,0.0,785,785.5,0.0,0.0,0.0,0.0,0.0
D3ZYW7,1,10131,0.0001633986928104575,0.0001633986928104575,0.0,6120,6120.0,0.0,0.0,0.0,0.0,0.0
D4N500,3,10131,0.0017985611510791368,0.0023694096946163864,0.0,556,884.0,0.0,0.0,0.0,0.0,0.0
D4N501,1,10131,0.00048590864917395527,0.00048590864917395527,0.0,2058,2058.0,0.0,0.0,0.0,0.0,0.0
D4N502,4,10131,0.01098901098901099,0.013350040566913642,0.0,91,238.0,0.0,0.0,0.0,0.0,0.0
D5E1T2,2,10131,0.00847457627118644,0.00933932895191975,0.0,118,157.0,0.0,0.0,0.0,0.0,0.0
D5SK09,2,10131,0.011764705882352941,0.010084033613445377,0.0,85,161.5,0.0,0.0,0.0,0.0,0.0
