Entry,sequence,source
7S5L_A,,marts_registered
A0A010YQZ8,,marts_registered
A0A023J8Z5,,marts_registered
A0A059PYD5,,marts_registered
A0A067N7X3,,marts_registered
A0A067NBB1,,marts_registered
A0A067NY86,,marts_registered
A0A068EUF6,,marts_registered
A0A075W0Z3,,marts_registered
A0A075W3D9,,marts_registered
A0A076GAR6,,marts_registered
A0A076GAU5,,marts_registered
A0A076GAU9,,marts_registered
A0A076GBT5,,marts_registered
A0A076KZH5,,marts_registered
A0A076KZS5,,marts_registered
A0A076L4M0,,marts_registered
A0A076L4Z9,,marts_registered
A0A076L503,,marts_registered
A0A076L784,,marts_registered
A0A094YZ24,,marts_registered
A0A097SRT3,,marts_registered
A0A097ZIE0,,marts_registered
A0A097ZQA4,,marts_registered
A0A097ZQD0,,marts_registered
A0A097ZQD1,,marts_registered
A0A0A0QUT9,,marts_registered
A0A0A0RCB5,,marts_registered
A0A0A0RDR2,,marts_registered
A0A0A0RDZ8,,marts_registered
A0A0A7DNH6,,marts_registered
A0A0A7GEY4,,marts_registered
A0A0B5KP67,,marts_registered
A0A0E0LRP1,,marts_registered
A0A0E3KJK7,,marts_registered
A0A0F4GLU2,,marts_registered
A0A0F6P1F4,,marts_registered
A0A0G7ZNT4,,marts_registered
A0A0H4U9R8,,marts_registered
A0A0M4MMY1,,marts_registered
A0A0M8XX89,,marts_registered
A0A0N9I8A9,,marts_registered
A0A0U1XNG2,,marts_registered
A0A0U1XRI2,,marts_registered
A0A0U3BRC5,,marts_registered
A0A0U4IMN4,,marts_registered
A0A0U4KG90,,marts_registered
A0A0U5GLI1,,marts_registered
A0A100IAT3,,marts_registered
A0A101T124,,marts_registered
A0A117RG81,,marts_registered
A0A125S8N1,,marts_registered
A0A125S8N2,,marts_registered
A0A135LYJ9,,marts_registered
A0A139WXP3,,marts_registered
A0A140AZ63,,marts_registered
A0A140AZ66,,marts_registered
A0A140AZ69,,marts_registered
A0A140AZ72,,marts_registered
A0A142BX71,,marts_registered
A0A142BX72,,marts_registered
A0A142F308,,marts_registered
A0A142F309,,marts_registered
A0A142F310,,marts_registered
A0A142ZC57,,marts_registered
A0A144YEA5,,marts_registered
A0A162QA28,,marts_registered
A0A167CIH5,,marts_registered
A0A177DNJ5,,marts_registered
A0A1B4XBK0,,marts_registered
A0A1D6IY18,,marts_registered
A0A1D8PH78,,marts_registered
A0A1F5LDE4,,marts_registered
A0A1G9S4L4,,marts_registered
A0A1H0BVV7,,marts_registered
A0A1H1T2Q7,,marts_registered
A0A1H7UDD2,,marts_registered
A0A1I1IX82,,marts_registered
A0A1I9LTE4,,marts_registered
A0A1J0CQ86,,marts_registered
A0A1J0CQ90,,marts_registered
A0A1J0CQ92,,marts_registered
A0A1J0CQ97,,marts_registered
A0A1J0CQA2,,marts_registered
A0A1J0CQA6,,marts_registered
A0A1L1WGB8,,marts_registered
A0A1L1WGC4,,marts_registered
A0A1L1WGD9,,marts_registered
A0A1L1WGF5,,marts_registered
A0A1L1WP15,,marts_registered
A0A1L7NYF8,,marts_registered
A0A1L7NYG2,,marts_registered
A0A1L7NYG3,,marts_registered
A0A1M3U1M9,,marts_registered
A0A1M6RNB3,,marts_registered
A0A1N6E2E2,,marts_registered
A0A1N7KE47,,marts_registered
A0A1N7T9S7,,marts_registered
A0A1P8AVI0,,marts_registered
A0A1Q5GJH1,,marts_registered
A0A1S3ZET1,,marts_registered
A0A1S4B920,,marts_registered
A0A1S4C9W7,,marts_registered
A0A1S4CZT8,,marts_registered
A0A1U7YTG3,,marts_registered
A0A1U7Z4L4,,marts_registered
A0A1U8BK57,,marts_registered
