protein_id,reaction_id
O17433,RHEA:10008
O34564,RHEA:10008
P0C0L3,RHEA:10008
P23161,RHEA:10008
P49537,RHEA:10008
P52570,RHEA:10008
Q01116,RHEA:10008
P08159,RHEA:10012
Q3ZFI4,RHEA:10016
O59711,RHEA:10020
P38999,RHEA:10020
Q54NG9,RHEA:10020
Q9P4R4,RHEA:10020
A8XI75,RHEA:10024
O43463,RHEA:10024
O74467,RHEA:10024
P93831,RHEA:10024
Q5PP37,RHEA:10024
Q6SKR2,RHEA:10024
Q7XJS0,RHEA:10024
Q945S8,RHEA:10024
Q949T8,RHEA:10024
Q95Y12,RHEA:10024
Q9FG08,RHEA:10024
Q9M1X9,RHEA:10024
Q9SRV2,RHEA:10024
Q9Y5N5,RHEA:10024
Q9ZUM9,RHEA:10024
P56216,RHEA:10036
C4M4T9,RHEA:10040
C4M633,RHEA:10040
D4AD37,RHEA:10040
F1RT67,RHEA:10040
F6Y5S8,RHEA:10040
O34600,RHEA:10040
O49623,RHEA:10040
O94505,RHEA:10040
O95861,RHEA:10040
P0CY20,RHEA:10040
P0CY21,RHEA:10040
P22255,RHEA:10040
P22746,RHEA:10040
P26264,RHEA:10040
P32179,RHEA:10040
P44332,RHEA:10040
P46726,RHEA:10040
P57624,RHEA:10040
P59735,RHEA:10040
P70714,RHEA:10040
P71615,RHEA:10040
P75144,RHEA:10040
P9WKJ0,RHEA:10040
Q2KJ53,RHEA:10040
Q2QWT4,RHEA:10040
Q38945,RHEA:10040
Q3ZCK3,RHEA:10040
Q42546,RHEA:10040
Q55F34,RHEA:10040
Q59XQ1,RHEA:10040
Q5BCG1,RHEA:10040
Q5SM25,RHEA:10040
Q80V26,RHEA:10040
Q84VY5,RHEA:10040
Q869K3,RHEA:10040
Q8DTN6,RHEA:10040
Q8FAG5,RHEA:10040
Q8GY63,RHEA:10040
Q8XCG6,RHEA:10040
Q8Z153,RHEA:10040
Q9M0Y6,RHEA:10040
Q9NX62,RHEA:10040
Q9Z0S1,RHEA:10040
Q9Z1N4,RHEA:10040
Q6TMA3,RHEA:10044
Q937L4,RHEA:10044
Q9F7E0,RHEA:10044
O13326,RHEA:10048
P06106,RHEA:10048
P50125,RHEA:10048
Q12198,RHEA:10048
Q79VI4,RHEA:10048
Q92441,RHEA:10048
E3PRK1,RHEA:10056
Q8RHX1,RHEA:10056
B2DEU7,RHEA:10064
B2DEU8,RHEA:10064
B2DEV1,RHEA:10064
Q7U4Z9,RHEA:10072
Q83WC3,RHEA:10072
Q9KJ20,RHEA:10072
Q9KJ21,RHEA:10072
A2R1P9,RHEA:10084
P00436,RHEA:10084
P00437,RHEA:10084
P15109,RHEA:10084
P15110,RHEA:10084
P20371,RHEA:10084
P20372,RHEA:10084
Q5AT14,RHEA:10084
A0A0A7XNA3,RHEA:10096
A7MRY3,RHEA:10096
B0FLN1,RHEA:10096
B7VQM9,RHEA:10096
O30920,RHEA:10096
O54451,RHEA:10096
O87970,RHEA:10096
P12747,RHEA:10096
P33880,RHEA:10096
P33881,RHEA:10096
P33882,RHEA:10096
P33883,RHEA:10096
P33904,RHEA:10096
P33907,RHEA:10096
P35328,RHEA:10096
P52988,RHEA:10096
P52989,RHEA:10096
P52990,RHEA:10096
P54291,RHEA:10096
P54298,RHEA:10096
P54656,RHEA:10096
P55394,RHEA:10096
P58584,RHEA:10096
P70774,RHEA:10096
P74945,RHEA:10096
Q44058,RHEA:10096
Q46968,RHEA:10096
Q47187,RHEA:10096
Q51522,RHEA:10096
Q51785,RHEA:10096
Q87NA8,RHEA:10096
Q9FDA3,RHEA:10096
J3SDX8,RHEA:10100
P07882,RHEA:10100
P19835,RHEA:10100
P30122,RHEA:10100
P34163,RHEA:10100
P38571,RHEA:10100
Q07804,RHEA:10100
Q07950,RHEA:10100
Q4R4S5,RHEA:10100
Q64194,RHEA:10100
Q64285,RHEA:10100
Q9Z0M5,RHEA:10100
O24648,RHEA:10104
Q39103,RHEA:10104
Q3I409,RHEA:10104
Q3I410,RHEA:10104
Q3I411,RHEA:10104
Q6AT12,RHEA:10104
Q9C971,RHEA:10104
Q9FU53,RHEA:10104
Q9SVS8,RHEA:10104
Q9ZT84,RHEA:10104
A4UHT7,RHEA:10108
