partition,direction,objective,query_id,cycle_gate,cycle_weight,effective_cycle_weight,query_applicability_score,baseline_best_positive_rank,reranked_best_positive_rank,baseline_reciprocal_rank,reranked_reciprocal_rank,baseline_hit_at_3,baseline_hit_at_10,baseline_hit_at_20,reranked_hit_at_3,reranked_hit_at_10,reranked_hit_at_20
confirmation,enzyme_to_reaction,top10,B1PLH3,all,0.0,0.0,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,all,0.05,0.05,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,all,0.1,0.1,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,all,0.15,0.15,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,all,0.2,0.2,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.60,0.0,0.0,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.60,0.05,0.05,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.60,0.1,0.1,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.60,0.15,0.15,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.60,0.2,0.2,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.80,0.0,0.0,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.80,0.05,0.05,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.80,0.1,0.1,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.80,0.15,0.15,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,B1PLH3,applicability_ge_0.80,0.2,0.2,0.8570426924374226,1,1,1.0,1.0,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,all,0.0,0.0,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,all,0.05,0.05,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
confirmation,enzyme_to_reaction,top10,Q6IWA3,all,0.1,0.1,0.8926539220012716,2,2,0.5,0.5,1,1,1,1,1,1
