query_id,positive_count,candidate_count,mrr,map,macro_roc_auc,ndcg_at_10,best_positive_rank,mean_positive_rank,hit_at_1,hit_at_5,hit_at_10,hit_at_20,hit_at_50
A0A068CNX1,2,10131,0.003861003861003861,0.002318399525536841,0.860104650014809,0.0,259,1418.5,0.0,0.0,0.0,0.0,0.0
A0A069AMK2,1,10131,0.0007961783439490446,0.0007961783439490446,0.8761599210266535,0.0,1256,1256.0,0.0,0.0,0.0,0.0,0.0
A0A075D5I4,1,10131,0.0019083969465648854,0.0019083969465648854,0.9483711747285292,0.0,524,524.0,0.0,0.0,0.0,0.0,0.0
A0A075D657,1,10131,0.002197802197802198,0.002197802197802198,0.955182625863771,0.0,455,455.0,0.0,0.0,0.0,0.0,0.0
A0A0A7LRQ7,1,10131,0.047619047619047616,0.047619047619047616,0.998025666337611,0.0,21,21.0,0.0,0.0,0.0,0.0,1.0
A0A0F5HNH9,1,10131,0.0035087719298245615,0.0035087719298245615,0.971964461994077,0.0,285,285.0,0.0,0.0,0.0,0.0,0.0
A0A0F7G352,2,10131,0.0053475935828877,0.0032828101897386126,0.9098627702635995,0.0,187,914.5,0.0,0.0,0.0,0.0,0.0
A0A0H2ZIF3,1,10131,0.5,0.5,0.9999012833168806,0.6309297535714575,2,2.0,0.0,1.0,1.0,1.0,1.0
A0A0L8M630,40,10131,0.041666666666666664,0.12294528021787854,0.9585063422852046,0.0,24,439.225,0.0,0.0,0.0,0.0,1.0
A0A124EH39,1,10131,0.00042826552462526765,0.00042826552462526765,0.7695952615992102,0.0,2335,2335.0,0.0,0.0,0.0,0.0,0.0
A0A1G9UQQ0,1,10131,0.043478260869565216,0.043478260869565216,0.9978282329713721,0.0,23,23.0,0.0,0.0,0.0,0.0,1.0
A0A1G9VRW7,1,10131,0.015873015873015872,0.015873015873015872,0.9938795656465943,0.0,63,63.0,0.0,0.0,0.0,0.0,0.0
A0A1V0QSF3,1,10131,0.004484304932735426,0.004484304932735426,0.9780848963474827,0.0,223,223.0,0.0,0.0,0.0,0.0,0.0
A0A1V0QSF6,2,10131,0.025,0.016565040650406506,0.9860302102872939,0.0,40,143.0,0.0,0.0,0.0,0.0,1.0
A0A1V0QSG6,1,10131,0.005813953488372093,0.005813953488372093,0.9831194471865745,0.0,172,172.0,0.0,0.0,0.0,0.0,0.0
A0A1V0QSH2,1,10131,0.2,0.2,0.9996051332675222,0.38685280723454163,5,5.0,0.0,1.0,1.0,1.0,1.0
A0A2P2GK84,1,10131,0.07692307692307693,0.07692307692307693,0.9988153998025666,0.0,13,13.0,0.0,0.0,0.0,1.0,1.0
A0A318FEA4,1,10131,0.0005279831045406547,0.0005279831045406547,0.8131293188548865,0.0,1894,1894.0,0.0,0.0,0.0,0.0,0.0
A0A3A6N9T6,1,10131,0.5,0.5,0.9999012833168806,0.6309297535714575,2,2.0,0.0,1.0,1.0,1.0,1.0
A0A3A6N9V6,1,10131,0.01,0.01,0.9902270483711747,0.0,100,100.0,0.0,0.0,0.0,0.0,0.0
A0A3A6NE59,1,10131,0.00425531914893617,0.00425531914893617,0.9769002961500494,0.0,235,235.0,0.0,0.0,0.0,0.0,0.0
A0A516F405,1,10131,0.003937007874015748,0.003937007874015748,0.9750246791707798,0.0,254,254.0,0.0,0.0,0.0,0.0,0.0
A0A7E5WTY7,1,10131,0.0015151515151515152,0.0015151515151515152,0.9349457058242843,0.0,660,660.0,0.0,0.0,0.0,0.0,0.0
A0A7R7ZLE4,1,10131,0.0017482517482517483,0.0017482517482517483,0.9436327739387956,0.0,572,572.0,0.0,0.0,0.0,0.0,0.0
A0A8H7XQ49,2,10131,0.024390243902439025,0.015643397813288478,0.98380886563333,0.0,41,165.5,0.0,0.0,0.0,0.0,1.0
A0A8H8CFI5,2,10131,0.02631578947368421,0.016807529773338454,0.9847467667094482,0.0,38,156.0,0.0,0.0,0.0,0.0,1.0
A0A8X8M4T9,1,10131,0.0021551724137931034,0.0021551724137931034,0.954294175715696,0.0,464,464.0,0.0,0.0,0.0,0.0,0.0
A0A8X8M4W6,1,10131,0.002386634844868735,0.002386634844868735,0.958736426456071,0.0,419,419.0,0.0,0.0,0.0,0.0,0.0
A0A8X8M501,1,10131,0.0017857142857142857,0.0017857142857142857,0.944817374136229,0.0,560,560.0,0.0,0.0,0.0,0.0,0.0
A0A8X8M505,1,10131,0.022222222222222223,0.022222222222222223,0.9956564659427444,0.0,45,45.0,0.0,0.0,0.0,0.0,1.0
A0R647,1,10131,0.004366812227074236,0.004366812227074236,0.977492596248766,0.0,229,229.0,0.0,0.0,0.0,0.0,0.0
A1E280,2,10131,0.00045641259698767686,0.0006844106780558822,0.783789120347517,0.0,2191,2191.5,0.0,0.0,0.0,0.0,0.0
A1XLE2,2,10131,0.00039261876717707107,0.0003289353782834957,0.5022213446539638,0.0,2547,5043.5,0.0,0.0,0.0,0.0,0.0
A4D0H5,1,10131,0.00035423308537017357,0.00035423308537017357,0.7214215202369201,0.0,2823,2823.0,0.0,0.0,0.0,0.0,0.0
A8CF74,1,10131,0.00040016006402561027,0.00040016006402561027,0.753405725567621,0.0,2499,2499.0,0.0,0.0,0.0,0.0,0.0
A9CEY6,1,10131,0.005681818181818182,0.005681818181818182,0.9827245804540967,0.0,176,176.0,0.0,0.0,0.0,0.0,0.0
A9CEY7,1,10131,0.003968253968253968,0.003968253968253968,0.9752221125370187,0.0,252,252.0,0.0,0.0,0.0,0.0,0.0
B5LAT8,1,10131,0.1111111111111111,0.1111111111111111,0.9992102665350444,0.3010299956639812,9,9.0,0.0,0.0,1.0,1.0,1.0
B5Z7I4,1,10131,0.0002710761724044456,0.0002710761724044456,0.6359328726554788,0.0,3689,3689.0,0.0,0.0,0.0,0.0,0.0
B8J0R0,1,10131,0.0006215040397762585,0.0006215040397762585,0.8412635735439289,0.0,1609,1609.0,0.0,0.0,0.0,0.0,0.0
B8NHE0,1,10131,0.003745318352059925,0.003745318352059925,0.973741362290227,0.0,267,267.0,0.0,0.0,0.0,0.0,0.0
B8NHE1,1,10131,0.0015337423312883436,0.0015337423312883436,0.9357354392892399,0.0,652,652.0,0.0,0.0,0.0,0.0,0.0
C7YS44,1,10131,0.030303030303030304,0.030303030303030304,0.9968410661401776,0.0,33,33.0,0.0,0.0,0.0,0.0,1.0
C9YHW3,1,10131,0.0008673026886383347,0.0008673026886383347,0.8862783810463969,0.0,1153,1153.0,0.0,0.0,0.0,0.0,0.0
D0LZ73,1,10131,0.009708737864077669,0.009708737864077669,0.9899308983218164,0.0,103,103.0,0.0,0.0,0.0,0.0,0.0
D2TV87,2,10131,0.0125,0.018595679012345677,0.9922006121038602,0.0,80,80.5,0.0,0.0,0.0,0.0,0.0
D3ZYW7,1,10131,0.000526592943654555,0.000526592943654555,0.8126357354392892,0.0,1899,1899.0,0.0,0.0,0.0,0.0,0.0
D4N500,3,10131,0.14285714285714285,0.2216931216931217,0.9993417588204319,0.43334518829986224,7,8.666666666666666,0.0,0.0,1.0,1.0,1.0
D4N501,1,10131,0.0013717421124828531,0.0013717421124828531,0.9281342546890424,0.0,729,729.0,0.0,0.0,0.0,0.0,0.0
D4N502,4,10131,0.16666666666666666,0.13068181818181818,0.9978522760936112,0.13905617951077562,6,24.25,0.0,0.0,1.0,1.0,1.0
D5E1T2,2,10131,0.07692307692307693,0.0463980463980464,0.9932866028235758,0.0,13,69.5,0.0,0.0,0.0,1.0,1.0
D5SK09,2,10131,0.012658227848101266,0.010235363924050632,0.9836114127751999,0.0,79,167.5,0.0,0.0,0.0,0.0,0.0
E0SKP1,1,10131,0.1,0.1,0.999111549851925,0.2890648263178879,10,10.0,0.0,0.0,1.0,1.0,1.0
E5Y377,1,10131,0.0006234413965087282,0.0006234413965087282,0.8417571569595261,0.0,1604,1604.0,0.0,0.0,0.0,0.0,0.0
E5Y7I3,1,10131,0.0007057163020465773,0.0007057163020465773,0.8602171767028628,0.0,1417,1417.0,0.0,0.0,0.0,0.0,0.0
E6LDH5,1,10131,0.08333333333333333,0.08333333333333333,0.9989141164856861,0.0,12,12.0,0.0,0.0,0.0,1.0,1.0
E9P162,2,10131,0.00039952057530962844,0.0005991213100190315,0.7529864744792181,0.0,2503,2503.5,0.0,0.0,0.0,0.0,0.0
F8G0P2,1,10131,0.001095290251916758,0.001095290251916758,0.9099703849950642,0.0,913,913.0,0.0,0.0,0.0,0.0,0.0
F8JK18,1,10131,0.009345794392523364,0.009345794392523364,0.9895360315893386,0.0,107,107.0,0.0,0.0,0.0,0.0,0.0
F8JSS1,1,10131,0.058823529411764705,0.058823529411764705,0.9984205330700888,0.0,17,17.0,0.0,0.0,0.0,1.0,1.0
G1FNI6,4,10131,0.0002717391304347826,0.00036921190205601586,0.36632270168855535,0.0,3680,6419.75,0.0,0.0,0.0,0.0,0.0
G9MAP1,7,10131,1.0,0.5316540602254888,0.9995484562849241,0.5522955376820518,1,8.428571428571429,1.0,1.0,1.0,1.0,1.0
I1S104,1,10131,0.047619047619047616,0.047619047619047616,0.998025666337611,0.0,21,21.0,0.0,0.0,0.0,0.0,1.0
I4DJ24,1,10131,0.0013315579227696406,0.0013315579227696406,0.9259624876604146,0.0,751,751.0,0.0,0.0,0.0,0.0,0.0
I6WZK7,1,10131,0.0010460251046025104,0.0010460251046025104,0.9057255676209279,0.0,956,956.0,0.0,0.0,0.0,0.0,0.0
I7HD01,1,10131,0.0005586592178770949,0.0005586592178770949,0.823395853899309,0.0,1790,1790.0,0.0,0.0,0.0,0.0,0.0
J0MXJ0,1,10131,0.002331002331002331,0.002331002331002331,0.9577492596248766,0.0,429,429.0,0.0,0.0,0.0,0.0,0.0
J0MXK0,2,10131,0.029411764705882353,0.029857397504456328,0.9952117681903445,0.0,34,50.0,0.0,0.0,0.0,0.0,1.0
J1H0Z7,2,10131,0.0625,0.05165816326530612,0.9969394806989831,0.0,16,32.5,0.0,0.0,0.0,1.0,1.0
O33125,1,10131,0.00025081514923501377,0.00025081514923501377,0.6064659427443237,0.0,3987,3987.0,0.0,0.0,0.0,0.0,0.0
O35943,1,10131,0.0007686395080707148,0.0007686395080707148,0.8716683119447186,0.0,1301,1301.0,0.0,0.0,0.0,0.0,0.0
O36015,1,10131,0.01694915254237288,0.01694915254237288,0.9942744323790721,0.0,59,59.0,0.0,0.0,0.0,0.0,0.0
