row,Entry
0,A0A060KY90
1,A0A067DDU9
2,A0A067ECN5
3,A0A067FI21
4,A0A067SEC9
5,A0A067Z9B6
6,A0A075F9Z3
7,A0A075FA51
8,A0A075FAK4
9,A0A075FBG7
10,A0A075FBT3
11,A0A084R1H6
12,A0A084R1K7
13,A0A097ZPC9
14,A0A097ZPD4
15,A0A097ZPD5
16,A0A097ZPD8
17,A0A097ZPD9
18,A0A097ZPE0
19,A0A097ZPE2
20,A0A097ZPE3
21,A0A097ZPE4
22,A0A097ZPE6
23,A0A097ZPE8
24,A0A097ZPF7
25,A0A097ZPG2
26,A0A098D1J7
27,A0A098DME4
28,A0A0A2JB87
29,A0A0A2JP58
30,A0A0B2XGM8
31,A0A0B4EB91
32,A0A0B4FWC3
33,A0A0B4G3Q7
34,A0A0B4G504
35,A0A0B4GN88
36,A0A0B4IF96
37,A0A0C3FBR2
38,A0A0C9VD04
39,A0A0D2L718
40,A0A0D4D912
41,A0A0E0SP71
42,A0A0E3D8K9
43,A0A0E3D8L0
44,A0A0E3D8L2
45,A0A0E3D8L3
46,A0A0E3D8L5
47,A0A0E3D8L6
48,A0A0E3D8L9
49,A0A0E3D8M1
50,A0A0E3D8M2
51,A0A0E3D8M3
52,A0A0E3D8M4
53,A0A0E3D8M5
54,A0A0E3D8M6
55,A0A0E3D8M9
56,A0A0E3D8N0
57,A0A0E3D8N1
58,A0A0E3D8N3
59,A0A0E3D8N4
60,A0A0E3D8N6
61,A0A0E3D8N7
62,A0A0E3D8P0
63,A0A0E3D8P4
64,A0A0E3D8P5
65,A0A0E3D8P8
66,A0A0E3D8P9
67,A0A0E3D8Q1
68,A0A0E3D8Q2
69,A0A0F7TN06
70,A0A0F7TN11
71,A0A0F7TN16
72,A0A0F7TN60
73,A0A0F7TN65
74,A0A0F7TN69
75,A0A0F7TQP2
76,A0A0F7TRU0
77,A0A0F7TSZ1
78,A0A0F7TSZ5
79,A0A0F7TWX5
80,A0A0F7TXA0
81,A0A0F7TXA1
82,A0A0F7TXA5
83,A0A0F7TXA8
84,A0A0F7TZD6
85,A0A0F7TZE0
86,A0A0F7U103
87,A0A0F7U1Z1
88,A0A0F7U1Z8
89,A0A0H5BB10
90,A0A0H5BB17
91,A0A0H5BN57
92,A0A0H5BN61
93,A0A0M3Q1Q3
94,A0A0M4KRN2
95,A0A0M4M0T9
96,A0A0M5L832
97,A0A0M8MV11
98,A0A0M8MW83
99,A0A0M8MZA1
100,A0A0M9VUG7
101,A0A0M9VUP1
102,A0A0N0DCA4
103,A0A0N0RTK4
104,A0A0P0ZD79
105,A0A0P0ZEA9
106,A0A0P0ZEM1
107,A0A0S2IHL6
108,A0A0U2D9C5
109,A0A0U2U4F3
110,A0A0U3LQ20
111,A0A0U4CDK4
112,A0A0U4ZPJ7
113,A0A0U4ZPL6
114,A0A0U4ZX08
115,A0A0U5CJM3
116,A0A0U5CJT8
117,A0A0U5CJU2
118,A0A0U5CJU6
119,A0A0U5CJV1
120,A0A0U5CNN8
121,A0A0U5CNP2
122,A0A0U5G0B1
123,A0A0U5GFQ6
124,A0A0U5GFR4
125,A0A0U5GFS8
126,A0A0U5GGX2
127,A0A0U5GHC1
128,A0A0U5GHD4
129,A0A0U5GHG9
130,A0A0U5GHH9
