row,protein_id,cif,norm
0,A0A010QGH7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010QGH7-F1-model_v6.cif,0.99999994
1,A0A010QYQ5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010QYQ5-F1-model_v6.cif,0.99999994
2,A0A010R7T7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010R7T7-F1-model_v6.cif,0.99999994
3,A0A010R823,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010R823-F1-model_v6.cif,1.0
4,A0A010R900,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010R900-F1-model_v6.cif,1.0
5,A0A010RKR7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010RKR7-F1-model_v6.cif,0.99999994
6,A0A010S4G2,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010S4G2-F1-model_v6.cif,0.99999994
7,A0A010S4I9,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010S4I9-F1-model_v6.cif,0.99999994
8,A0A010SJD8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010SJD8-F1-model_v6.cif,0.99999994
9,A0A010YQZ8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010YQZ8-F1-model_v6.cif,1.0
10,A0A010ZV77,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A010ZV77-F1-model_v6.cif,1.0
11,A0A017SNL7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A017SNL7-F1-model_v6.cif,1.0
12,A0A017SVI7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A017SVI7-F1-model_v6.cif,1.0
13,A0A017SW31,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A017SW31-F1-model_v6.cif,1.0
14,A0A017SZ17,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A017SZ17-F1-model_v6.cif,1.0
15,A0A017T047,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A017T047-F1-model_v6.cif,1.0
16,A0A017TIH1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A017TIH1-F1-model_v6.cif,1.0
17,A0A017TJA0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A017TJA0-F1-model_v6.cif,1.0
18,A0A022PUE5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A022PUE5-F1-model_v6.cif,0.99999994
19,A0A022Q311,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A022Q311-F1-model_v6.cif,1.0
20,A0A022QCL9,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A022QCL9-F1-model_v6.cif,1.0
21,A0A022QGZ1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A022QGZ1-F1-model_v6.cif,1.0
22,A0A022QV88,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A022QV88-F1-model_v6.cif,1.0
23,A0A022R1W7,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A022R1W7-F1-model_v6.cif,1.0
24,A0A022XLF0,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A022XLF0-F1-model_v6.cif,1.0
25,A0A022Y7S1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A022Y7S1-F1-model_v6.cif,1.0000001
26,A0A023DK02,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A023DK02-F1-model_v6.cif,1.0
27,A0A023UAW9,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A023UAW9-F1-model_v6.cif,1.0
28,A0A023VSF1,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A023VSF1-F1-model_v6.cif,1.0
29,A0A023VYM5,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A023VYM5-F1-model_v6.cif,0.99999994
30,A0A023WZP4,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A023WZP4-F1-model_v6.cif,1.0
31,A0A023X648,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A023X648-F1-model_v6.cif,0.99999994
32,A0A024P564,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A024P564-F1-model_v6.cif,1.0
33,A0A058ZSL9,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A058ZSL9-F1-model_v6.cif,1.0
34,A0A059JCX8,/home/s241850073/igem2026/results/clipzyme_native_extension_v1/structures/af_v6/AF-A0A059JCX8-F1-model_v6.cif,0.99999994
