reaction_id,rhea_id,n_candidates,n_scored_candidates,n_positive_enzymes,n_positive_candidates_in_gate,n_scored_positive_candidates,positive_pair_coverage,gate_hit,best_positive_rank,best_positive_enzyme_id,best_positive_score,top1_hit,top3_hit,top5_hit,top10_hit,top10_enzyme_ids,top10_scores,reciprocal_rank
reaction_01,RHEA:22408,69,69,24,24,24,1.0,True,23.0,A0A0E3D8M9,8.9287496e-05,False,False,False,False,"[""A0A8H8CFI5"", ""A0A8H7XQ49"", ""A0A8H7XP09"", ""Q0CRW6"", ""P9WEV2"", ""A0A2Z6AQX6"", ""A0A0P0ZD79"", ""A0A0P0ZEM1"", ""M2V8C1"", ""P9WER5""]","[0.0042353864, 0.0033010554, 0.0017155095, 0.0010210848, 0.0010035216, 0.00093388127, 0.0008678354, 0.00080097304, 0.0006446495, 0.00052602135]",0.043478260869565216
reaction_02,RHEA:17653,63,63,45,33,33,0.7333333333333333,True,3.0,A0A2Z6AQX6,0.0031703569,False,True,True,True,"[""Q0CRW6"", ""P9WEV2"", ""A0A2Z6AQX6"", ""A0A0P0ZEM1"", ""A0A0P0ZD79"", ""P9WER5"", ""M2V8C1"", ""M2U578"", ""N4V6D4"", ""A1C8C3""]","[0.0033973337, 0.0033826593, 0.0031703569, 0.0025355923, 0.0024444398, 0.0016691858, 0.0016094056, 0.0015803358, 0.0013959297, 0.0013437504]",0.3333333333333333
reaction_03,RHEA:58164,19,18,2,0,0,0.0,False,,,,False,False,False,False,"[""A0A167V661"", ""A0A1V0QSF3"", ""A0A291SJC7"", ""A0A348AUV5"", ""A0A348AUV6"", ""A0A348AUV7"", ""A0A348AUV9"", ""A0A348AUW0"", ""A0A348AUW1"", ""A0A5S9I252""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
reaction_04,RHEA:32551,65,64,12,10,10,0.8333333333333334,True,12.0,R9QMZ0,1.0150184e-32,False,False,False,False,"[""D5SL78"", ""B5GMG2"", ""A0A8H7XMX0"", ""A0A8H7XQ49"", ""A0A8H8CFI5"", ""A0A8H7XP09"", ""Q54YE2"", ""Q86II4"", ""Q7KWU0"", ""B5A434""]","[8.559159000000001e-25, 6.778576e-26, 1.6941124e-26, 2.6954865e-27, 2.5159222000000003e-27, 1.1245291e-27, 6.116662e-29, 2.1620672e-30, 9.88395e-31, 1.8250915e-32]",0.08333333333333333
reaction_05,RHEA:12869,104,104,16,13,13,0.8125,True,18.0,A0A1V0QSF6,4.058732e-39,False,False,False,False,"[""A0A8H7XQ49"", ""A0A8H7XP09"", ""A0A8H8CFI5"", ""G8H5N1"", ""G8H5M9"", ""G8H5M7"", ""G8H5M8"", ""C1K5M3"", ""O23945"", ""Q54YE2""]","[3.4668864e-35, 3.0651472e-35, 2.702157e-35, 1.18239586e-35, 4.352779e-36, 1.3515591e-36, 7.284886599999999e-37, 6.04072e-37, 5.866492e-37, 3.0511451e-37]",0.05555555555555555
reaction_06,RHEA:32691,105,105,22,5,5,0.22727272727272727,True,15.0,A0A858E4Y8,1.0,False,False,False,False,"[""A0A0E3D8M9"", ""A0A0E3D8P4"", ""A0A140JWS2"", ""A0A1V0QSF9"", ""A0A1V0QSG0"", ""A0A1V0QSH2"", ""A0A1V0QSH7"", ""A0A343W970"", ""A0A386KZ50"", ""A0A3S5XFG0""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.06666666666666667
reaction_07,RHEA:54060,32,32,1,0,0,0.0,False,,,,False,False,False,False,"[""A0A167V661"", ""A0A1V0QSF3"", ""A0A348AUV5"", ""A0A348AUV6"", ""A0A348AUV7"", ""A0A348AUV9"", ""A0A348AUW0"", ""A0A348AUW1"", ""A0A4Y5QWA6"", ""A0A4Y5QZ62""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
reaction_08,RHEA:60020,39,39,2,2,2,1.0,True,25.0,Q2NM15,0.0,False,False,False,False,"[""M4VQY9"", ""A0A0A2JB87"", ""A0A1V0QSF3"", ""A0A1V0QSG6"", ""A0A1W6GW06"", ""A0A1W6GW18"", ""A0A1W6GW32"", ""A0A385AJM6"", ""B6H063"", ""B8NHE0""]","[1.6190474e-38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04
reaction_09,RHEA:31811,39,39,6,0,0,0.0,False,,,,False,False,False,False,"[""A7NH01"", ""A0A142BX74"", ""A0A1L2D3T3"", ""A0A1L5YKS7"", ""A0A1V0E4A6"", ""A0A1V0QSG6"", ""A0A348B779"", ""A0A348B780"", ""A0A348B781"", ""A0A348B782""]","[2.7355597e-38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
reaction_10,RHEA:31023,53,53,1,0,0,0.0,False,,,,False,False,False,False,"[""A8C981"", ""Q24FB1"", ""Q08IT1"", ""P32476"", ""Q9C1W3"", ""Q8W3Z2"", ""Q92206"", ""A8CDT3"", ""P0DXI1"", ""A0A067DDU9""]","[0.00084318727, 0.00037920597, 0.0002328908, 0.00017466853, 0.00015359475, 0.00014497887, 0.00013110066, 0.00012154502, 0.00011589901, 8.608196e-05]",0.0
