split_id,direction,budget,query_id,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,query_nearest_train_similarity,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_score_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,ensemble_boundary_margin_z,reliability_score,risk_tier
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_51e3cd11ee7ffa59,1,0,0.0,71,0.0140845070422535,0.9946381449699402,0.6666666666666666,1.8856180906295776,0.0056405211798846,0.0137398132677618,0.6666666666666666,0.8888888888888888,0.036641476371217,0.2382629397177977,intermediate
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_71141913d0ceae62,1,0,0.0,23,0.0434782608695652,0.9891337752342224,1.0,0.0,0.0013547915732488,0.0248356280987515,0.5,0.6666666666666666,0.0158042915384031,0.3083713480751257,intermediate
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_799484fc466deb45,2,0,0.0,14,0.0714285714285714,0.98068368434906,0.3333333333333333,1.632993221282959,0.0064025507308542,0.0369080938006038,0.2,0.5555555555555556,0.0184543310010301,0.466153895973346,higher_evidence
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_b6868ba527fea3e5,1,0,0.0,19,0.0526315789473684,0.9781700968742372,0.0,1.4142135381698608,0.0070397881790995,0.0,0.1333333333333333,0.4444444444444444,0.0099845004685394,0.4682725799754234,higher_evidence
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_c0ea8ec6c723ff57,2,0,0.0,34,0.0294117647058823,0.9938123226165771,0.6666666666666666,0.471404492855072,0.0051292139105498,5.346678100681357e-07,0.6666666666666666,0.8888888888888888,0.0719403558463827,0.2494644639449507,intermediate
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_c28cf13e99e914b2,2,0,0.0,126,0.0079365079365079,0.994091272354126,0.3333333333333333,0.471404492855072,0.0061091440729796,0.0181510631835414,0.5,0.7777777777777778,0.0657981236201756,0.2311475163390123,intermediate
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_d8a3b3a770c6b63f,1,0,0.0,18,0.0555555555555555,0.978434681892395,0.6666666666666666,1.8856180906295776,0.0105813732370734,0.0742237680194681,0.0666666666666666,0.4444444444444444,0.0182298181527033,0.4830156209583108,higher_evidence
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_dc4bda48ffcc486f,1,0,0.0,16,0.0625,0.9863182306289672,0.6666666666666666,1.8856180906295776,0.0066831121221184,0.0134233041432641,0.1333333333333333,0.4444444444444444,0.0966482527339877,0.323852976845793,intermediate
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_11221daf321ba366,1,0,0.0,24,0.0416666666666666,0.9960762858390808,1.0,0.0,0.0,0.0092053291396548,0.6666666666666666,0.8888888888888888,0.0598355074372844,0.2195944762152853,lower_evidence
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_71141913d0ceae62,1,0,0.0,173,0.0057803468208092,0.9891337752342224,0.6666666666666666,0.471404492855072,0.0007821893086656,0.0091763438604564,1.0,1.0,0.0229414777199411,0.3083713480751257,intermediate
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_dc4bda48ffcc486f,2,1,1.0,2,0.5,0.9863182306289672,1.0,0.0,5.960464477539064e-08,0.0161545708118769,0.5,0.7777777777777778,0.0069233164336016,0.323852976845793,intermediate
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_e841c9d02b819bbb,1,0,0.0,103,0.0097087378640776,0.9682685136795044,0.3333333333333333,0.471404492855072,0.0007821893086656,0.0,1.0,1.0,0.0175874917229212,0.6852051016602714,higher_evidence
p0_r1,enzyme_to_reaction,3,MARTS_SEQ_fdf1423199f0ebb7,1,0,0.0,92,0.0108695652173913,0.9961602687835692,0.3333333333333333,0.471404492855072,0.0039110030047595,0.0920467616032736,0.4666666666666666,0.3333333333333333,0.0207103167721485,0.2063038111445057,lower_evidence
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_28c7414e3d1c7dc0,1,0,0.0,7,0.1428571428571428,0.9977368712425232,1.0,0.0,0.0,0.1889233173045378,0.2,0.4444444444444444,0.0073608375885788,0.1887382297925595,lower_evidence
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_3448de0e83a08b8a,1,0,0.0,22,0.0454545454545454,0.9929080009460448,1.0,0.0,0.0077037452720105,0.1287766335329434,0.3,0.6666666666666666,0.0998677320710536,0.246266195975783,intermediate
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_37ffc4d3027f73b2,1,0,0.0,98,0.010204081632653,0.9955896735191344,1.0,0.0,0.0027096075937151,0.0737358697149609,0.2,0.5555555555555556,0.0,0.2219855696512853,lower_evidence
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_42f9f2b4a56ba7b0,1,0,0.0,82,0.0121951219512195,0.9977324604988098,0.0,0.0,0.0007821893086656,0.0168692522392774,0.4666666666666666,0.6666666666666666,0.0265082313502743,0.2026044438437453,lower_evidence
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_49d3bd67bed124e6,2,0,0.0,101,0.0099009900990099,0.99361252784729,0.0,1.8856180906295776,0.0048848181031644,0.0074903881367145,0.0666666666666666,0.4444444444444444,0.0096304001916617,0.2522267041073721,intermediate
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_7445f31722e3f0ec,1,0,0.0,148,0.0067567567567567,0.9964337348937988,0.0,0.471404492855072,0.0,0.0123223304943861,0.4666666666666666,0.6666666666666666,0.0024640942803826,0.2031724567042735,lower_evidence
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_a4a21d0f1295d135,1,0,0.0,15,0.0666666666666666,0.9759543538093568,1.0,0.0,0.0007821893086656,0.0152744892282988,0.6666666666666666,0.8888888888888888,0.0218206317114779,0.5528881204942362,higher_evidence
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_ba27e34f4f9f6c45,1,0,0.0,264,0.0037878787878787,0.9926306009292604,0.0,1.4142135381698608,0.0059054559096693,0.006805658602331,0.0666666666666666,0.4444444444444444,0.015880277528257,0.2593153948492083,intermediate
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_fdf1423199f0ebb7,1,0,0.0,42,0.0238095238095238,0.9961602687835692,0.6666666666666666,0.471404492855072,0.0007821893086656,0.0738625183444835,0.3,0.5555555555555556,0.0046166716860596,0.2063038111445057,lower_evidence
p0_r3,enzyme_to_reaction,3,MARTS_SEQ_1a39c3bc071c87ad,1,0,0.0,9,0.1111111111111111,0.9958459734916688,1.0,0.0,0.0,0.0107464550330859,0.6666666666666666,0.8888888888888888,0.0,0.2189399809513414,lower_evidence
p0_r3,enzyme_to_reaction,3,MARTS_SEQ_28c7414e3d1c7dc0,1,0,0.0,392,0.0025510204081632,0.9977368712425232,1.0,0.0,0.0,0.0463851692822123,0.6666666666666666,0.8888888888888888,0.0765360666756984,0.1887382297925595,lower_evidence
p0_r3,enzyme_to_reaction,3,MARTS_SEQ_49d3bd67bed124e6,1,0,0.0,73,0.0136986301369863,0.99361252784729,0.6666666666666666,1.4142135381698608,0.0020694995764642,0.0264142447179204,0.1333333333333333,0.5555555555555556,0.0242127018436005,0.2522267041073721,intermediate
p0_r3,enzyme_to_reaction,3,MARTS_SEQ_ba27e34f4f9f6c45,1,0,0.0,215,0.0046511627906976,0.9926306009292604,0.6666666666666666,1.4142135381698608,0.0034095356240868,0.0518454004112391,0.2333333333333333,0.6666666666666666,0.0540996961194297,0.2593153948492083,intermediate
p0_r3,enzyme_to_reaction,3,MARTS_SEQ_c5592a6c46e2bec4,1,0,0.0,88,0.0113636363636363,0.9628831148147584,1.0,0.0,0.0039110025390982,0.0882529737074989,0.6666666666666666,0.8888888888888888,0.0367721604391253,0.7324988247100572,higher_evidence
p0_r3,enzyme_to_reaction,3,MARTS_SEQ_dc345f229edd85b0,3,0,0.0,212,0.0047169811320754,0.987942397594452,0.6666666666666666,0.9428090453147888,0.0015643786173313,0.0114292302204722,0.6666666666666666,0.8888888888888888,0.0137149284664259,0.2978575601829658,intermediate
p0_r4,enzyme_to_reaction,3,MARTS_SEQ_291764c4eed2ac47,1,0,0.0,60,0.0166666666666666,0.9834929704666138,0.6666666666666666,0.471404492855072,0.0015643786173313,0.0259114519830782,0.6666666666666666,0.8888888888888888,0.0777340767159572,0.4152576898182498,higher_evidence
p0_r4,enzyme_to_reaction,3,MARTS_SEQ_3944ff1306d729ca,1,0,0.0,37,0.027027027027027,0.9895066022872924,0.3333333333333333,0.942808985710144,0.0048848246224224,0.0172829800102001,0.3999999999999999,0.6666666666666666,0.0024686170412992,0.3133084386783288,intermediate
p0_r4,enzyme_to_reaction,3,MARTS_SEQ_3bd4699ecf21dee1,1,0,0.0,140,0.0071428571428571,0.9956400394439696,1.0,0.0,0.0027096075937151,0.0208345317979484,0.3999999999999999,0.6666666666666666,0.0092599582258812,0.2123589760662275,lower_evidence
p0_r4,enzyme_to_reaction,3,MARTS_SEQ_799484fc466deb45,2,0,0.0,6,0.1666666666666666,0.9838115572929382,1.0,0.0,5.960464477539064e-08,0.0215906335597247,0.3999999999999999,0.7777777777777778,0.0071970502025884,0.4095779120061302,higher_evidence
